EntryID	term	aspect
A0A178VBJ0	GO:0008150	P
A0A178VBJ0	GO:0009888	P
A0A178VBJ0	GO:0010073	P
A0A178VBJ0	GO:0048507	P
A0A178VBJ0	GO:0032501	P
A0A178VBJ0	GO:0048856	P
A0A178VBJ0	GO:0032502	P
A0A1P8AS03	GO:0005488	F
A0A1P8AS03	GO:0003729	F
A0A1P8AS03	GO:0003674	F
A0A1P8AS03	GO:0003676	F
A0A1P8AS03	GO:0003723	F
A0A1P8AS03	GO:0043487	P
A0A1P8AS03	GO:0009894	P
A0A1P8AS03	GO:0048523	P
A0A1P8AS03	GO:0048518	P
A0A1P8AS03	GO:1903311	P
A0A1P8AS03	GO:0043489	P
A0A1P8AS03	GO:0051253	P
A0A1P8AS03	GO:0010608	P
A0A1P8AS03	GO:1903312	P
A0A1P8AS03	GO:0019222	P
A0A1P8AS03	GO:0043488	P
A0A1P8AS03	GO:0009889	P
A0A1P8AS03	GO:0048522	P
A0A1P8AS03	GO:0010557	P
A0A1P8AS03	GO:0050794	P
A0A1P8AS03	GO:0009892	P
A0A1P8AS03	GO:0010605	P
A0A1P8AS03	GO:0048255	P
A0A1P8AS03	GO:1902373	P
A0A1P8AS03	GO:1902369	P
A0A1P8AS03	GO:0010628	P
A0A1P8AS03	GO:0061013	P
A0A1P8AS03	GO:0045934	P
A0A1P8AS03	GO:0060255	P
A0A1P8AS03	GO:0065008	P
A0A1P8AS03	GO:0010604	P
A0A1P8AS03	GO:0009893	P
A0A1P8AS03	GO:0019219	P
A0A1P8AS03	GO:0048519	P
A0A1P8AS03	GO:0080090	P
A0A1P8AS03	GO:0050789	P
A0A1P8AS03	GO:0051252	P
A0A1P8AS03	GO:0008150	P
A0A1P8AS03	GO:0009895	P
A0A1P8AS03	GO:0010468	P
A0A1P8AS03	GO:0065007	P
A0A1P8AS03	GO:0010556	P
A0A1P8AS03	GO:0009891	P
A0A1P8B0B7	GO:0005856	C
A0A1P8B0B7	GO:0043232	C
A0A1P8B0B7	GO:0005575	C
A0A1P8B0B7	GO:0032991	C
A0A1P8B0B7	GO:0005829	C
A0A1P8B0B7	GO:0005875	C
A0A1P8B0B7	GO:0043228	C
A0A1P8B0B7	GO:0110165	C
A0A1P8B0B7	GO:0005737	C
A0A1P8B0B7	GO:0005622	C
A0A1P8B0B7	GO:0043229	C
A0A1P8B0B7	GO:0015630	C
A0A1P8B0B7	GO:0043226	C
A0A1P8B8F8	GO:0071944	C
A0A1P8B8F8	GO:0005575	C
A0A1P8B8F8	GO:0030312	C
A0A1P8B8F8	GO:0110165	C
A0A1P8B8F8	GO:0005618	C
A0A1P8B8F8	GO:0009505	C
A0A1P8B9P9	GO:0071944	C
A0A1P8B9P9	GO:0005575	C
A0A1P8B9P9	GO:0016020	C
A0A1P8B9P9	GO:0110165	C
A0A1P8B9P9	GO:0005886	C
A0A1P8B9P9	GO:0003674	F
A0A1P8B9P9	GO:0060090	F
A0A1P8B9P9	GO:0008150	P
A0A1P8B9P9	GO:0009791	P
A0A1P8B9P9	GO:0009888	P
A0A1P8B9P9	GO:0090558	P
A0A1P8B9P9	GO:0007275	P
A0A1P8B9P9	GO:0032501	P
A0A1P8B9P9	GO:0048856	P
A0A1P8B9P9	GO:0032502	P
A0A1P8B9P9	GO:0010374	P
A0A2R8Y7D0	GO:0050789	P
A0A2R8Y7D0	GO:0008284	P
A0A2R8Y7D0	GO:0048522	P
A0A2R8Y7D0	GO:0010837	P
A0A2R8Y7D0	GO:0008150	P
A0A2R8Y7D0	GO:0050794	P
A0A2R8Y7D0	GO:0048518	P
A0A2R8Y7D0	GO:0065007	P
A0A2R8Y7D0	GO:0050679	P
A0A2R8Y7D0	GO:0050678	P
A0A2R8Y7D0	GO:0010838	P
A0A2R8Y7D0	GO:0042127	P
A0JPZ8	GO:0005634	C
A0JPZ8	GO:0005575	C
A0JPZ8	GO:0043229	C
A0JPZ8	GO:0005622	C
A0JPZ8	GO:0043226	C
A0JPZ8	GO:0110165	C
A0JPZ8	GO:0043227	C
A0JPZ8	GO:0043231	C
A0JPZ8	GO:0005488	F
A0JPZ8	GO:0003677	F
A0JPZ8	GO:0000976	F
A0JPZ8	GO:0140110	F
A0JPZ8	GO:0001067	F
A0JPZ8	GO:0043565	F
A0JPZ8	GO:0000981	F
A0JPZ8	GO:0003674	F
A0JPZ8	GO:0003700	F
A0JPZ8	GO:0003676	F
A0JPZ8	GO:0003690	F
A0JPZ8	GO:1990837	F
A0JPZ8	GO:0010565	P
A0JPZ8	GO:0019217	P
A0JPZ8	GO:0048518	P
A0JPZ8	GO:0019222	P
A0JPZ8	GO:0045834	P
A0JPZ8	GO:0009889	P
A0JPZ8	GO:1904276	P
A0JPZ8	GO:1901959	P
A0JPZ8	GO:0045723	P
A0JPZ8	GO:0048522	P
A0JPZ8	GO:0062012	P
A0JPZ8	GO:0010557	P
A0JPZ8	GO:0050794	P
A0JPZ8	GO:0042304	P
A0JPZ8	GO:0046889	P
A0JPZ8	GO:0046890	P
A0JPZ8	GO:0019216	P
A0JPZ8	GO:0060255	P
A0JPZ8	GO:0062013	P
A0JPZ8	GO:0010604	P
A0JPZ8	GO:0009893	P
A0JPZ8	GO:0050789	P
A0JPZ8	GO:0080090	P
A0JPZ8	GO:0008150	P
A0JPZ8	GO:1901957	P
A0JPZ8	GO:0045923	P
A0JPZ8	GO:1904278	P
A0JPZ8	GO:0010556	P
A0JPZ8	GO:0065007	P
A0JPZ8	GO:0009891	P
A1L4Y1	GO:0005575	C
A1L4Y1	GO:0005829	C
A1L4Y1	GO:0009536	C
A1L4Y1	GO:0110165	C
A1L4Y1	GO:0005737	C
A1L4Y1	GO:0005622	C
A1L4Y1	GO:0043229	C
A1L4Y1	GO:0043226	C
A1L4Y1	GO:0009507	C
A1L4Y1	GO:0043227	C
A1L4Y1	GO:0009570	C
A1L4Y1	GO:0043231	C
A1L4Y1	GO:0009532	C
A1L4Y1	GO:0005515	F
A1L4Y1	GO:0003674	F
A1L4Y1	GO:0005488	F
A2A8T7	GO:0071944	C
A2A8T7	GO:0005575	C
A2A8T7	GO:0016020	C
A2A8T7	GO:0110165	C
A2A8T7	GO:0005886	C
A2A8T7	GO:0005515	F
A2A8T7	GO:0003674	F
A2A8T7	GO:0005488	F
A2RRL7	GO:0042175	C
A2RRL7	GO:0005575	C
A2RRL7	GO:0005789	C
A2RRL7	GO:0016020	C
A2RRL7	GO:0110165	C
A2RRL7	GO:0031984	C
A2RRL7	GO:0031090	C
A2RRL7	GO:0043226	C
A2RRL7	GO:0012505	C
A2RRL7	GO:0043227	C
A2RRL7	GO:0005783	C
A2RRL7	GO:0043229	C
A2RRL7	GO:0005737	C
A2RRL7	GO:0005622	C
A2RRL7	GO:0043231	C
A2RRL7	GO:0098827	C
A8MQM2	GO:0005515	F
A8MQM2	GO:0003674	F
A8MQM2	GO:0005488	F
A8MQM2	GO:0005102	F
A8MQM2	GO:0050789	P
A8MQM2	GO:0019953	P
A8MQM2	GO:0080154	P
A8MQM2	GO:0060468	P
A8MQM2	GO:0022414	P
A8MQM2	GO:2000241	P
A8MQM2	GO:0060467	P
A8MQM2	GO:0008150	P
A8MQM2	GO:2000242	P
A8MQM2	GO:0007343	P
A8MQM2	GO:0065007	P
A8MQM2	GO:0009987	P
A8MQM2	GO:0032501	P
A8MQM2	GO:0009566	P
A8MQM2	GO:0007338	P
A8MQM2	GO:0001775	P
A8MQM2	GO:0048519	P
A8MRD4	GO:0005515	F
A8MRD4	GO:0003674	F
A8MRD4	GO:0005488	F
A8MRD4	GO:0005102	F
A8MRD4	GO:0050789	P
A8MRD4	GO:0019953	P
A8MRD4	GO:0080154	P
A8MRD4	GO:0060468	P
A8MRD4	GO:0022414	P
A8MRD4	GO:2000241	P
A8MRD4	GO:0060467	P
A8MRD4	GO:0008150	P
A8MRD4	GO:2000242	P
A8MRD4	GO:0007343	P
A8MRD4	GO:0065007	P
A8MRD4	GO:0009987	P
A8MRD4	GO:0032501	P
A8MRD4	GO:0009566	P
A8MRD4	GO:0007338	P
A8MRD4	GO:0001775	P
A8MRD4	GO:0048519	P
A8MRE9	GO:0009416	P
A8MRE9	GO:0050896	P
A8MRE9	GO:0009639	P
A8MRE9	GO:0008150	P
A8MRE9	GO:0010114	P
A8MRE9	GO:0009314	P
A8MRE9	GO:0010218	P
A8MRE9	GO:0009628	P
A8MRM1	GO:0005515	F
A8MRM1	GO:0003674	F
A8MRM1	GO:0005488	F
A8MRM1	GO:0005102	F
A8MRM1	GO:0050789	P
A8MRM1	GO:0019953	P
A8MRM1	GO:0080154	P
A8MRM1	GO:0060468	P
A8MRM1	GO:0022414	P
A8MRM1	GO:2000241	P
A8MRM1	GO:0060467	P
A8MRM1	GO:0008150	P
A8MRM1	GO:2000242	P
A8MRM1	GO:0007343	P
A8MRM1	GO:0065007	P
A8MRM1	GO:0009987	P
A8MRM1	GO:0032501	P
A8MRM1	GO:0009566	P
A8MRM1	GO:0007338	P
A8MRM1	GO:0001775	P
A8MRM1	GO:0048519	P
B5DE69	GO:0048731	P
B5DE69	GO:0008150	P
B5DE69	GO:0048483	P
B5DE69	GO:0007399	P
B5DE69	GO:0007275	P
B5DE69	GO:0032501	P
B5DE69	GO:0048856	P
B5DE69	GO:0032502	P
B5DE69	GO:0048484	P
B6K412	GO:0098588	C
B6K412	GO:0071944	C
B6K412	GO:0005575	C
B6K412	GO:0016020	C
B6K412	GO:0005774	C
B6K412	GO:0005773	C
B6K412	GO:0005737	C
B6K412	GO:0043229	C
B6K412	GO:0031090	C
B6K412	GO:0110165	C
B6K412	GO:0005622	C
B6K412	GO:0043227	C
B6K412	GO:0043226	C
B6K412	GO:0012505	C
B6K412	GO:0005783	C
B6K412	GO:0043231	C
B6K412	GO:0005886	C
B6K412	GO:0044238	P
B6K412	GO:0008150	P
B6K412	GO:0009987	P
B6K412	GO:0006629	P
B6K412	GO:0008152	P
B9DGT7	GO:0005634	C
B9DGT7	GO:0071944	C
B9DGT7	GO:0005575	C
B9DGT7	GO:0030312	C
B9DGT7	GO:0043229	C
B9DGT7	GO:0005622	C
B9DGT7	GO:0043226	C
B9DGT7	GO:0110165	C
B9DGT7	GO:0043227	C
B9DGT7	GO:0005618	C
B9DGT7	GO:0009505	C
B9DGT7	GO:0043231	C
B9DGT7	GO:0007017	P
B9DGT7	GO:0009987	P
B9DGT7	GO:0008150	P
B9DHQ0	GO:0030054	C
B9DHQ0	GO:0009506	C
B9DHQ0	GO:0071944	C
B9DHQ0	GO:0005575	C
B9DHQ0	GO:0030312	C
B9DHQ0	GO:0055044	C
B9DHQ0	GO:0009536	C
B9DHQ0	GO:0005911	C
B9DHQ0	GO:0110165	C
B9DHQ0	GO:0070161	C
B9DHQ0	GO:0005737	C
B9DHQ0	GO:0043229	C
B9DHQ0	GO:0005622	C
B9DHQ0	GO:0005618	C
B9DHQ0	GO:0009505	C
B9DHQ0	GO:0043226	C
B9DHQ0	GO:0043227	C
B9DHQ0	GO:0043231	C
B9DHQ0	GO:0007017	P
B9DHQ0	GO:0009987	P
B9DHQ0	GO:0008150	P
C0LGX1	GO:0071944	C
C0LGX1	GO:0005575	C
C0LGX1	GO:0016020	C
C0LGX1	GO:0009536	C
C0LGX1	GO:0005737	C
C0LGX1	GO:0110165	C
C0LGX1	GO:0005622	C
C0LGX1	GO:0043229	C
C0LGX1	GO:0043226	C
C0LGX1	GO:0043227	C
C0LGX1	GO:0043231	C
C0LGX1	GO:0005886	C
D8WUA4	GO:0031967	C
D8WUA4	GO:0009941	C
D8WUA4	GO:0005575	C
D8WUA4	GO:0009526	C
D8WUA4	GO:0009536	C
D8WUA4	GO:0110165	C
D8WUA4	GO:0043229	C
D8WUA4	GO:0005737	C
D8WUA4	GO:0043226	C
D8WUA4	GO:0005622	C
D8WUA4	GO:0009507	C
D8WUA4	GO:0043227	C
D8WUA4	GO:0043231	C
D8WUA4	GO:0048608	P
D8WUA4	GO:0048731	P
D8WUA4	GO:0061458	P
D8WUA4	GO:0022414	P
D8WUA4	GO:0009791	P
D8WUA4	GO:0008150	P
D8WUA4	GO:0003006	P
D8WUA4	GO:0009793	P
D8WUA4	GO:0007275	P
D8WUA4	GO:0032501	P
D8WUA4	GO:0048856	P
D8WUA4	GO:0032502	P
D8WUA4	GO:0010154	P
D8WUA4	GO:0009790	P
D8WUA4	GO:0048316	P
E7FBU4	GO:0008150	P
E7FBU4	GO:0031163	P
E7FBU4	GO:0016043	P
E7FBU4	GO:0022607	P
E7FBU4	GO:0009987	P
