EntryID	term	aspect
A0A024B7W1	GO:0002376	P
A0A024B7W1	GO:0006508	P
A0A024B7W1	GO:0006950	P
A0A024B7W1	GO:0006952	P
A0A024B7W1	GO:0006955	P
A0A024B7W1	GO:0008152	P
A0A024B7W1	GO:0009056	P
A0A024B7W1	GO:0009057	P
A0A024B7W1	GO:0009605	P
A0A024B7W1	GO:0009607	P
A0A024B7W1	GO:0009987	P
A0A024B7W1	GO:0010498	P
A0A024B7W1	GO:0019538	P
A0A024B7W1	GO:0030163	P
A0A024B7W1	GO:0043170	P
A0A024B7W1	GO:0043207	P
A0A024B7W1	GO:0044238	P
A0A024B7W1	GO:0045087	P
A0A024B7W1	GO:0050896	P
A0A024B7W1	GO:0051603	P
A0A024B7W1	GO:0051707	P
A0A024B7W1	GO:0098542	P
A0A024B7W1	GO:0140546	P
A0A0B4J1G0	GO:0001906	P
A0A0B4J1G0	GO:0001909	P
A0A0B4J1G0	GO:0001913	P
A0A0B4J1G0	GO:0002250	P
A0A0B4J1G0	GO:0002252	P
A0A0B4J1G0	GO:0002443	P
A0A0B4J1G0	GO:0002449	P
A0A0B4J1G0	GO:0002456	P
A0A0B4J1G0	GO:0002460	P
A0A0B4J1G0	GO:0006955	P
A0A0B4J1G0	GO:0007154	P
A0A0B4J1G0	GO:0007165	P
A0A0B4J1G0	GO:0008104	P
A0A0B4J1G0	GO:0008219	P
A0A0B4J1G0	GO:0012501	P
A0A0B4J1G0	GO:0015031	P
A0A0B4J1G0	GO:0017038	P
A0A0B4J1G0	GO:0023052	P
A0A0B4J1G0	GO:0033036	P
A0A0B4J1G0	GO:0045184	P
A0A0B4J1G0	GO:0050794	P
A0A0B4J1G0	GO:0050896	P
A0A0B4J1G0	GO:0051641	P
A0A0B4J1G0	GO:0051716	P
A0A0B4J1G0	GO:0055085	P
A0A0B4J1G0	GO:0070727	P
A0A0B4J1G0	GO:0071705	P
A0A0B4J1G0	GO:0071806	P
A0A0B4J1G0	GO:0140507	P
A0A0G2JDV3	GO:0016020	C
A0A0G2JDV3	GO:0031090	C
A0A0H2US87	GO:0006508	P
A0A0H2US87	GO:0006950	P
A0A0H2US87	GO:0006952	P
A0A0H2US87	GO:0006954	P
A0A0H2US87	GO:0008152	P
A0A0H2US87	GO:0009058	P
A0A0H2US87	GO:0009059	P
A0A0H2US87	GO:0009966	P
A0A0H2US87	GO:0009967	P
A0A0H2US87	GO:0009987	P
A0A0H2US87	GO:0010467	P
A0A0H2US87	GO:0010646	P
A0A0H2US87	GO:0010647	P
A0A0H2US87	GO:0016043	P
A0A0H2US87	GO:0016485	P
A0A0H2US87	GO:0016540	P
