filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro
goa_nonexp_predictions.tsv	biological_process	0.010	272.000	6.713	9.746	13.027	0.479	0.352	0.743	9.746	13.027	0.405	16.269	0.408	0.340	0.371
goa_nonexp_predictions.tsv	biological_process	0.020	272.000	6.713	9.746	13.027	0.479	0.352	0.743	9.746	13.027	0.405	16.269	0.408	0.340	0.371
goa_nonexp_predictions.tsv	biological_process	0.030	272.000	6.713	9.746	13.027	0.479	0.352	0.743	9.746	13.027	0.405	16.269	0.408	0.340	0.371
goa_nonexp_predictions.tsv	biological_process	0.040	272.000	6.713	9.746	13.027	0.479	0.352	0.743	9.746	13.027	0.405	16.269	0.408	0.340	0.371
goa_nonexp_predictions.tsv	biological_process	0.050	272.000	6.713	9.746	13.027	0.479	0.352	0.743	9.746	13.027	0.405	16.269	0.408	0.340	0.371
goa_nonexp_predictions.tsv	biological_process	0.060	272.000	6.713	9.746	13.027	0.479	0.352	0.743	9.746	13.027	0.405	16.269	0.408	0.340	0.371
goa_nonexp_predictions.tsv	biological_process	0.070	272.000	6.713	9.746	13.027	0.479	0.352	0.743	9.746	13.027	0.405	16.269	0.408	0.340	0.371
goa_nonexp_predictions.tsv	biological_process	0.080	272.000	6.713	9.746	13.027	0.479	0.352	0.743	9.746	13.027	0.405	16.269	0.408	0.340	0.371
goa_nonexp_predictions.tsv	biological_process	0.090	272.000	6.713	9.746	13.027	0.479	0.352	0.743	9.746	13.027	0.405	16.269	0.408	0.340	0.371
goa_nonexp_predictions.tsv	biological_process	0.100	272.000	6.713	9.746	13.027	0.479	0.352	0.743	9.746	13.027	0.405	16.269	0.408	0.340	0.371
goa_nonexp_predictions.tsv	biological_process	0.110	272.000	6.713	9.746	13.027	0.479	0.352	0.743	9.746	13.027	0.405	16.269	0.408	0.340	0.371
goa_nonexp_predictions.tsv	biological_process	0.120	272.000	6.713	9.746	13.027	0.479	0.352	0.743	9.746	13.027	0.405	16.269	0.408	0.340	0.371
goa_nonexp_predictions.tsv	biological_process	0.130	272.000	6.713	9.746	13.027	0.479	0.352	0.743	9.746	13.027	0.405	16.269	0.408	0.340	0.371
goa_nonexp_predictions.tsv	biological_process	0.140	272.000	6.713	9.746	13.027	0.479	0.352	0.743	9.746	13.027	0.405	16.269	0.408	0.340	0.371
goa_nonexp_predictions.tsv	biological_process	0.150	272.000	6.713	9.746	13.027	0.479	0.352	0.743	9.746	13.027	0.405	16.269	0.408	0.340	0.371
goa_nonexp_predictions.tsv	biological_process	0.160	272.000	6.713	9.746	13.027	0.479	0.352	0.743	9.746	13.027	0.405	16.269	0.408	0.340	0.371
goa_nonexp_predictions.tsv	biological_process	0.170	272.000	6.713	9.746	13.027	0.479	0.352	0.743	9.746	13.027	0.405	16.269	0.408	0.340	0.371
goa_nonexp_predictions.tsv	biological_process	0.180	272.000	6.713	9.746	13.027	0.479	0.352	0.743	9.746	13.027	0.405	16.269	0.408	0.340	0.371
goa_nonexp_predictions.tsv	biological_process	0.190	272.000	6.713	9.746	13.027	0.479	0.352	0.743	9.746	13.027	0.405	16.269	0.408	0.340	0.371
goa_nonexp_predictions.tsv	biological_process	0.200	272.000	6.713	9.746	13.027	0.479	0.352	0.743	9.746	13.027	0.405	16.269	0.408	0.340	0.371
