filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	cov_max
blast_predictions.tsv	biological_process	0.520	246.000	7.025	60.311	12.716	0.259	0.364	0.672	60.311	12.716	0.303	61.637	0.104	0.356	0.161	1.000
blast_predictions.tsv	cellular_component	0.440	268.000	6.540	19.891	4.463	0.365	0.614	0.832	19.891	4.463	0.458	20.386	0.247	0.594	0.349	1.000
blast_predictions.tsv	molecular_function	0.430	228.000	3.341	11.365	3.254	0.368	0.519	0.763	11.365	3.254	0.431	11.821	0.227	0.507	0.314	1.000
goa_nonexp_predictions.tsv	biological_process	0.010	272.000	6.713	9.746	13.027	0.479	0.352	0.743	9.746	13.027	0.405	16.269	0.408	0.340	0.371	0.743
goa_nonexp_predictions.tsv	cellular_component	0.010	266.000	6.006	2.488	4.997	0.759	0.580	0.826	2.488	4.997	0.658	5.582	0.707	0.546	0.616	0.826
goa_nonexp_predictions.tsv	molecular_function	0.010	239.000	4.207	5.870	2.388	0.537	0.558	0.799	5.870	2.388	0.548	6.337	0.418	0.638	0.505	0.799
naive_predictions.tsv	biological_process	0.010	366.000	3.344	17.656	16.396	0.159	0.205	1.000	17.656	16.396	0.179	24.095	0.159	0.169	0.164	1.000
naive_predictions.tsv	cellular_component	0.100	322.000	3.149	2.851	7.854	0.525	0.360	1.000	2.851	7.854	0.427	8.355	0.525	0.286	0.370	1.000
naive_predictions.tsv	molecular_function	0.070	299.000	0.385	0.615	6.211	0.385	0.109	1.000	0.615	6.211	0.169	6.241	0.385	0.058	0.101	1.000
prott5_predictions.tsv	biological_process	0.860	238.000	5.224	32.128	14.516	0.295	0.286	0.650	32.128	14.516	0.290	35.256	0.140	0.265	0.183	1.000
prott5_predictions.tsv	cellular_component	0.800	268.000	5.193	18.742	5.811	0.401	0.485	0.832	18.742	5.811	0.439	19.622	0.217	0.472	0.297	1.000
prott5_predictions.tsv	molecular_function	0.780	232.000	2.936	25.418	3.659	0.303	0.508	0.776	25.418	3.659	0.380	25.680	0.104	0.445	0.168	1.000
