filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	cov_max
blast_predictions.tsv	biological_process	0.770	99.000	2.967	7.967	16.773	0.453	0.148	0.270	7.967	16.773	0.223	18.569	0.271	0.150	0.193	1.000
blast_predictions.tsv	cellular_component	0.470	247.000	5.770	16.062	5.233	0.387	0.538	0.767	16.062	5.233	0.450	16.893	0.264	0.524	0.351	1.000
blast_predictions.tsv	molecular_function	0.480	191.000	2.492	6.057	4.104	0.414	0.389	0.639	6.057	4.104	0.401	7.316	0.291	0.378	0.329	1.000
goa_nonexp_predictions.tsv	biological_process	0.010	272.000	6.713	9.746	13.027	0.479	0.352	0.743	9.746	13.027	0.405	16.269	0.408	0.340	0.371	0.743
goa_nonexp_predictions.tsv	cellular_component	0.010	266.000	6.006	2.488	4.997	0.759	0.580	0.826	2.488	4.997	0.658	5.582	0.707	0.546	0.616	0.826
goa_nonexp_predictions.tsv	molecular_function	0.010	239.000	4.207	5.870	2.388	0.537	0.558	0.799	5.870	2.388	0.548	6.337	0.418	0.638	0.505	0.799
naive_predictions.tsv	biological_process	0.010	366.000	3.344	17.656	16.396	0.159	0.205	1.000	17.656	16.396	0.179	24.095	0.159	0.169	0.164	1.000
naive_predictions.tsv	cellular_component	0.100	322.000	3.149	2.851	7.854	0.525	0.360	1.000	2.851	7.854	0.427	8.355	0.525	0.286	0.370	1.000
naive_predictions.tsv	molecular_function	0.010	299.000	2.224	24.776	4.371	0.082	0.402	1.000	24.776	4.371	0.137	25.159	0.082	0.337	0.132	1.000
prott5_predictions.tsv	biological_process	0.870	225.000	4.817	27.342	14.923	0.307	0.265	0.615	27.342	14.923	0.285	31.149	0.150	0.244	0.186	1.000
prott5_predictions.tsv	cellular_component	0.840	221.000	3.686	9.311	7.317	0.445	0.347	0.686	9.311	7.317	0.390	11.842	0.284	0.335	0.307	1.000
prott5_predictions.tsv	molecular_function	0.820	196.000	1.967	7.281	4.629	0.374	0.367	0.656	7.281	4.629	0.371	8.628	0.213	0.298	0.248	1.000
