filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	cov_max
blast_predictions.tsv	biological_process	0.830	81.000	2.391	5.634	17.350	0.479	0.121	0.221	5.634	17.350	0.193	18.242	0.298	0.121	0.172	1.000
blast_predictions.tsv	cellular_component	0.710	95.000	2.354	3.326	8.649	0.578	0.194	0.295	3.326	8.649	0.291	9.267	0.414	0.214	0.282	1.000
blast_predictions.tsv	molecular_function	0.580	123.000	1.304	2.793	5.291	0.459	0.215	0.411	2.793	5.291	0.293	5.983	0.318	0.198	0.244	1.000
goa_nonexp_predictions.tsv	biological_process	0.010	272.000	6.713	9.746	13.027	0.479	0.352	0.743	9.746	13.027	0.405	16.269	0.408	0.340	0.371	0.743
goa_nonexp_predictions.tsv	cellular_component	0.010	266.000	6.006	2.488	4.997	0.759	0.580	0.826	2.488	4.997	0.658	5.582	0.707	0.546	0.616	0.826
goa_nonexp_predictions.tsv	molecular_function	0.010	239.000	4.207	5.870	2.388	0.537	0.558	0.799	5.870	2.388	0.548	6.337	0.418	0.638	0.505	0.799
naive_predictions.tsv	biological_process	0.030	366.000	0.000	1.000	19.740	0.000	0.000	1.000	1.000	19.740	0.000	19.766	0.000	0.000	0.000	1.000
naive_predictions.tsv	cellular_component	0.100	322.000	3.149	2.851	7.854	0.525	0.360	1.000	2.851	7.854	0.427	8.355	0.525	0.286	0.370	1.000
naive_predictions.tsv	molecular_function	0.070	299.000	0.385	0.615	6.211	0.385	0.109	1.000	0.615	6.211	0.169	6.241	0.385	0.058	0.101	1.000
prott5_predictions.tsv	biological_process	0.950	76.000	1.481	3.954	18.260	0.407	0.073	0.208	3.954	18.260	0.124	18.683	0.272	0.075	0.118	1.000
prott5_predictions.tsv	cellular_component	0.900	131.000	2.003	3.506	9.000	0.480	0.183	0.407	3.506	9.000	0.265	9.659	0.364	0.182	0.243	1.000
prott5_predictions.tsv	molecular_function	0.880	116.000	0.926	2.064	5.669	0.458	0.189	0.388	2.064	5.669	0.267	6.033	0.310	0.140	0.193	1.000
