filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	cov_max
blast_predictions.tsv	biological_process	0.520	224.000	5.672	41.081	12.958	0.252	0.323	0.588	41.081	12.958	0.283	43.077	0.121	0.304	0.173	0.997
blast_predictions.tsv	cellular_component	0.430	406.000	6.508	17.019	4.446	0.400	0.610	0.846	17.019	4.446	0.483	17.590	0.277	0.594	0.377	0.996
blast_predictions.tsv	molecular_function	0.450	236.000	3.327	9.212	3.428	0.403	0.527	0.795	9.212	3.428	0.457	9.829	0.265	0.493	0.345	0.997
goa_nonexp_predictions.tsv	biological_process	0.010	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373	0.801
goa_nonexp_predictions.tsv	cellular_component	0.010	407.000	6.048	2.465	4.906	0.757	0.584	0.848	2.465	4.906	0.659	5.490	0.710	0.552	0.621	0.848
goa_nonexp_predictions.tsv	molecular_function	0.010	241.000	4.327	6.104	2.428	0.531	0.584	0.811	6.104	2.428	0.556	6.569	0.415	0.641	0.504	0.811
naive_predictions.tsv	biological_process	0.010	381.000	3.063	17.937	15.567	0.146	0.209	1.000	17.937	15.567	0.172	23.750	0.146	0.164	0.155	1.000
naive_predictions.tsv	cellular_component	0.100	480.000	3.090	2.910	7.865	0.515	0.370	1.000	2.910	7.865	0.431	8.386	0.515	0.282	0.364	1.000
naive_predictions.tsv	molecular_function	0.070	297.000	0.320	0.680	6.434	0.320	0.086	1.000	0.680	6.434	0.136	6.470	0.320	0.047	0.083	1.000
prott5_predictions.tsv	biological_process	0.820	295.000	6.501	76.911	12.129	0.206	0.381	0.774	76.911	12.129	0.267	77.861	0.078	0.349	0.127	1.000
prott5_predictions.tsv	cellular_component	0.820	374.000	4.435	11.352	6.519	0.416	0.407	0.779	11.352	6.519	0.411	13.091	0.281	0.405	0.332	1.000
prott5_predictions.tsv	molecular_function	0.830	211.000	2.690	8.640	4.064	0.427	0.438	0.710	8.640	4.064	0.432	9.548	0.237	0.398	0.298	1.000
