filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	cov_max
blast_predictions.tsv	biological_process	0.550	189.000	5.055	34.005	13.575	0.283	0.281	0.496	34.005	13.575	0.282	36.615	0.129	0.271	0.175	0.997
blast_predictions.tsv	cellular_component	0.530	272.000	4.260	6.240	6.694	0.535	0.368	0.567	6.240	6.694	0.436	9.151	0.406	0.389	0.397	0.996
blast_predictions.tsv	molecular_function	0.490	196.000	2.771	5.966	3.983	0.455	0.421	0.660	5.966	3.983	0.437	7.174	0.317	0.410	0.358	0.997
goa_nonexp_predictions.tsv	biological_process	0.010	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373	0.801
goa_nonexp_predictions.tsv	cellular_component	0.010	407.000	6.048	2.465	4.906	0.757	0.584	0.848	2.465	4.906	0.659	5.490	0.710	0.552	0.621	0.848
goa_nonexp_predictions.tsv	molecular_function	0.010	241.000	4.327	6.104	2.428	0.531	0.584	0.811	6.104	2.428	0.556	6.569	0.415	0.641	0.504	0.811
naive_predictions.tsv	biological_process	0.010	381.000	3.063	17.937	15.567	0.146	0.209	1.000	17.937	15.567	0.172	23.750	0.146	0.164	0.155	1.000
naive_predictions.tsv	cellular_component	0.100	480.000	3.090	2.910	7.865	0.515	0.370	1.000	2.910	7.865	0.431	8.386	0.515	0.282	0.364	1.000
naive_predictions.tsv	molecular_function	0.010	297.000	2.074	24.926	4.680	0.077	0.397	1.000	24.926	4.680	0.129	25.361	0.077	0.307	0.123	1.000
prott5_predictions.tsv	biological_process	0.870	216.000	3.900	25.795	14.730	0.269	0.232	0.567	25.795	14.730	0.249	29.705	0.131	0.209	0.161	1.000
prott5_predictions.tsv	cellular_component	0.830	357.000	4.060	9.294	6.894	0.432	0.373	0.744	9.294	6.894	0.400	11.571	0.304	0.371	0.334	1.000
prott5_predictions.tsv	molecular_function	0.860	183.000	2.077	4.360	4.677	0.494	0.336	0.616	4.360	4.677	0.400	6.394	0.323	0.308	0.315	1.000
