filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	cov_max
blast_predictions.tsv	biological_process	0.860	40.000	1.215	2.488	17.415	0.574	0.058	0.105	2.488	17.415	0.106	17.592	0.328	0.065	0.109	0.997
blast_predictions.tsv	cellular_component	0.600	211.000	3.440	3.973	7.515	0.611	0.285	0.440	3.973	7.515	0.389	8.500	0.464	0.314	0.375	0.996
blast_predictions.tsv	molecular_function	0.640	104.000	1.337	1.960	5.418	0.578	0.203	0.350	1.960	5.418	0.300	5.761	0.406	0.198	0.266	0.997
goa_nonexp_predictions.tsv	biological_process	0.010	305.000	6.018	7.593	12.612	0.490	0.345	0.801	7.593	12.612	0.405	14.721	0.442	0.323	0.373	0.801
goa_nonexp_predictions.tsv	cellular_component	0.010	407.000	6.048	2.465	4.906	0.757	0.584	0.848	2.465	4.906	0.659	5.490	0.710	0.552	0.621	0.848
goa_nonexp_predictions.tsv	molecular_function	0.010	241.000	4.327	6.104	2.428	0.531	0.584	0.811	6.104	2.428	0.556	6.569	0.415	0.641	0.504	0.811
naive_predictions.tsv	biological_process	0.030	381.000	0.000	1.000	18.630	0.000	0.000	1.000	1.000	18.630	0.000	18.657	0.000	0.000	0.000	1.000
naive_predictions.tsv	cellular_component	0.100	480.000	3.090	2.910	7.865	0.515	0.370	1.000	2.910	7.865	0.431	8.386	0.515	0.282	0.364	1.000
naive_predictions.tsv	molecular_function	0.070	297.000	0.320	0.680	6.434	0.320	0.086	1.000	0.680	6.434	0.136	6.470	0.320	0.047	0.083	1.000
prott5_predictions.tsv	biological_process	0.930	94.000	1.722	4.533	16.908	0.454	0.101	0.247	4.533	16.908	0.165	17.505	0.275	0.092	0.138	1.000
prott5_predictions.tsv	cellular_component	0.890	242.000	2.202	3.115	8.752	0.543	0.199	0.504	3.115	8.752	0.292	9.290	0.414	0.201	0.271	1.000
prott5_predictions.tsv	molecular_function	0.890	138.000	1.441	2.027	5.313	0.538	0.233	0.465	2.027	5.313	0.325	5.687	0.416	0.213	0.282	1.000
