filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro
blast_predictions.tsv	biological_process	0.010	2370.000	8.915	1041.148	4.863	0.017	0.622	0.997	1041.148	4.863	0.033	1041.159	0.008	0.647	0.017
blast_predictions.tsv	biological_process	0.020	2370.000	8.915	1041.148	4.863	0.017	0.622	0.997	1041.148	4.863	0.033	1041.159	0.008	0.647	0.017
blast_predictions.tsv	biological_process	0.030	2370.000	8.915	1041.148	4.863	0.017	0.622	0.997	1041.148	4.863	0.033	1041.159	0.008	0.647	0.017
blast_predictions.tsv	biological_process	0.040	2370.000	8.915	1041.148	4.863	0.017	0.622	0.997	1041.148	4.863	0.033	1041.159	0.008	0.647	0.017
blast_predictions.tsv	biological_process	0.050	2370.000	8.915	1041.148	4.863	0.017	0.622	0.997	1041.148	4.863	0.033	1041.159	0.008	0.647	0.017
blast_predictions.tsv	biological_process	0.060	2370.000	8.915	1041.148	4.863	0.017	0.622	0.997	1041.148	4.863	0.033	1041.159	0.008	0.647	0.017
blast_predictions.tsv	biological_process	0.070	2370.000	8.915	1041.148	4.863	0.017	0.622	0.997	1041.148	4.863	0.033	1041.159	0.008	0.647	0.017
blast_predictions.tsv	biological_process	0.080	2370.000	8.915	1041.148	4.863	0.017	0.622	0.997	1041.148	4.863	0.033	1041.159	0.008	0.647	0.017
blast_predictions.tsv	biological_process	0.090	2370.000	8.915	1041.148	4.863	0.017	0.622	0.997	1041.148	4.863	0.033	1041.159	0.008	0.647	0.017
blast_predictions.tsv	biological_process	0.100	2370.000	8.915	1041.148	4.863	0.017	0.622	0.997	1041.148	4.863	0.033	1041.159	0.008	0.647	0.017
blast_predictions.tsv	biological_process	0.110	2370.000	8.915	1041.148	4.863	0.017	0.622	0.997	1041.148	4.863	0.033	1041.159	0.008	0.647	0.017
blast_predictions.tsv	biological_process	0.120	2370.000	8.915	1041.148	4.863	0.017	0.622	0.997	1041.148	4.863	0.033	1041.159	0.008	0.647	0.017
blast_predictions.tsv	biological_process	0.130	2370.000	8.915	1041.148	4.863	0.017	0.622	0.997	1041.148	4.863	0.033	1041.159	0.008	0.647	0.017
blast_predictions.tsv	biological_process	0.140	2370.000	8.915	1041.148	4.863	0.017	0.622	0.997	1041.148	4.863	0.033	1041.159	0.008	0.647	0.017
blast_predictions.tsv	biological_process	0.150	2370.000	8.915	1041.148	4.863	0.017	0.622	0.997	1041.148	4.863	0.033	1041.159	0.008	0.647	0.017
blast_predictions.tsv	biological_process	0.160	2370.000	8.915	1041.147	4.863	0.017	0.622	0.997	1041.147	4.863	0.033	1041.158	0.008	0.647	0.017
blast_predictions.tsv	biological_process	0.170	2370.000	8.915	1041.111	4.863	0.017	0.622	0.997	1041.111	4.863	0.033	1041.122	0.008	0.647	0.017
blast_predictions.tsv	biological_process	0.180	2370.000	8.912	1041.010	4.866	0.017	0.622	0.997	1041.010	4.866	0.033	1041.021	0.008	0.647	0.017
blast_predictions.tsv	biological_process	0.190	2370.000	8.910	1040.115	4.868	0.017	0.622	0.997	1040.115	4.868	0.033	1040.127	0.008	0.647	0.017
blast_predictions.tsv	biological_process	0.200	2370.000	8.905	1038.512	4.873	0.017	0.621	0.997	1038.512	4.873	0.033	1038.523	0.009	0.646	0.017
blast_predictions.tsv	biological_process	0.210	2370.000	8.880	1033.091	4.899	0.017	0.620	0.997	1033.091	4.899	0.033	1033.103	0.009	0.644	0.017
blast_predictions.tsv	biological_process	0.220	2370.000	8.830	1023.478	4.949	0.017	0.616	0.997	1023.478	4.949	0.033	1023.490	0.009	0.641	0.017
blast_predictions.tsv	biological_process	0.230	2370.000	8.749	1005.397	5.030	0.017	0.610	0.997	1005.397	5.030	0.033	1005.409	0.009	0.635	0.017
blast_predictions.tsv	biological_process	0.240	2370.000	8.644	977.240	5.134	0.017	0.600	0.997	977.240	5.134	0.034	977.254	0.009	0.627	0.017
blast_predictions.tsv	biological_process	0.250	2370.000	8.509	946.604	5.270	0.018	0.591	0.997	946.604	5.270	0.035	946.619	0.009	0.618	0.018
blast_predictions.tsv	biological_process	0.260	2368.000	8.271	899.026	5.508	0.019	0.571	0.997	899.026	5.508	0.036	899.043	0.009	0.600	0.018
blast_predictions.tsv	biological_process	0.270	2366.000	8.038	847.820	5.741	0.019	0.554	0.996	847.820	5.741	0.037	847.839	0.009	0.583	0.018
blast_predictions.tsv	biological_process	0.280	2365.000	7.813	792.668	5.966	0.021	0.540	0.995	792.668	5.966	0.040	792.691	0.010	0.567	0.019
blast_predictions.tsv	biological_process	0.290	2361.000	7.493	730.982	6.285	0.022	0.520	0.994	730.982	6.285	0.043	731.009	0.010	0.544	0.020
blast_predictions.tsv	biological_process	0.300	2359.000	7.221	672.178	6.557	0.024	0.502	0.993	672.178	6.557	0.046	672.210	0.011	0.524	0.021
blast_predictions.tsv	biological_process	0.310	2349.000	6.909	608.531	6.870	0.026	0.481	0.989	608.531	6.870	0.049	608.569	0.011	0.501	0.022
blast_predictions.tsv	biological_process	0.320	2334.000	6.586	552.287	7.193	0.027	0.458	0.982	552.287	7.193	0.051	552.334	0.012	0.478	0.023
blast_predictions.tsv	biological_process	0.330	2321.000	6.240	496.841	7.538	0.030	0.434	0.977	496.841	7.538	0.055	496.899	0.012	0.453	0.024
blast_predictions.tsv	biological_process	0.340	2307.000	5.938	448.356	7.840	0.030	0.416	0.971	448.356	7.840	0.056	448.425	0.013	0.431	0.025
blast_predictions.tsv	biological_process	0.350	2286.000	5.642	403.364	8.137	0.031	0.394	0.962	403.364	8.137	0.058	403.447	0.014	0.409	0.027
blast_predictions.tsv	biological_process	0.360	2259.000	5.330	364.003	8.448	0.033	0.373	0.951	364.003	8.448	0.061	364.101	0.014	0.387	0.028
blast_predictions.tsv	biological_process	0.370	2240.000	5.113	330.266	8.666	0.036	0.357	0.943	330.266	8.666	0.066	330.379	0.015	0.371	0.029
blast_predictions.tsv	biological_process	0.380	2214.000	4.864	298.732	8.915	0.037	0.340	0.932	298.732	8.915	0.067	298.865	0.016	0.353	0.031
blast_predictions.tsv	biological_process	0.390	2184.000	4.682	270.714	9.096	0.040	0.327	0.919	270.714	9.096	0.071	270.867	0.017	0.340	0.032
blast_predictions.tsv	biological_process	0.400	2166.000	4.489	246.656	9.290	0.042	0.312	0.912	246.656	9.290	0.074	246.831	0.018	0.326	0.034
blast_predictions.tsv	biological_process	0.410	2131.000	4.242	221.443	9.537	0.045	0.294	0.897	221.443	9.537	0.078	221.648	0.019	0.308	0.035
blast_predictions.tsv	biological_process	0.420	2079.000	4.003	199.841	9.776	0.046	0.277	0.875	199.841	9.776	0.079	200.080	0.020	0.290	0.037
blast_predictions.tsv	biological_process	0.430	2038.000	3.819	182.441	9.960	0.048	0.265	0.858	182.441	9.960	0.082	182.713	0.021	0.277	0.038
blast_predictions.tsv	biological_process	0.440	2015.000	3.646	167.918	10.132	0.050	0.253	0.848	167.918	10.132	0.083	168.223	0.021	0.265	0.039
blast_predictions.tsv	biological_process	0.450	1982.000	3.510	155.651	10.269	0.052	0.244	0.834	155.651	10.269	0.085	155.989	0.022	0.255	0.041
blast_predictions.tsv	biological_process	0.460	1950.000	3.312	142.231	10.467	0.054	0.232	0.821	142.231	10.467	0.087	142.615	0.023	0.240	0.042
blast_predictions.tsv	biological_process	0.470	1919.000	3.185	132.018	10.594	0.055	0.222	0.808	132.018	10.594	0.088	132.442	0.024	0.231	0.043
blast_predictions.tsv	biological_process	0.480	1890.000	3.029	122.728	10.750	0.056	0.212	0.795	122.728	10.750	0.088	123.198	0.024	0.220	0.043
blast_predictions.tsv	biological_process	0.490	1859.000	2.874	113.889	10.904	0.058	0.201	0.782	113.889	10.904	0.090	114.410	0.025	0.209	0.044
blast_predictions.tsv	biological_process	0.500	1843.000	2.809	108.976	10.969	0.059	0.196	0.776	108.976	10.969	0.090	109.526	0.025	0.204	0.045
blast_predictions.tsv	biological_process	0.510	1795.000	2.631	100.379	11.148	0.058	0.184	0.755	100.379	11.148	0.089	100.996	0.026	0.191	0.045
blast_predictions.tsv	biological_process	0.520	1759.000	2.521	94.252	11.257	0.059	0.175	0.740	94.252	11.257	0.088	94.922	0.026	0.183	0.046
blast_predictions.tsv	biological_process	0.530	1728.000	2.406	88.413	11.372	0.061	0.166	0.727	88.413	11.372	0.089	89.142	0.026	0.175	0.046
blast_predictions.tsv	biological_process	0.540	1695.000	2.299	84.217	11.479	0.061	0.160	0.713	84.217	11.479	0.088	84.996	0.027	0.167	0.046
blast_predictions.tsv	biological_process	0.550	1663.000	2.205	79.686	11.574	0.060	0.153	0.700	79.686	11.574	0.087	80.522	0.027	0.160	0.046
blast_predictions.tsv	biological_process	0.560	1638.000	2.140	75.756	11.638	0.061	0.148	0.689	75.756	11.638	0.086	76.645	0.027	0.155	0.047
blast_predictions.tsv	biological_process	0.570	1614.000	2.086	72.418	11.693	0.061	0.143	0.679	72.418	11.693	0.085	73.356	0.028	0.151	0.047
blast_predictions.tsv	biological_process	0.580	1577.000	1.999	69.244	11.779	0.062	0.137	0.664	69.244	11.779	0.085	70.238	0.028	0.145	0.047
blast_predictions.tsv	biological_process	0.590	1555.000	1.941	66.139	11.838	0.063	0.133	0.654	66.139	11.838	0.086	67.190	0.029	0.141	0.047
blast_predictions.tsv	biological_process	0.600	1533.000	1.891	63.360	11.888	0.063	0.129	0.645	63.360	11.888	0.085	64.466	0.029	0.137	0.048
blast_predictions.tsv	biological_process	0.610	1491.000	1.803	60.068	11.976	0.061	0.122	0.628	60.068	11.976	0.081	61.250	0.029	0.131	0.048
blast_predictions.tsv	biological_process	0.620	1465.000	1.762	57.891	12.017	0.062	0.119	0.617	57.891	12.017	0.082	59.125	0.030	0.128	0.048
blast_predictions.tsv	biological_process	0.630	1442.000	1.707	55.541	12.072	0.062	0.117	0.607	55.541	12.072	0.081	56.838	0.030	0.124	0.048
blast_predictions.tsv	biological_process	0.640	1415.000	1.651	53.555	12.128	0.061	0.112	0.596	53.555	12.128	0.079	54.911	0.030	0.120	0.048
blast_predictions.tsv	biological_process	0.650	1393.000	1.595	50.612	12.184	0.062	0.108	0.586	50.612	12.184	0.079	52.057	0.031	0.116	0.048
blast_predictions.tsv	biological_process	0.660	1364.000	1.556	48.283	12.223	0.064	0.104	0.574	48.283	12.223	0.079	49.806	0.031	0.113	0.049
blast_predictions.tsv	biological_process	0.670	1334.000	1.505	46.067	12.274	0.065	0.101	0.561	46.067	12.274	0.079	47.674	0.032	0.109	0.049
blast_predictions.tsv	biological_process	0.680	1315.000	1.457	44.243	12.322	0.065	0.098	0.553	44.243	12.322	0.078	45.927	0.032	0.106	0.049
blast_predictions.tsv	biological_process	0.690	1280.000	1.408	42.395	12.370	0.066	0.094	0.539	42.395	12.370	0.077	44.163	0.032	0.102	0.049
blast_predictions.tsv	biological_process	0.700	1257.000	1.371	40.535	12.408	0.067	0.091	0.529	40.535	12.408	0.077	42.392	0.033	0.099	0.049
blast_predictions.tsv	biological_process	0.710	1231.000	1.335	38.368	12.444	0.067	0.088	0.518	38.368	12.444	0.076	40.336	0.034	0.097	0.050
blast_predictions.tsv	biological_process	0.720	1207.000	1.304	37.026	12.474	0.066	0.084	0.508	37.026	12.474	0.074	39.071	0.034	0.095	0.050
blast_predictions.tsv	biological_process	0.730	1187.000	1.278	35.992	12.500	0.066	0.082	0.500	35.992	12.500	0.073	38.101	0.034	0.093	0.050
blast_predictions.tsv	biological_process	0.740	1155.000	1.231	34.771	12.548	0.066	0.078	0.486	34.771	12.548	0.072	36.965	0.034	0.089	0.049
blast_predictions.tsv	biological_process	0.750	1129.000	1.202	33.786	12.577	0.066	0.076	0.475	33.786	12.577	0.071	36.051	0.034	0.087	0.049
blast_predictions.tsv	biological_process	0.760	1107.000	1.141	32.416	12.637	0.065	0.073	0.466	32.416	12.637	0.069	34.792	0.034	0.083	0.048
blast_predictions.tsv	biological_process	0.770	1083.000	1.117	31.381	12.661	0.066	0.071	0.456	31.381	12.661	0.068	33.839	0.034	0.081	0.048
blast_predictions.tsv	biological_process	0.780	1059.000	1.085	30.124	12.694	0.064	0.069	0.446	30.124	12.694	0.066	32.689	0.035	0.079	0.048
blast_predictions.tsv	biological_process	0.790	1032.000	1.060	29.118	12.718	0.064	0.066	0.434	29.118	12.718	0.065	31.774	0.035	0.077	0.048
blast_predictions.tsv	biological_process	0.800	1012.000	1.039	28.371	12.740	0.065	0.065	0.426	28.371	12.740	0.065	31.100	0.035	0.075	0.048
blast_predictions.tsv	biological_process	0.810	982.000	1.013	27.328	12.766	0.064	0.063	0.413	27.328	12.766	0.064	30.163	0.036	0.074	0.048
blast_predictions.tsv	biological_process	0.820	956.000	0.969	26.070	12.809	0.064	0.060	0.402	26.070	12.809	0.062	29.047	0.036	0.070	0.047
blast_predictions.tsv	biological_process	0.830	932.000	0.934	25.139	12.844	0.065	0.058	0.392	25.139	12.844	0.061	28.230	0.036	0.068	0.047
blast_predictions.tsv	biological_process	0.840	902.000	0.879	23.899	12.900	0.062	0.054	0.380	23.899	12.900	0.058	27.158	0.035	0.064	0.046
blast_predictions.tsv	biological_process	0.850	866.000	0.843	22.832	12.935	0.059	0.053	0.364	22.832	12.935	0.056	26.242	0.036	0.061	0.045
blast_predictions.tsv	biological_process	0.860	838.000	0.811	22.030	12.968	0.060	0.051	0.353	22.030	12.968	0.055	25.563	0.035	0.059	0.044
blast_predictions.tsv	biological_process	0.870	800.000	0.761	20.827	13.018	0.059	0.048	0.337	20.827	13.018	0.053	24.561	0.035	0.055	0.043
blast_predictions.tsv	biological_process	0.880	749.000	0.720	19.495	13.059	0.059	0.045	0.315	19.495	13.059	0.051	23.465	0.036	0.052	0.042
blast_predictions.tsv	biological_process	0.890	720.000	0.679	18.559	13.100	0.059	0.043	0.303	18.559	13.100	0.049	22.717	0.035	0.049	0.041
blast_predictions.tsv	biological_process	0.900	693.000	0.649	17.433	13.130	0.057	0.040	0.292	17.433	13.130	0.047	21.824	0.036	0.047	0.041
blast_predictions.tsv	biological_process	0.910	650.000	0.615	16.319	13.164	0.059	0.037	0.274	16.319	13.164	0.046	20.966	0.036	0.045	0.040
blast_predictions.tsv	biological_process	0.920	626.000	0.586	15.328	13.193	0.058	0.034	0.263	15.328	13.193	0.043	20.224	0.037	0.043	0.039
blast_predictions.tsv	biological_process	0.930	581.000	0.551	13.997	13.227	0.059	0.032	0.245	13.997	13.227	0.042	19.258	0.038	0.040	0.039
blast_predictions.tsv	biological_process	0.940	523.000	0.494	12.709	13.285	0.057	0.029	0.220	12.709	13.285	0.038	18.385	0.037	0.036	0.037
blast_predictions.tsv	biological_process	0.950	468.000	0.438	10.880	13.341	0.052	0.024	0.197	10.880	13.341	0.033	17.215	0.039	0.032	0.035
blast_predictions.tsv	biological_process	0.960	415.000	0.350	9.667	13.428	0.049	0.020	0.175	9.667	13.428	0.028	16.546	0.035	0.025	0.029
blast_predictions.tsv	biological_process	0.970	342.000	0.293	7.869	13.486	0.047	0.016	0.144	7.869	13.486	0.023	15.614	0.036	0.021	0.027
blast_predictions.tsv	biological_process	0.980	253.000	0.218	6.120	13.560	0.045	0.011	0.106	6.120	13.560	0.017	14.877	0.034	0.016	0.022
blast_predictions.tsv	biological_process	0.990	142.000	0.109	3.251	13.669	0.046	0.006	0.060	3.251	13.669	0.010	14.051	0.033	0.008	0.013
blast_predictions.tsv	molecular_function	0.010	925.000	2.523	98.323	0.978	0.034	0.613	0.998	98.323	0.978	0.065	98.327	0.025	0.721	0.048
