filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	cov_max
blast_predictions.tsv	biological_process	0.500	1850.000	3.457	125.922	10.327	0.063	0.241	0.779	125.922	10.327	0.100	126.345	0.027	0.251	0.048	0.998
blast_predictions.tsv	cellular_component	0.480	1136.000	1.242	17.057	2.486	0.116	0.314	0.714	17.057	2.486	0.169	17.237	0.068	0.333	0.113	0.997
blast_predictions.tsv	molecular_function	0.530	491.000	1.146	7.781	2.388	0.183	0.251	0.530	7.781	2.388	0.211	8.139	0.128	0.324	0.184	0.998
goa_nonexp_predictions.tsv	biological_process	0.010	1851.000	2.176	28.388	11.607	0.134	0.155	0.779	28.388	11.607	0.144	30.670	0.071	0.158	0.098	0.779
goa_nonexp_predictions.tsv	cellular_component	0.010	999.000	0.835	3.663	2.894	0.214	0.202	0.628	3.663	2.894	0.208	4.668	0.186	0.224	0.203	0.628
goa_nonexp_predictions.tsv	molecular_function	0.010	681.000	1.290	6.150	2.244	0.206	0.271	0.735	6.150	2.244	0.234	6.546	0.173	0.365	0.235	0.735
naive_predictions.tsv	biological_process	0.110	2376.000	2.586	27.386	11.197	0.088	0.158	1.000	27.386	11.197	0.113	29.587	0.086	0.188	0.118	1.000
naive_predictions.tsv	cellular_component	0.170	1585.000	1.318	5.605	2.410	0.198	0.383	0.997	5.605	2.410	0.261	6.101	0.190	0.354	0.248	1.000
naive_predictions.tsv	molecular_function	0.140	729.000	0.207	0.948	3.327	0.179	0.069	0.786	0.948	3.327	0.099	3.459	0.179	0.059	0.088	1.000
prott5_predictions.tsv	biological_process	0.860	1708.000	3.313	126.951	10.471	0.070	0.227	0.719	126.951	10.471	0.107	127.382	0.025	0.240	0.046	1.000
prott5_predictions.tsv	cellular_component	0.830	1095.000	1.347	20.584	2.382	0.110	0.334	0.689	20.584	2.382	0.166	20.722	0.061	0.361	0.105	1.000
prott5_predictions.tsv	molecular_function	0.850	478.000	1.049	9.252	2.485	0.183	0.253	0.516	9.252	2.485	0.213	9.580	0.102	0.297	0.152	1.000
