filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	cov_max
blast_predictions.tsv	biological_process	0.730	1193.000	1.652	42.905	12.132	0.071	0.107	0.502	42.905	12.132	0.086	44.587	0.037	0.120	0.057	0.998
blast_predictions.tsv	cellular_component	0.520	1035.000	1.053	12.943	2.675	0.121	0.264	0.651	12.943	2.675	0.166	13.217	0.075	0.283	0.119	0.997
blast_predictions.tsv	molecular_function	0.530	491.000	1.146	7.781	2.388	0.183	0.251	0.530	7.781	2.388	0.211	8.139	0.128	0.324	0.184	0.998
goa_nonexp_predictions.tsv	biological_process	0.010	1851.000	2.176	28.388	11.607	0.134	0.155	0.779	28.388	11.607	0.144	30.670	0.071	0.158	0.098	0.779
goa_nonexp_predictions.tsv	cellular_component	0.010	999.000	0.835	3.663	2.894	0.214	0.202	0.628	3.663	2.894	0.208	4.668	0.186	0.224	0.203	0.628
goa_nonexp_predictions.tsv	molecular_function	0.010	681.000	1.290	6.150	2.244	0.206	0.271	0.735	6.150	2.244	0.234	6.546	0.173	0.365	0.235	0.735
naive_predictions.tsv	biological_process	0.120	2373.000	2.269	21.946	11.514	0.095	0.138	0.999	21.946	11.514	0.113	24.783	0.094	0.165	0.119	1.000
naive_predictions.tsv	cellular_component	0.170	1585.000	1.318	5.605	2.410	0.198	0.383	0.997	5.605	2.410	0.261	6.101	0.190	0.354	0.248	1.000
naive_predictions.tsv	molecular_function	0.110	911.000	0.318	2.536	3.216	0.102	0.087	0.983	2.536	3.216	0.094	4.095	0.111	0.090	0.100	1.000
prott5_predictions.tsv	biological_process	0.920	1245.000	1.710	44.246	12.074	0.072	0.114	0.524	44.246	12.074	0.088	45.864	0.037	0.124	0.057	1.000
prott5_predictions.tsv	cellular_component	0.870	882.000	0.902	10.422	2.826	0.124	0.226	0.555	10.422	2.826	0.161	10.798	0.080	0.242	0.120	1.000
prott5_predictions.tsv	molecular_function	0.900	329.000	0.741	4.223	2.793	0.230	0.171	0.355	4.223	2.793	0.196	5.063	0.149	0.210	0.174	1.000
