filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	cov_max
blast_predictions.tsv	biological_process	0.990	143.000	0.152	4.092	13.632	0.051	0.008	0.060	4.092	13.632	0.014	14.233	0.036	0.011	0.017	0.998
blast_predictions.tsv	cellular_component	0.990	67.000	0.028	0.491	3.700	0.094	0.010	0.042	0.491	3.700	0.018	3.732	0.054	0.008	0.013	0.997
blast_predictions.tsv	molecular_function	0.960	71.000	0.131	0.590	3.403	0.258	0.033	0.077	0.590	3.403	0.059	3.454	0.181	0.037	0.061	0.998
goa_nonexp_predictions.tsv	biological_process	0.010	1851.000	2.176	28.388	11.607	0.134	0.155	0.779	28.388	11.607	0.144	30.670	0.071	0.158	0.098	0.779
goa_nonexp_predictions.tsv	cellular_component	0.010	999.000	0.835	3.663	2.894	0.214	0.202	0.628	3.663	2.894	0.208	4.668	0.186	0.224	0.203	0.628
goa_nonexp_predictions.tsv	molecular_function	0.010	681.000	1.290	6.150	2.244	0.206	0.271	0.735	6.150	2.244	0.234	6.546	0.173	0.365	0.235	0.735
naive_predictions.tsv	biological_process	0.250	1952.000	0.594	2.158	13.189	0.216	0.041	0.822	2.158	13.189	0.068	13.365	0.216	0.043	0.072	1.000
naive_predictions.tsv	cellular_component	0.600	278.000	0.111	0.440	3.617	0.203	0.014	0.175	0.440	3.617	0.026	3.644	0.202	0.030	0.052	1.000
naive_predictions.tsv	molecular_function	0.360	339.000	0.118	0.508	3.416	0.195	0.056	0.366	0.508	3.416	0.087	3.454	0.188	0.033	0.057	1.000
prott5_predictions.tsv	biological_process	0.990	157.000	0.171	4.731	13.612	0.042	0.008	0.066	4.731	13.612	0.014	14.411	0.035	0.012	0.018	1.000
prott5_predictions.tsv	cellular_component	0.990	74.000	0.028	0.571	3.701	0.078	0.010	0.047	0.571	3.701	0.017	3.744	0.046	0.007	0.013	1.000
prott5_predictions.tsv	molecular_function	0.970	99.000	0.179	0.775	3.355	0.206	0.038	0.107	0.775	3.355	0.065	3.443	0.188	0.051	0.080	1.000
