filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w	cov_max
blast_predictions.tsv	biological_process	0.530	241.000	7.284	63.342	11.350	0.247	0.388	0.658	63.342	11.350	0.302	64.350	0.103	0.391	0.163	241.000	7.800	81.094	13.959	0.217	0.371	0.658	81.094	13.959	0.274	82.286	0.088	0.358	0.141	1.000
blast_predictions.tsv	cellular_component	0.530	198.000	4.866	11.938	5.137	0.448	0.497	0.615	11.938	5.137	0.471	12.996	0.290	0.486	0.363	198.000	3.653	19.839	5.449	0.326	0.439	0.615	19.839	5.449	0.374	20.574	0.155	0.401	0.224	1.000
blast_predictions.tsv	molecular_function	0.430	227.000	3.477	12.889	2.117	0.341	0.590	0.762	12.889	2.117	0.432	13.062	0.212	0.621	0.317	227.000	4.565	28.660	4.317	0.287	0.564	0.762	28.660	4.317	0.381	28.983	0.137	0.514	0.217	1.000
funbind_predictions.tsv	biological_process	0.500	361.000	7.525	8.314	11.109	0.508	0.425	0.986	8.314	11.109	0.463	13.876	0.475	0.404	0.437	361.000	7.177	9.052	14.582	0.499	0.388	0.986	9.052	14.582	0.437	17.163	0.442	0.330	0.378	1.000
funbind_predictions.tsv	cellular_component	0.610	322.000	6.733	2.615	3.270	0.759	0.696	1.000	2.615	3.270	0.726	4.187	0.720	0.673	0.696	322.000	4.180	2.610	4.921	0.688	0.549	1.000	2.610	4.921	0.611	5.571	0.616	0.459	0.526	1.000
funbind_predictions.tsv	molecular_function	0.540	293.000	3.050	2.523	2.544	0.638	0.631	0.983	2.523	2.544	0.635	3.583	0.547	0.545	0.546	293.000	4.247	3.946	4.636	0.631	0.603	0.983	3.946	4.636	0.617	6.088	0.518	0.478	0.497	1.000
goa_nonexp_predictions.tsv	biological_process	0.010	265.000	5.970	9.740	12.664	0.426	0.321	0.724	9.740	12.664	0.366	15.977	0.380	0.320	0.348	265.000	5.421	9.765	16.338	0.406	0.307	0.724	9.765	16.338	0.350	19.034	0.357	0.249	0.293	0.724
goa_nonexp_predictions.tsv	cellular_component	0.010	265.000	5.186	2.488	4.817	0.718	0.552	0.823	2.488	4.817	0.624	5.421	0.676	0.518	0.587	265.000	3.150	3.175	5.952	0.597	0.456	0.823	3.175	5.952	0.517	6.746	0.498	0.346	0.408	0.823
goa_nonexp_predictions.tsv	molecular_function	0.010	217.000	3.399	5.876	2.195	0.433	0.487	0.728	5.876	2.195	0.459	6.272	0.366	0.608	0.457	217.000	5.042	9.242	3.840	0.414	0.495	0.728	9.242	3.840	0.451	10.008	0.353	0.568	0.435	0.728
naive_predictions.tsv	biological_process	0.010	366.000	4.445	51.555	14.189	0.079	0.246	1.000	51.555	14.189	0.120	53.471	0.079	0.239	0.119	366.000	3.068	27.911	18.692	0.099	0.192	1.000	27.911	18.692	0.131	33.592	0.099	0.141	0.116	1.000
naive_predictions.tsv	cellular_component	0.100	322.000	2.944	3.056	7.059	0.491	0.371	1.000	3.056	7.059	0.423	7.692	0.491	0.294	0.368	322.000	1.033	2.124	8.069	0.327	0.261	1.000	2.124	8.069	0.290	8.343	0.327	0.114	0.169	1.000
naive_predictions.tsv	molecular_function	0.070	298.000	0.943	1.057	4.651	0.471	0.341	1.000	1.057	4.651	0.396	4.770	0.471	0.169	0.248	298.000	0.319	0.319	8.564	0.500	0.293	1.000	0.319	8.564	0.370	8.570	0.500	0.036	0.067	1.000
prott5_predictions.tsv	biological_process	0.920	221.000	4.563	29.727	14.071	0.286	0.259	0.604	29.727	14.071	0.272	32.889	0.133	0.245	0.172	220.000	5.159	39.602	16.600	0.271	0.243	0.601	39.602	16.600	0.256	42.940	0.115	0.237	0.155	1.000
prott5_predictions.tsv	cellular_component	0.870	273.000	4.950	23.767	5.053	0.350	0.498	0.848	23.767	5.053	0.411	24.298	0.172	0.495	0.256	273.000	3.931	42.466	5.171	0.258	0.443	0.848	42.466	5.171	0.326	42.780	0.085	0.432	0.142	1.000
prott5_predictions.tsv	molecular_function	0.870	218.000	2.044	17.319	3.550	0.270	0.429	0.732	17.319	3.550	0.332	17.679	0.106	0.365	0.164	218.000	2.664	41.886	6.218	0.217	0.410	0.732	41.886	6.218	0.284	42.345	0.060	0.300	0.100	1.000
transfew_predictions.tsv	biological_process	0.470	363.000	9.839	11.932	8.795	0.460	0.521	0.992	11.932	8.795	0.489	14.823	0.452	0.528	0.487	363.000	9.920	13.558	11.839	0.446	0.490	0.992	13.558	11.839	0.467	18.000	0.423	0.456	0.439	1.000
transfew_predictions.tsv	cellular_component	0.560	322.000	7.196	3.016	2.807	0.720	0.732	1.000	3.016	2.807	0.726	4.120	0.705	0.719	0.712	322.000	4.684	3.288	4.417	0.652	0.589	1.000	3.288	4.417	0.619	5.507	0.588	0.515	0.549	1.000
transfew_predictions.tsv	molecular_function	0.490	298.000	3.403	2.762	2.191	0.614	0.678	1.000	2.762	2.191	0.644	3.525	0.552	0.608	0.579	298.000	4.664	4.161	4.219	0.611	0.651	1.000	4.161	4.219	0.630	5.926	0.528	0.525	0.527	1.000
