filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w	cov_max
blast_predictions.tsv	biological_process	0.750	109.000	3.437	11.383	15.197	0.402	0.171	0.298	11.383	15.197	0.240	18.987	0.232	0.184	0.205	109.000	4.128	15.065	17.631	0.377	0.167	0.298	15.065	17.631	0.232	23.191	0.215	0.190	0.202	1.000
blast_predictions.tsv	cellular_component	0.710	95.000	2.624	4.034	7.379	0.593	0.240	0.295	4.034	7.379	0.342	8.410	0.394	0.262	0.315	95.000	2.204	6.491	6.897	0.474	0.215	0.295	6.491	6.897	0.295	9.472	0.253	0.242	0.248	1.000
blast_predictions.tsv	molecular_function	0.490	186.000	2.624	6.540	2.970	0.396	0.438	0.624	6.540	2.970	0.416	7.183	0.286	0.469	0.356	186.000	3.326	13.574	5.557	0.345	0.421	0.624	13.574	5.557	0.380	14.667	0.197	0.374	0.258	1.000
funbind_predictions.tsv	biological_process	0.400	365.000	8.347	11.287	10.287	0.454	0.467	0.997	11.287	10.287	0.461	15.271	0.425	0.448	0.436	365.000	8.046	12.440	13.713	0.441	0.428	0.997	12.440	13.713	0.435	18.515	0.393	0.370	0.381	1.000
funbind_predictions.tsv	cellular_component	0.610	322.000	6.733	2.615	3.270	0.759	0.696	1.000	2.615	3.270	0.726	4.187	0.720	0.673	0.696	322.000	4.180	2.610	4.921	0.688	0.549	1.000	2.610	4.921	0.611	5.571	0.616	0.459	0.526	1.000
funbind_predictions.tsv	molecular_function	0.510	295.000	3.111	2.621	2.483	0.628	0.639	0.990	2.621	2.483	0.633	3.610	0.543	0.556	0.549	295.000	4.345	4.065	4.537	0.624	0.611	0.990	4.065	4.537	0.617	6.092	0.517	0.489	0.503	1.000
goa_nonexp_predictions.tsv	biological_process	0.010	265.000	5.970	9.740	12.664	0.426	0.321	0.724	9.740	12.664	0.366	15.977	0.380	0.320	0.348	265.000	5.421	9.765	16.338	0.406	0.307	0.724	9.765	16.338	0.350	19.034	0.357	0.249	0.293	0.724
goa_nonexp_predictions.tsv	cellular_component	0.010	265.000	5.186	2.488	4.817	0.718	0.552	0.823	2.488	4.817	0.624	5.421	0.676	0.518	0.587	265.000	3.150	3.175	5.952	0.597	0.456	0.823	3.175	5.952	0.517	6.746	0.498	0.346	0.408	0.823
goa_nonexp_predictions.tsv	molecular_function	0.010	217.000	3.399	5.876	2.195	0.433	0.487	0.728	5.876	2.195	0.459	6.272	0.366	0.608	0.457	217.000	5.042	9.242	3.840	0.414	0.495	0.728	9.242	3.840	0.451	10.008	0.353	0.568	0.435	0.728
naive_predictions.tsv	biological_process	0.010	366.000	4.445	51.555	14.189	0.079	0.246	1.000	51.555	14.189	0.120	53.471	0.079	0.239	0.119	366.000	3.068	27.911	18.692	0.099	0.192	1.000	27.911	18.692	0.131	33.592	0.099	0.141	0.116	1.000
naive_predictions.tsv	cellular_component	0.050	322.000	4.947	11.053	5.056	0.309	0.582	1.000	11.053	5.056	0.404	12.154	0.309	0.495	0.381	322.000	2.268	11.241	6.834	0.168	0.482	1.000	11.241	6.834	0.249	13.155	0.168	0.249	0.201	1.000
naive_predictions.tsv	molecular_function	0.070	298.000	0.943	1.057	4.651	0.471	0.341	1.000	1.057	4.651	0.396	4.770	0.471	0.169	0.248	298.000	0.319	0.319	8.564	0.500	0.293	1.000	0.319	8.564	0.370	8.570	0.500	0.036	0.067	1.000
prott5_predictions.tsv	biological_process	0.940	165.000	3.011	14.656	15.623	0.327	0.176	0.451	14.656	15.623	0.229	21.421	0.170	0.162	0.166	164.000	3.671	19.297	18.088	0.327	0.167	0.448	19.297	18.088	0.221	26.449	0.160	0.169	0.164	1.000
prott5_predictions.tsv	cellular_component	0.930	151.000	2.040	4.618	7.963	0.435	0.208	0.469	4.618	7.963	0.282	9.205	0.306	0.204	0.245	151.000	1.796	8.126	7.306	0.311	0.178	0.469	8.126	7.306	0.226	10.928	0.181	0.197	0.189	1.000
prott5_predictions.tsv	molecular_function	0.890	190.000	1.419	7.161	4.174	0.325	0.331	0.638	7.161	4.174	0.328	8.289	0.165	0.254	0.200	190.000	1.795	15.820	7.088	0.274	0.319	0.638	15.820	7.088	0.295	17.335	0.102	0.202	0.135	1.000
transfew_predictions.tsv	biological_process	0.630	359.000	8.880	8.568	9.754	0.508	0.467	0.981	8.568	9.754	0.487	12.983	0.509	0.477	0.492	359.000	8.787	9.320	12.972	0.496	0.440	0.981	9.320	12.972	0.466	15.973	0.485	0.404	0.441	1.000
transfew_predictions.tsv	cellular_component	0.520	322.000	7.332	3.292	2.671	0.703	0.743	1.000	3.292	2.671	0.723	4.239	0.690	0.733	0.711	322.000	4.863	3.676	4.238	0.630	0.604	1.000	3.676	4.238	0.617	5.610	0.570	0.534	0.551	1.000
transfew_predictions.tsv	molecular_function	0.410	298.000	3.520	2.993	2.074	0.600	0.695	1.000	2.993	2.074	0.644	3.642	0.540	0.629	0.581	298.000	4.842	4.461	4.040	0.594	0.669	1.000	4.461	4.040	0.629	6.019	0.521	0.545	0.533	1.000
