filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w	cov_max
blast_predictions.tsv	biological_process	0.830	81.000	2.639	6.593	15.995	0.447	0.132	0.221	6.593	15.995	0.204	17.300	0.286	0.142	0.189	81.000	3.167	8.757	18.592	0.438	0.131	0.221	8.757	18.592	0.202	20.552	0.266	0.146	0.188	1.000
blast_predictions.tsv	cellular_component	0.720	88.000	2.438	3.655	7.565	0.603	0.219	0.273	3.655	7.565	0.322	8.402	0.400	0.244	0.303	88.000	2.083	5.858	7.019	0.483	0.195	0.273	5.858	7.019	0.278	9.142	0.262	0.229	0.244	1.000
blast_predictions.tsv	molecular_function	0.690	70.000	0.872	1.940	4.721	0.456	0.162	0.235	1.940	4.721	0.239	5.104	0.310	0.156	0.208	70.000	1.229	4.166	7.653	0.423	0.158	0.235	4.166	7.653	0.230	8.714	0.228	0.138	0.172	1.000
funbind_predictions.tsv	biological_process	0.650	341.000	6.131	4.948	12.503	0.566	0.355	0.932	4.948	12.503	0.436	13.446	0.553	0.329	0.413	341.000	5.761	5.298	15.998	0.563	0.326	0.932	5.298	15.998	0.413	16.852	0.521	0.265	0.351	1.000
funbind_predictions.tsv	cellular_component	0.660	322.000	6.534	2.335	3.469	0.775	0.676	1.000	2.335	3.469	0.722	4.182	0.737	0.653	0.692	322.000	3.944	2.224	5.158	0.706	0.526	1.000	2.224	5.158	0.603	5.617	0.639	0.433	0.517	1.000
funbind_predictions.tsv	molecular_function	0.700	286.000	2.779	1.936	2.815	0.681	0.587	0.960	1.936	2.815	0.630	3.417	0.589	0.497	0.539	286.000	3.891	3.013	4.991	0.671	0.562	0.960	3.013	4.991	0.612	5.830	0.564	0.438	0.493	1.000
goa_nonexp_predictions.tsv	biological_process	0.010	265.000	5.970	9.740	12.664	0.426	0.321	0.724	9.740	12.664	0.366	15.977	0.380	0.320	0.348	265.000	5.421	9.765	16.338	0.406	0.307	0.724	9.765	16.338	0.350	19.034	0.357	0.249	0.293	0.724
goa_nonexp_predictions.tsv	cellular_component	0.010	265.000	5.186	2.488	4.817	0.718	0.552	0.823	2.488	4.817	0.624	5.421	0.676	0.518	0.587	265.000	3.150	3.175	5.952	0.597	0.456	0.823	3.175	5.952	0.517	6.746	0.498	0.346	0.408	0.823
goa_nonexp_predictions.tsv	molecular_function	0.010	217.000	3.399	5.876	2.195	0.433	0.487	0.728	5.876	2.195	0.459	6.272	0.366	0.608	0.457	217.000	5.042	9.242	3.840	0.414	0.495	0.728	9.242	3.840	0.451	10.008	0.353	0.568	0.435	0.728
naive_predictions.tsv	biological_process	0.030	366.000	0.000	1.000	18.634	0.000	0.000	1.000	1.000	18.634	0.000	18.661	0.000	0.000	0.000	366.000	0.000	0.043	21.759	0.000	0.000	1.000	0.043	21.759	0.000	21.759	0.000	0.000	0.000	1.000
naive_predictions.tsv	cellular_component	0.100	322.000	2.944	3.056	7.059	0.491	0.371	1.000	3.056	7.059	0.423	7.692	0.491	0.294	0.368	322.000	1.033	2.124	8.069	0.327	0.261	1.000	2.124	8.069	0.290	8.343	0.327	0.114	0.169	1.000
naive_predictions.tsv	molecular_function	0.070	298.000	0.943	1.057	4.651	0.471	0.341	1.000	1.057	4.651	0.396	4.770	0.471	0.169	0.248	298.000	0.319	0.319	8.564	0.500	0.293	1.000	0.319	8.564	0.370	8.570	0.500	0.036	0.067	1.000
prott5_predictions.tsv	biological_process	0.970	73.000	1.541	4.514	17.093	0.379	0.075	0.199	4.514	17.093	0.125	17.679	0.255	0.083	0.125	73.000	1.956	6.155	19.803	0.380	0.073	0.199	6.155	19.803	0.123	20.738	0.241	0.090	0.131	1.000
prott5_predictions.tsv	cellular_component	0.950	104.000	1.307	2.283	8.696	0.456	0.128	0.323	2.283	8.696	0.200	8.990	0.364	0.131	0.192	104.000	1.222	3.661	7.879	0.357	0.114	0.323	3.661	7.879	0.172	8.689	0.250	0.134	0.175	1.000
prott5_predictions.tsv	molecular_function	0.940	77.000	0.500	1.426	5.094	0.473	0.117	0.258	1.426	5.094	0.187	5.290	0.260	0.089	0.133	77.000	0.622	3.101	8.261	0.435	0.113	0.258	3.101	8.261	0.179	8.824	0.167	0.070	0.099	1.000
transfew_predictions.tsv	biological_process	0.760	347.000	7.891	6.216	10.743	0.547	0.415	0.948	6.216	10.743	0.472	12.412	0.559	0.423	0.482	347.000	7.631	6.512	14.128	0.537	0.392	0.948	6.512	14.128	0.453	15.557	0.540	0.351	0.425	1.000
transfew_predictions.tsv	cellular_component	0.620	322.000	6.978	2.696	3.025	0.739	0.707	1.000	2.696	3.025	0.723	4.052	0.721	0.698	0.709	322.000	4.496	2.971	4.605	0.667	0.559	1.000	2.971	4.605	0.608	5.481	0.602	0.494	0.543	1.000
transfew_predictions.tsv	molecular_function	0.740	293.000	3.044	1.899	2.550	0.661	0.614	0.983	1.899	2.550	0.636	3.180	0.616	0.544	0.578	293.000	4.177	2.995	4.705	0.642	0.589	0.983	2.995	4.705	0.615	5.578	0.582	0.470	0.520	1.000
deepgoplus_predictions.tsv	biological_process	0.320	311.000	4.863	6.153	13.770	0.535	0.277	0.850	6.153	13.770	0.365	15.083	0.441	0.261	0.328	311.000	4.380	4.912	17.379	0.539	0.237	0.850	4.912	17.379	0.329	18.059	0.471	0.201	0.282	1.000
deepgoplus_predictions.tsv	cellular_component	0.280	320.000	5.615	3.000	4.388	0.695	0.627	0.994	3.000	4.388	0.659	5.316	0.652	0.561	0.603	320.000	2.671	2.961	6.431	0.526	0.445	0.994	2.961	6.431	0.482	7.080	0.474	0.293	0.363	1.000
deepgoplus_predictions.tsv	molecular_function	0.220	207.000	1.919	1.916	3.674	0.630	0.365	0.695	1.916	3.674	0.462	4.144	0.500	0.343	0.407	207.000	2.736	3.072	6.147	0.621	0.354	0.695	3.072	6.147	0.451	6.872	0.471	0.308	0.372	0.963
