filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w	cov_max
blast_predictions.tsv	biological_process	0.640	142.000	3.680	21.580	13.737	0.335	0.205	0.366	21.580	13.737	0.254	25.581	0.146	0.211	0.172	142.000	4.316	29.003	17.487	0.319	0.189	0.366	29.003	17.487	0.238	33.867	0.130	0.198	0.157	0.997
blast_predictions.tsv	cellular_component	0.530	274.000	4.585	7.457	5.195	0.520	0.431	0.557	7.457	5.195	0.471	9.089	0.381	0.469	0.420	274.000	3.672	11.382	5.562	0.404	0.365	0.557	11.382	5.562	0.383	12.668	0.244	0.398	0.302	0.996
blast_predictions.tsv	molecular_function	0.490	198.000	3.086	7.123	2.625	0.431	0.511	0.658	7.123	2.625	0.468	7.591	0.302	0.540	0.388	198.000	4.568	14.902	4.672	0.385	0.498	0.658	14.902	4.672	0.434	15.617	0.235	0.494	0.318	0.997
funbind_predictions.tsv	biological_process	0.410	383.000	7.521	11.149	9.897	0.425	0.425	0.987	11.149	9.897	0.425	14.908	0.403	0.432	0.417	383.000	7.461	12.548	14.342	0.412	0.378	0.987	12.548	14.342	0.394	19.056	0.373	0.342	0.357	1.000
funbind_predictions.tsv	cellular_component	0.560	492.000	6.673	3.455	3.108	0.700	0.723	1.000	3.455	3.108	0.711	4.647	0.659	0.682	0.670	492.000	4.664	3.859	4.571	0.618	0.589	1.000	3.859	4.571	0.603	5.982	0.547	0.505	0.525	1.000
funbind_predictions.tsv	molecular_function	0.720	295.000	3.681	1.953	2.030	0.685	0.645	0.980	1.953	2.030	0.665	2.817	0.653	0.645	0.649	295.000	5.098	3.083	4.141	0.664	0.605	0.980	3.083	4.141	0.633	5.163	0.623	0.552	0.585	1.000
goa_nonexp_predictions.tsv	biological_process	0.010	291.000	5.124	7.456	12.294	0.415	0.298	0.750	7.456	12.294	0.347	14.378	0.407	0.294	0.342	291.000	4.756	7.985	17.047	0.400	0.269	0.750	7.985	17.047	0.322	18.825	0.373	0.218	0.275	0.750
goa_nonexp_predictions.tsv	cellular_component	0.010	415.000	5.142	2.472	4.638	0.702	0.565	0.843	2.472	4.638	0.626	5.256	0.675	0.526	0.591	415.000	3.656	3.422	5.579	0.566	0.473	0.843	3.422	5.579	0.515	6.545	0.516	0.396	0.448	0.843
goa_nonexp_predictions.tsv	molecular_function	0.010	240.000	3.495	6.053	2.216	0.470	0.522	0.797	6.053	2.216	0.494	6.446	0.366	0.612	0.458	240.000	5.816	8.911	3.423	0.469	0.531	0.797	8.911	3.423	0.498	9.546	0.395	0.629	0.485	0.797
naive_predictions.tsv	biological_process	0.010	388.000	3.959	52.041	13.459	0.071	0.241	1.000	52.041	13.459	0.109	53.753	0.071	0.227	0.108	388.000	3.139	27.840	18.664	0.101	0.178	1.000	27.840	18.664	0.129	33.517	0.101	0.144	0.119	1.000
naive_predictions.tsv	cellular_component	0.050	492.000	4.827	11.173	4.953	0.302	0.602	1.000	11.173	4.953	0.402	12.222	0.302	0.494	0.374	492.000	2.344	11.165	6.890	0.174	0.469	1.000	11.165	6.890	0.253	13.120	0.174	0.254	0.206	1.000
naive_predictions.tsv	molecular_function	0.070	301.000	0.831	1.169	4.880	0.415	0.288	1.000	1.169	4.880	0.340	5.019	0.415	0.145	0.215	301.000	0.284	0.354	8.955	0.445	0.234	1.000	0.354	8.955	0.307	8.962	0.445	0.031	0.057	1.000
prott5_predictions.tsv	biological_process	0.940	138.000	2.376	11.095	15.041	0.328	0.142	0.356	11.095	15.041	0.198	18.691	0.176	0.136	0.154	138.000	2.809	15.181	18.994	0.313	0.131	0.356	15.181	18.994	0.184	24.315	0.156	0.129	0.141	1.000
prott5_predictions.tsv	cellular_component	0.890	376.000	3.703	10.831	6.077	0.378	0.370	0.764	10.831	6.077	0.374	12.420	0.255	0.379	0.305	376.000	3.252	17.770	5.983	0.280	0.307	0.764	17.770	5.983	0.293	18.751	0.155	0.352	0.215	1.000
prott5_predictions.tsv	molecular_function	0.920	170.000	1.482	3.352	4.229	0.446	0.281	0.565	3.352	4.229	0.345	5.397	0.307	0.259	0.281	168.000	2.109	7.797	7.131	0.402	0.273	0.558	7.797	7.131	0.325	10.566	0.213	0.228	0.220	1.000
transfew_predictions.tsv	biological_process	0.610	383.000	8.750	7.928	8.668	0.494	0.447	0.987	7.928	8.668	0.469	11.746	0.525	0.502	0.513	383.000	9.398	9.154	12.405	0.487	0.414	0.987	9.154	12.405	0.447	15.417	0.507	0.431	0.466	1.000
transfew_predictions.tsv	cellular_component	0.610	492.000	6.841	3.329	2.939	0.711	0.730	1.000	3.329	2.939	0.720	4.441	0.673	0.700	0.686	492.000	4.862	3.897	4.373	0.638	0.587	1.000	3.897	4.373	0.611	5.857	0.555	0.527	0.540	1.000
transfew_predictions.tsv	molecular_function	0.630	298.000	3.870	1.930	1.841	0.659	0.694	0.990	1.930	1.841	0.676	2.667	0.667	0.678	0.672	298.000	5.787	3.128	3.453	0.631	0.660	0.990	3.128	3.453	0.645	4.659	0.649	0.626	0.638	1.000
