filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w	cov_max
blast_predictions.tsv	biological_process	0.690	114.000	3.077	15.263	14.340	0.370	0.170	0.294	15.263	14.340	0.233	20.943	0.168	0.177	0.172	114.000	3.688	20.180	18.115	0.357	0.157	0.294	20.180	18.115	0.218	27.118	0.155	0.169	0.162	0.997
blast_predictions.tsv	cellular_component	0.620	202.000	3.530	4.217	6.250	0.629	0.312	0.411	4.217	6.250	0.417	7.540	0.456	0.361	0.403	202.000	2.865	6.377	6.370	0.521	0.267	0.411	6.377	6.370	0.353	9.014	0.310	0.310	0.310	0.996
blast_predictions.tsv	molecular_function	0.560	143.000	2.299	3.973	3.412	0.492	0.371	0.475	3.973	3.412	0.423	5.237	0.367	0.403	0.384	143.000	3.428	7.910	5.811	0.460	0.364	0.475	7.910	5.811	0.407	9.815	0.302	0.371	0.333	0.997
funbind_predictions.tsv	biological_process	0.390	384.000	7.680	11.832	9.737	0.414	0.434	0.990	11.832	9.737	0.424	15.324	0.394	0.441	0.416	384.000	7.641	13.353	14.162	0.401	0.387	0.990	13.353	14.162	0.394	19.464	0.364	0.350	0.357	1.000
funbind_predictions.tsv	cellular_component	0.520	492.000	6.819	3.778	2.961	0.682	0.738	1.000	3.778	2.961	0.709	4.801	0.643	0.697	0.669	492.000	4.834	4.290	4.401	0.601	0.606	1.000	4.290	4.401	0.603	6.145	0.530	0.523	0.527	1.000
funbind_predictions.tsv	molecular_function	0.720	295.000	3.681	1.953	2.030	0.685	0.645	0.980	1.953	2.030	0.665	2.817	0.653	0.645	0.649	295.000	5.098	3.083	4.141	0.664	0.605	0.980	3.083	4.141	0.633	5.163	0.623	0.552	0.585	1.000
goa_nonexp_predictions.tsv	biological_process	0.010	291.000	5.124	7.456	12.294	0.415	0.298	0.750	7.456	12.294	0.347	14.378	0.407	0.294	0.342	291.000	4.756	7.985	17.047	0.400	0.269	0.750	7.985	17.047	0.322	18.825	0.373	0.218	0.275	0.750
goa_nonexp_predictions.tsv	cellular_component	0.010	415.000	5.142	2.472	4.638	0.702	0.565	0.843	2.472	4.638	0.626	5.256	0.675	0.526	0.591	415.000	3.656	3.422	5.579	0.566	0.473	0.843	3.422	5.579	0.515	6.545	0.516	0.396	0.448	0.843
goa_nonexp_predictions.tsv	molecular_function	0.010	240.000	3.495	6.053	2.216	0.470	0.522	0.797	6.053	2.216	0.494	6.446	0.366	0.612	0.458	240.000	5.816	8.911	3.423	0.469	0.531	0.797	8.911	3.423	0.498	9.546	0.395	0.629	0.485	0.797
naive_predictions.tsv	biological_process	0.010	388.000	3.959	52.041	13.459	0.071	0.241	1.000	52.041	13.459	0.109	53.753	0.071	0.227	0.108	388.000	3.139	27.840	18.664	0.101	0.178	1.000	27.840	18.664	0.129	33.517	0.101	0.144	0.119	1.000
naive_predictions.tsv	cellular_component	0.050	492.000	4.827	11.173	4.953	0.302	0.602	1.000	11.173	4.953	0.402	12.222	0.302	0.494	0.374	492.000	2.344	11.165	6.890	0.174	0.469	1.000	11.165	6.890	0.253	13.120	0.174	0.254	0.206	1.000
naive_predictions.tsv	molecular_function	0.020	301.000	1.007	4.993	4.704	0.168	0.320	1.000	4.993	4.704	0.220	6.860	0.168	0.176	0.172	301.000	0.459	5.073	8.780	0.083	0.259	1.000	5.073	8.780	0.126	10.140	0.083	0.050	0.062	1.000
prott5_predictions.tsv	biological_process	0.940	138.000	2.376	11.095	15.041	0.328	0.142	0.356	11.095	15.041	0.198	18.691	0.176	0.136	0.154	138.000	2.809	15.181	18.994	0.313	0.131	0.356	15.181	18.994	0.184	24.315	0.156	0.129	0.141	1.000
prott5_predictions.tsv	cellular_component	0.920	285.000	2.352	4.697	7.429	0.457	0.237	0.579	4.697	7.429	0.312	8.789	0.334	0.240	0.279	284.000	2.213	7.334	7.021	0.363	0.206	0.577	7.334	7.021	0.263	10.153	0.232	0.240	0.236	1.000
prott5_predictions.tsv	molecular_function	0.920	170.000	1.482	3.352	4.229	0.446	0.281	0.565	3.352	4.229	0.345	5.397	0.307	0.259	0.281	168.000	2.109	7.797	7.131	0.402	0.273	0.558	7.797	7.131	0.325	10.566	0.213	0.228	0.220	1.000
