filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w	cov_max
blast_predictions.tsv	biological_process	0.500	1857.000	3.441	124.779	10.279	0.064	0.240	0.773	124.779	10.279	0.101	125.202	0.027	0.251	0.048	1857.000	3.627	163.576	12.236	0.056	0.230	0.773	163.576	12.236	0.091	164.033	0.022	0.229	0.040	0.998
blast_predictions.tsv	cellular_component	0.480	1141.000	1.238	16.935	2.491	0.117	0.312	0.711	16.935	2.491	0.170	17.117	0.068	0.332	0.113	1141.000	1.958	30.574	4.987	0.107	0.288	0.711	30.574	4.987	0.156	30.978	0.060	0.282	0.099	0.998
blast_predictions.tsv	molecular_function	0.530	491.000	1.122	7.759	2.375	0.182	0.247	0.527	7.759	2.375	0.210	8.115	0.126	0.321	0.181	491.000	1.784	17.832	5.768	0.164	0.246	0.527	17.832	5.768	0.197	18.741	0.091	0.236	0.131	0.998
funbind_predictions.tsv	biological_process	0.310	2309.000	2.505	24.648	11.214	0.132	0.188	0.961	24.648	11.214	0.155	27.079	0.092	0.183	0.123	2309.000	2.534	27.771	13.328	0.122	0.181	0.961	27.771	13.328	0.146	30.804	0.084	0.160	0.110	1.000
funbind_predictions.tsv	cellular_component	0.120	1443.000	1.617	9.815	2.112	0.168	0.389	0.900	9.815	2.112	0.235	10.040	0.141	0.434	0.213	1443.000	2.533	16.165	4.412	0.159	0.367	0.900	16.165	4.412	0.222	16.757	0.135	0.365	0.198	0.997
funbind_predictions.tsv	molecular_function	0.280	749.000	1.231	4.363	2.266	0.234	0.319	0.805	4.363	2.266	0.270	4.917	0.220	0.352	0.271	749.000	2.024	8.164	5.528	0.241	0.323	0.805	8.164	5.528	0.276	9.860	0.199	0.268	0.228	0.997
goa_nonexp_predictions.tsv	biological_process	0.010	1853.000	2.159	28.106	11.560	0.135	0.154	0.771	28.106	11.560	0.144	30.391	0.071	0.157	0.098	1853.000	2.230	33.985	13.632	0.130	0.148	0.771	33.985	13.632	0.139	36.617	0.062	0.141	0.086	0.771
goa_nonexp_predictions.tsv	cellular_component	0.010	1008.000	0.830	3.656	2.899	0.213	0.201	0.628	3.656	2.899	0.207	4.666	0.185	0.223	0.202	1008.000	1.182	5.999	5.763	0.203	0.188	0.628	5.999	5.763	0.195	8.319	0.165	0.170	0.167	0.628
goa_nonexp_predictions.tsv	molecular_function	0.010	676.000	1.263	6.120	2.234	0.204	0.266	0.726	6.120	2.234	0.231	6.515	0.171	0.361	0.232	676.000	2.066	9.995	5.487	0.207	0.273	0.726	9.995	5.487	0.235	11.402	0.171	0.274	0.211	0.726
naive_predictions.tsv	biological_process	0.010	2402.000	2.006	42.172	11.714	0.046	0.113	1.000	42.172	11.714	0.065	43.768	0.045	0.146	0.069	2402.000	1.387	22.406	14.475	0.057	0.086	1.000	22.406	14.475	0.068	26.675	0.058	0.087	0.070	1.000
naive_predictions.tsv	cellular_component	0.020	1604.000	1.460	18.281	2.269	0.075	0.411	1.000	18.281	2.269	0.126	18.421	0.074	0.392	0.124	1604.000	1.439	20.757	5.506	0.064	0.338	1.000	20.757	5.506	0.107	21.475	0.065	0.207	0.099	1.000
naive_predictions.tsv	molecular_function	0.070	342.000	0.119	0.510	3.378	0.196	0.056	0.367	0.510	3.378	0.087	3.416	0.189	0.034	0.058	342.000	0.038	0.152	7.514	0.206	0.050	0.367	0.152	7.514	0.080	7.516	0.199	0.005	0.010	1.000
prott5_predictions.tsv	biological_process	0.900	1812.000	2.731	150.423	10.988	0.058	0.181	0.754	150.423	10.988	0.087	150.824	0.018	0.199	0.033	1808.000	2.917	203.469	12.945	0.052	0.173	0.753	203.469	12.945	0.080	203.881	0.014	0.184	0.026	1.000
prott5_predictions.tsv	cellular_component	0.880	1213.000	1.107	26.274	2.622	0.087	0.278	0.756	26.274	2.622	0.132	26.405	0.040	0.297	0.071	1213.000	1.813	50.128	5.132	0.080	0.260	0.756	50.128	5.132	0.123	50.390	0.035	0.261	0.062	1.000
prott5_predictions.tsv	molecular_function	0.900	509.000	0.713	8.414	2.784	0.161	0.188	0.547	8.414	2.784	0.173	8.862	0.078	0.204	0.113	501.000	1.266	21.232	6.287	0.153	0.187	0.538	21.232	6.287	0.168	22.143	0.056	0.168	0.084	1.000
transfew_predictions.tsv	biological_process	0.220	2374.000	2.931	33.902	10.788	0.127	0.233	0.988	33.902	10.788	0.164	35.577	0.080	0.214	0.116	2374.000	2.961	39.623	12.901	0.114	0.221	0.988	39.623	12.901	0.151	41.670	0.070	0.187	0.101	1.000
transfew_predictions.tsv	cellular_component	0.120	1546.000	1.470	6.918	2.259	0.180	0.361	0.964	6.918	2.259	0.240	7.277	0.175	0.394	0.243	1545.000	2.159	10.063	4.786	0.173	0.328	0.963	10.063	4.786	0.227	11.143	0.177	0.311	0.225	1.000
transfew_predictions.tsv	molecular_function	0.160	791.000	1.261	3.511	2.236	0.245	0.327	0.850	3.511	2.236	0.280	4.163	0.264	0.361	0.305	790.000	1.972	6.652	5.580	0.244	0.325	0.849	6.652	5.580	0.279	8.682	0.229	0.261	0.244	0.998
