filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w	cov_max
blast_predictions.tsv	biological_process	0.520	209.000	7.373	43.273	10.264	0.277	0.419	0.672	43.273	10.264	0.334	44.474	0.146	0.418	0.216	209.000	6.769	54.734	12.164	0.242	0.390	0.672	54.734	12.164	0.298	56.069	0.110	0.358	0.168	1.000
blast_predictions.tsv	cellular_component	0.530	137.000	5.092	11.446	3.179	0.481	0.626	0.745	11.446	3.179	0.544	11.879	0.308	0.616	0.411	137.000	3.660	16.708	3.262	0.379	0.582	0.745	16.708	3.262	0.459	17.024	0.180	0.529	0.268	1.000
blast_predictions.tsv	molecular_function	0.520	122.000	2.537	6.165	2.564	0.442	0.489	0.649	6.165	2.564	0.465	6.677	0.292	0.497	0.368	122.000	4.078	13.779	5.452	0.423	0.471	0.649	13.779	5.452	0.445	14.818	0.228	0.428	0.298	1.000
funbind_predictions.tsv	biological_process	0.400	306.000	7.415	11.325	10.222	0.464	0.466	0.984	11.325	10.222	0.465	15.256	0.396	0.420	0.408	306.000	6.520	12.153	12.413	0.433	0.428	0.984	12.153	12.413	0.431	17.372	0.349	0.344	0.347	0.984
funbind_predictions.tsv	cellular_component	0.700	178.000	5.234	2.000	3.038	0.775	0.651	0.967	2.000	3.038	0.707	3.637	0.724	0.633	0.675	178.000	3.059	1.887	3.862	0.723	0.539	0.967	1.887	3.862	0.617	4.299	0.619	0.442	0.516	0.967
funbind_predictions.tsv	molecular_function	0.540	179.000	3.170	2.777	1.931	0.580	0.629	0.952	2.777	1.931	0.604	3.382	0.533	0.621	0.574	179.000	5.137	5.190	4.393	0.575	0.576	0.952	5.190	4.393	0.575	6.799	0.497	0.539	0.517	0.957
goa_nonexp_predictions.tsv	biological_process	0.010	272.000	9.270	14.161	8.367	0.484	0.550	0.875	14.161	8.367	0.515	16.448	0.396	0.526	0.451	272.000	8.575	14.789	10.359	0.468	0.519	0.875	14.789	10.359	0.492	18.056	0.367	0.453	0.405	0.875
goa_nonexp_predictions.tsv	cellular_component	0.010	172.000	6.478	3.929	1.793	0.716	0.791	0.935	3.929	1.793	0.752	4.319	0.622	0.783	0.694	172.000	4.811	4.634	2.111	0.655	0.734	0.935	4.634	2.111	0.692	5.093	0.509	0.695	0.588	0.935
goa_nonexp_predictions.tsv	molecular_function	0.010	157.000	3.484	6.351	1.617	0.453	0.617	0.835	6.351	1.617	0.522	6.554	0.354	0.683	0.467	157.000	6.331	10.825	3.199	0.457	0.609	0.835	10.825	3.199	0.522	11.288	0.369	0.664	0.474	0.835
naive_predictions.tsv	biological_process	0.010	311.000	3.711	52.289	13.926	0.066	0.233	1.000	52.289	13.926	0.103	54.112	0.066	0.210	0.101	311.000	2.153	29.515	16.780	0.068	0.162	1.000	29.515	16.780	0.096	33.952	0.068	0.114	0.085	1.000
naive_predictions.tsv	cellular_component	0.100	184.000	2.636	3.364	5.636	0.439	0.379	1.000	3.364	5.636	0.407	6.564	0.439	0.319	0.369	184.000	0.890	2.270	6.032	0.282	0.284	1.000	2.270	6.032	0.283	6.445	0.282	0.129	0.176	1.000
naive_predictions.tsv	molecular_function	0.070	188.000	0.676	1.324	4.426	0.338	0.245	1.000	1.324	4.426	0.284	4.619	0.338	0.132	0.190	188.000	0.226	0.419	9.304	0.351	0.183	1.000	0.419	9.304	0.241	9.313	0.351	0.024	0.045	1.000
prott5_predictions.tsv	biological_process	0.890	237.000	6.563	84.164	11.074	0.175	0.384	0.762	84.164	11.074	0.241	84.889	0.072	0.372	0.121	235.000	6.439	112.296	12.494	0.149	0.367	0.756	112.296	12.494	0.212	112.989	0.054	0.340	0.094	1.000
prott5_predictions.tsv	cellular_component	0.890	143.000	4.478	17.668	3.793	0.405	0.563	0.777	17.668	3.793	0.471	18.071	0.202	0.541	0.294	143.000	2.995	28.015	3.927	0.319	0.497	0.777	28.015	3.927	0.388	28.289	0.097	0.433	0.158	1.000
prott5_predictions.tsv	molecular_function	0.900	136.000	1.862	8.410	3.239	0.326	0.389	0.723	8.410	3.239	0.355	9.012	0.181	0.365	0.242	136.000	3.047	21.397	6.483	0.308	0.363	0.723	21.397	6.483	0.333	22.357	0.125	0.320	0.179	1.000
transfew_predictions.tsv	biological_process	0.390	311.000	8.305	16.029	9.331	0.395	0.494	1.000	16.029	9.331	0.439	18.547	0.341	0.471	0.396	311.000	7.567	17.442	11.366	0.358	0.454	1.000	17.442	11.366	0.400	20.819	0.303	0.400	0.344	1.000
transfew_predictions.tsv	cellular_component	0.690	184.000	5.788	2.353	2.484	0.752	0.727	1.000	2.353	2.484	0.739	3.421	0.711	0.700	0.705	184.000	3.533	2.525	3.389	0.699	0.622	1.000	2.525	3.389	0.658	4.226	0.583	0.510	0.544	1.000
transfew_predictions.tsv	molecular_function	0.480	188.000	3.160	2.681	1.941	0.553	0.640	1.000	2.681	1.941	0.593	3.310	0.541	0.619	0.578	188.000	5.103	4.682	4.427	0.542	0.587	1.000	4.682	4.427	0.564	6.443	0.522	0.535	0.528	1.000
