filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w	cov_max
blast_predictions.tsv	biological_process	0.550	190.000	6.617	31.068	11.019	0.303	0.366	0.611	31.068	11.019	0.332	32.964	0.176	0.375	0.239	190.000	6.219	38.889	12.714	0.273	0.343	0.611	38.889	12.714	0.304	40.915	0.138	0.328	0.194	1.000
blast_predictions.tsv	cellular_component	0.590	124.000	4.522	8.478	3.750	0.512	0.563	0.674	8.478	3.750	0.536	9.271	0.348	0.547	0.425	124.000	3.180	11.578	3.742	0.420	0.528	0.674	11.578	3.742	0.468	12.167	0.215	0.459	0.293	1.000
blast_predictions.tsv	molecular_function	0.520	122.000	2.537	6.165	2.564	0.442	0.489	0.649	6.165	2.564	0.465	6.677	0.292	0.497	0.368	122.000	4.078	13.779	5.452	0.423	0.471	0.649	13.779	5.452	0.445	14.818	0.228	0.428	0.298	1.000
funbind_predictions.tsv	biological_process	0.410	306.000	7.331	11.023	10.305	0.468	0.458	0.984	11.023	10.305	0.463	15.090	0.399	0.416	0.407	306.000	6.461	11.856	12.472	0.440	0.422	0.984	11.856	12.472	0.431	17.208	0.353	0.341	0.347	0.984
funbind_predictions.tsv	cellular_component	0.550	178.000	5.663	3.071	2.609	0.701	0.708	0.967	3.071	2.609	0.704	4.029	0.648	0.685	0.666	178.000	3.464	3.233	3.458	0.642	0.614	0.967	3.233	3.458	0.627	4.734	0.517	0.500	0.509	0.967
funbind_predictions.tsv	molecular_function	0.430	179.000	3.309	3.229	1.793	0.563	0.648	0.952	3.229	1.793	0.603	3.693	0.506	0.649	0.569	179.000	5.350	5.936	4.180	0.563	0.597	0.952	5.936	4.180	0.579	7.260	0.474	0.561	0.514	0.957
goa_nonexp_predictions.tsv	biological_process	0.010	272.000	9.270	14.161	8.367	0.484	0.550	0.875	14.161	8.367	0.515	16.448	0.396	0.526	0.451	272.000	8.575	14.789	10.359	0.468	0.519	0.875	14.789	10.359	0.492	18.056	0.367	0.453	0.405	0.875
goa_nonexp_predictions.tsv	cellular_component	0.010	172.000	6.478	3.929	1.793	0.716	0.791	0.935	3.929	1.793	0.752	4.319	0.622	0.783	0.694	172.000	4.811	4.634	2.111	0.655	0.734	0.935	4.634	2.111	0.692	5.093	0.509	0.695	0.588	0.935
goa_nonexp_predictions.tsv	molecular_function	0.010	157.000	3.484	6.351	1.617	0.453	0.617	0.835	6.351	1.617	0.522	6.554	0.354	0.683	0.467	157.000	6.331	10.825	3.199	0.457	0.609	0.835	10.825	3.199	0.522	11.288	0.369	0.664	0.474	0.835
naive_predictions.tsv	biological_process	0.010	311.000	3.711	52.289	13.926	0.066	0.233	1.000	52.289	13.926	0.103	54.112	0.066	0.210	0.101	311.000	2.153	29.515	16.780	0.068	0.162	1.000	29.515	16.780	0.096	33.952	0.068	0.114	0.085	1.000
naive_predictions.tsv	cellular_component	0.100	184.000	2.636	3.364	5.636	0.439	0.379	1.000	3.364	5.636	0.407	6.564	0.439	0.319	0.369	184.000	0.890	2.270	6.032	0.282	0.284	1.000	2.270	6.032	0.283	6.445	0.282	0.129	0.176	1.000
naive_predictions.tsv	molecular_function	0.070	188.000	0.676	1.324	4.426	0.338	0.245	1.000	1.324	4.426	0.284	4.619	0.338	0.132	0.190	188.000	0.226	0.419	9.304	0.351	0.183	1.000	0.419	9.304	0.241	9.313	0.351	0.024	0.045	1.000
prott5_predictions.tsv	biological_process	0.890	237.000	6.563	84.164	11.074	0.175	0.384	0.762	84.164	11.074	0.241	84.889	0.072	0.372	0.121	235.000	6.439	112.296	12.494	0.149	0.367	0.756	112.296	12.494	0.212	112.989	0.054	0.340	0.094	1.000
prott5_predictions.tsv	cellular_component	0.890	143.000	4.478	17.668	3.793	0.405	0.563	0.777	17.668	3.793	0.471	18.071	0.202	0.541	0.294	143.000	2.995	28.015	3.927	0.319	0.497	0.777	28.015	3.927	0.388	28.289	0.097	0.433	0.158	1.000
prott5_predictions.tsv	molecular_function	0.910	133.000	1.723	6.681	3.378	0.347	0.362	0.707	6.681	3.378	0.354	7.486	0.205	0.338	0.255	133.000	2.786	16.729	6.744	0.334	0.339	0.707	16.729	6.744	0.336	18.038	0.143	0.292	0.192	1.000
transfew_predictions.tsv	biological_process	0.400	311.000	8.238	15.733	9.399	0.396	0.490	1.000	15.733	9.399	0.438	18.327	0.344	0.467	0.396	311.000	7.507	17.046	11.426	0.361	0.451	1.000	17.046	11.426	0.401	20.522	0.306	0.396	0.345	1.000
transfew_predictions.tsv	cellular_component	0.650	184.000	5.880	2.620	2.391	0.737	0.738	1.000	2.620	2.391	0.737	3.547	0.692	0.711	0.701	184.000	3.616	2.745	3.306	0.684	0.634	1.000	2.745	3.306	0.658	4.297	0.568	0.522	0.544	1.000
transfew_predictions.tsv	molecular_function	0.430	188.000	3.202	2.926	1.899	0.539	0.649	1.000	2.926	1.899	0.589	3.488	0.523	0.628	0.570	188.000	5.158	5.057	4.372	0.536	0.595	1.000	5.057	4.372	0.564	6.685	0.505	0.541	0.522	1.000
