filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w	cov_max
blast_predictions.tsv	biological_process	0.950	35.000	1.190	2.556	16.447	0.366	0.064	0.113	2.556	16.447	0.109	16.644	0.318	0.067	0.111	35.000	1.183	2.712	17.750	0.351	0.058	0.113	2.712	17.750	0.099	17.956	0.304	0.062	0.104	1.000
blast_predictions.tsv	cellular_component	0.760	86.000	3.223	4.783	5.049	0.555	0.394	0.467	4.783	5.049	0.461	6.954	0.403	0.390	0.396	86.000	2.369	6.387	4.553	0.458	0.365	0.467	6.387	4.553	0.406	7.844	0.271	0.342	0.302	1.000
blast_predictions.tsv	molecular_function	0.770	77.000	1.511	1.745	3.590	0.524	0.296	0.410	1.745	3.590	0.378	3.992	0.464	0.296	0.362	77.000	2.445	3.556	7.085	0.517	0.279	0.410	3.556	7.085	0.363	7.927	0.407	0.257	0.315	1.000
funbind_predictions.tsv	biological_process	0.640	278.000	5.595	5.675	12.042	0.541	0.348	0.894	5.675	12.042	0.423	13.312	0.496	0.317	0.387	278.000	4.696	5.888	14.237	0.516	0.318	0.894	5.888	14.237	0.394	15.407	0.444	0.248	0.318	0.984
funbind_predictions.tsv	cellular_component	0.730	178.000	5.163	1.859	3.109	0.784	0.642	0.967	1.859	3.109	0.706	3.622	0.735	0.624	0.675	178.000	3.010	1.773	3.912	0.733	0.532	0.967	1.773	3.912	0.616	4.295	0.629	0.435	0.514	0.967
funbind_predictions.tsv	molecular_function	0.880	164.000	2.426	1.149	2.676	0.686	0.491	0.872	1.149	2.676	0.572	2.912	0.679	0.475	0.559	164.000	3.906	1.948	5.624	0.685	0.453	0.872	1.948	5.624	0.545	5.952	0.667	0.410	0.508	0.957
goa_nonexp_predictions.tsv	biological_process	0.010	272.000	9.270	14.161	8.367	0.484	0.550	0.875	14.161	8.367	0.515	16.448	0.396	0.526	0.451	272.000	8.575	14.789	10.359	0.468	0.519	0.875	14.789	10.359	0.492	18.056	0.367	0.453	0.405	0.875
goa_nonexp_predictions.tsv	cellular_component	0.010	172.000	6.478	3.929	1.793	0.716	0.791	0.935	3.929	1.793	0.752	4.319	0.622	0.783	0.694	172.000	4.811	4.634	2.111	0.655	0.734	0.935	4.634	2.111	0.692	5.093	0.509	0.695	0.588	0.935
goa_nonexp_predictions.tsv	molecular_function	0.010	157.000	3.484	6.351	1.617	0.453	0.617	0.835	6.351	1.617	0.522	6.554	0.354	0.683	0.467	157.000	6.331	10.825	3.199	0.457	0.609	0.835	10.825	3.199	0.522	11.288	0.369	0.664	0.474	0.835
naive_predictions.tsv	biological_process	0.030	311.000	0.003	0.997	17.633	0.003	0.000	1.000	0.997	17.633	0.000	17.662	0.003	0.000	0.000	311.000	0.000	0.043	18.933	0.003	0.000	1.000	0.043	18.933	0.000	18.933	0.003	0.000	0.000	1.000
