filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w	cov_max
blast_predictions.tsv	biological_process	0.570	165.000	4.731	29.006	12.655	0.232	0.278	0.522	29.006	12.655	0.253	31.647	0.140	0.272	0.185	165.000	4.941	37.312	14.785	0.205	0.263	0.522	37.312	14.785	0.231	40.134	0.117	0.250	0.159	0.994
blast_predictions.tsv	cellular_component	0.620	68.000	3.071	6.735	5.097	0.492	0.358	0.439	6.735	5.097	0.414	8.447	0.313	0.376	0.342	68.000	2.836	10.271	6.408	0.407	0.320	0.439	10.271	6.408	0.358	12.106	0.216	0.307	0.254	0.974
blast_predictions.tsv	molecular_function	0.500	153.000	3.171	7.264	2.245	0.460	0.551	0.708	7.264	2.245	0.501	7.603	0.304	0.585	0.400	153.000	4.604	15.775	4.865	0.420	0.509	0.708	15.775	4.865	0.460	16.508	0.226	0.486	0.309	1.000
funbind_predictions.tsv	biological_process	0.480	307.000	4.845	10.196	12.541	0.342	0.301	0.972	10.196	12.541	0.321	16.163	0.322	0.279	0.299	307.000	4.511	11.109	15.215	0.326	0.281	0.972	11.109	15.215	0.301	18.838	0.289	0.229	0.255	0.994
funbind_predictions.tsv	cellular_component	0.650	153.000	4.832	3.194	3.335	0.695	0.644	0.987	3.194	3.335	0.668	4.618	0.602	0.592	0.597	153.000	3.578	3.713	5.666	0.615	0.490	0.987	3.713	5.666	0.545	6.774	0.491	0.387	0.433	0.994
funbind_predictions.tsv	molecular_function	0.440	209.000	3.481	3.449	1.935	0.568	0.639	0.968	3.449	1.935	0.601	3.955	0.502	0.643	0.564	209.000	4.681	5.659	4.789	0.559	0.564	0.968	5.659	4.789	0.562	7.413	0.453	0.494	0.473	0.977
goa_nonexp_predictions.tsv	biological_process	0.010	215.000	5.003	11.684	12.383	0.353	0.288	0.680	11.684	12.383	0.317	17.025	0.300	0.288	0.294	215.000	4.850	12.862	14.875	0.330	0.268	0.680	12.862	14.875	0.296	19.665	0.274	0.246	0.259	0.680
goa_nonexp_predictions.tsv	cellular_component	0.010	137.000	5.206	3.677	2.961	0.710	0.683	0.884	3.677	2.961	0.696	4.722	0.586	0.637	0.611	137.000	4.974	5.250	4.269	0.621	0.610	0.884	5.250	4.269	0.615	6.767	0.487	0.538	0.511	0.884
goa_nonexp_predictions.tsv	molecular_function	0.010	178.000	3.787	4.898	1.630	0.551	0.628	0.824	4.898	1.630	0.587	5.162	0.436	0.699	0.537	178.000	6.347	8.666	3.122	0.537	0.611	0.824	8.666	3.122	0.571	9.211	0.423	0.670	0.519	0.824
naive_predictions.tsv	biological_process	0.010	316.000	4.269	51.731	13.117	0.076	0.290	1.000	51.731	13.117	0.121	53.368	0.076	0.246	0.116	316.000	3.188	28.481	16.537	0.101	0.235	1.000	28.481	16.537	0.141	32.934	0.101	0.162	0.124	1.000
naive_predictions.tsv	cellular_component	0.050	155.000	4.052	11.948	4.116	0.253	0.627	1.000	11.948	4.116	0.361	12.638	0.253	0.496	0.335	155.000	2.293	11.235	6.951	0.169	0.505	1.000	11.235	6.951	0.254	13.211	0.169	0.248	0.201	1.000
naive_predictions.tsv	molecular_function	0.070	216.000	0.856	1.144	4.560	0.428	0.287	1.000	1.144	4.560	0.344	4.701	0.428	0.158	0.231	216.000	0.292	0.354	9.178	0.452	0.207	1.000	0.354	9.178	0.284	9.185	0.452	0.031	0.058	1.000
prott5_predictions.tsv	biological_process	0.900	210.000	4.316	55.187	13.070	0.155	0.269	0.665	55.187	13.070	0.197	56.713	0.073	0.248	0.112	210.000	4.162	75.609	15.563	0.129	0.228	0.665	75.609	15.563	0.165	77.194	0.052	0.211	0.084	1.000
prott5_predictions.tsv	cellular_component	0.900	84.000	2.877	9.600	5.290	0.376	0.342	0.542	9.600	5.290	0.358	10.961	0.231	0.352	0.279	83.000	1.997	15.615	7.246	0.280	0.256	0.535	15.615	7.246	0.267	17.214	0.113	0.216	0.149	1.000
prott5_predictions.tsv	molecular_function	0.880	168.000	2.394	19.065	3.023	0.318	0.481	0.778	19.065	3.023	0.383	19.303	0.112	0.442	0.178	168.000	3.451	50.534	6.019	0.269	0.447	0.778	50.534	6.019	0.336	50.891	0.064	0.364	0.109	1.000
transfew_predictions.tsv	biological_process	0.450	316.000	5.908	14.149	11.478	0.317	0.347	1.000	14.149	11.478	0.331	18.219	0.295	0.340	0.316	316.000	5.539	16.346	14.186	0.296	0.324	1.000	16.346	14.186	0.309	21.643	0.253	0.281	0.266	1.000
transfew_predictions.tsv	cellular_component	0.700	154.000	4.942	3.413	3.226	0.678	0.663	0.994	3.413	3.226	0.671	4.696	0.592	0.605	0.598	154.000	3.941	4.201	5.303	0.605	0.503	0.994	4.201	5.303	0.549	6.765	0.484	0.426	0.453	1.000
transfew_predictions.tsv	molecular_function	0.450	216.000	3.551	3.366	1.866	0.560	0.667	1.000	3.366	1.866	0.609	3.848	0.513	0.656	0.576	216.000	4.841	5.619	4.629	0.554	0.590	1.000	5.619	4.629	0.571	7.280	0.463	0.511	0.486	1.000
deepgoplus_predictions.tsv	biological_process	0.190	301.000	7.348	23.003	10.038	0.309	0.442	0.953	23.003	10.038	0.364	25.098	0.242	0.423	0.308	301.000	6.840	26.562	12.885	0.283	0.396	0.953	26.562	12.885	0.330	29.522	0.205	0.347	0.257	1.000
deepgoplus_predictions.tsv	cellular_component	0.230	155.000	5.226	6.781	2.942	0.559	0.698	1.000	6.781	2.942	0.621	7.391	0.435	0.640	0.518	155.000	3.730	7.899	5.514	0.490	0.545	1.000	7.899	5.514	0.516	9.633	0.321	0.404	0.357	1.000
deepgoplus_predictions.tsv	molecular_function	0.160	184.000	3.542	4.560	1.875	0.535	0.614	0.852	4.560	1.875	0.572	4.931	0.437	0.654	0.524	184.000	5.479	7.665	3.991	0.516	0.584	0.852	7.665	3.991	0.548	8.642	0.417	0.579	0.485	0.972
