filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w	cov_max
blast_predictions.tsv	biological_process	0.920	32.000	1.095	2.690	16.291	0.395	0.047	0.101	2.690	16.291	0.083	16.512	0.289	0.063	0.103	32.000	1.153	3.616	18.572	0.353	0.041	0.101	3.616	18.572	0.073	18.921	0.242	0.058	0.094	0.994
blast_predictions.tsv	cellular_component	0.900	28.000	1.471	2.071	6.697	0.536	0.156	0.181	2.071	6.697	0.241	7.010	0.415	0.180	0.251	28.000	1.470	2.632	7.774	0.504	0.138	0.181	2.632	7.774	0.217	8.207	0.358	0.159	0.220	0.974
blast_predictions.tsv	molecular_function	0.750	91.000	1.625	2.481	3.792	0.499	0.318	0.421	2.481	3.792	0.389	4.531	0.396	0.300	0.341	91.000	2.253	5.052	7.216	0.459	0.287	0.421	5.052	7.216	0.353	8.809	0.308	0.238	0.269	1.000
funbind_predictions.tsv	biological_process	0.770	242.000	3.297	4.535	14.089	0.455	0.207	0.766	4.535	14.089	0.284	14.800	0.421	0.190	0.262	242.000	2.989	4.844	16.736	0.445	0.194	0.766	4.844	16.736	0.271	17.423	0.382	0.152	0.217	0.994
funbind_predictions.tsv	cellular_component	0.810	150.000	4.297	2.232	3.871	0.773	0.569	0.968	2.232	3.871	0.655	4.468	0.658	0.526	0.585	150.000	2.975	2.404	6.269	0.724	0.401	0.968	2.404	6.269	0.517	6.714	0.553	0.322	0.407	0.994
funbind_predictions.tsv	molecular_function	0.870	191.000	2.741	1.815	2.676	0.650	0.494	0.884	1.815	2.676	0.561	3.233	0.602	0.506	0.550	191.000	3.485	2.714	5.984	0.639	0.426	0.884	2.714	5.984	0.511	6.571	0.562	0.368	0.445	0.977
goa_nonexp_predictions.tsv	biological_process	0.010	215.000	5.003	11.684	12.383	0.353	0.288	0.680	11.684	12.383	0.317	17.025	0.300	0.288	0.294	215.000	4.850	12.862	14.875	0.330	0.268	0.680	12.862	14.875	0.296	19.665	0.274	0.246	0.259	0.680
goa_nonexp_predictions.tsv	cellular_component	0.010	137.000	5.206	3.677	2.961	0.710	0.683	0.884	3.677	2.961	0.696	4.722	0.586	0.637	0.611	137.000	4.974	5.250	4.269	0.621	0.610	0.884	5.250	4.269	0.615	6.767	0.487	0.538	0.511	0.884
goa_nonexp_predictions.tsv	molecular_function	0.010	178.000	3.787	4.898	1.630	0.551	0.628	0.824	4.898	1.630	0.587	5.162	0.436	0.699	0.537	178.000	6.347	8.666	3.122	0.537	0.611	0.824	8.666	3.122	0.571	9.211	0.423	0.670	0.519	0.824
naive_predictions.tsv	biological_process	0.030	316.000	0.009	0.991	17.377	0.009	0.000	1.000	0.991	17.377	0.000	17.405	0.009	0.001	0.001	316.000	0.000	0.042	19.725	0.009	0.000	1.000	0.042	19.725	0.000	19.725	0.009	0.000	0.000	1.000
naive_predictions.tsv	cellular_component	0.100	155.000	2.484	3.516	5.684	0.414	0.415	1.000	3.516	5.684	0.415	6.684	0.414	0.304	0.351	155.000	0.742	2.418	8.502	0.235	0.207	1.000	2.418	8.502	0.220	8.839	0.235	0.080	0.120	1.000
naive_predictions.tsv	molecular_function	0.070	216.000	0.856	1.144	4.560	0.428	0.287	1.000	1.144	4.560	0.344	4.701	0.428	0.158	0.231	216.000	0.292	0.354	9.178	0.452	0.207	1.000	0.354	9.178	0.284	9.185	0.452	0.031	0.058	1.000
prott5_predictions.tsv	biological_process	0.970	52.000	1.079	3.953	16.307	0.286	0.056	0.165	3.953	16.307	0.093	16.779	0.214	0.062	0.096	52.000	1.121	5.134	18.604	0.253	0.045	0.165	5.134	18.604	0.077	19.300	0.179	0.057	0.086	1.000
prott5_predictions.tsv	cellular_component	0.950	51.000	1.826	2.368	6.342	0.484	0.191	0.329	2.368	6.342	0.274	6.770	0.435	0.224	0.295	50.000	1.230	3.368	8.014	0.359	0.148	0.323	3.368	8.014	0.210	8.693	0.268	0.133	0.178	1.000
prott5_predictions.tsv	molecular_function	0.940	100.000	1.069	1.889	4.347	0.463	0.226	0.463	1.889	4.347	0.304	4.740	0.362	0.197	0.255	100.000	1.299	3.405	8.170	0.449	0.195	0.463	3.405	8.170	0.272	8.851	0.276	0.137	0.183	1.000
transfew_predictions.tsv	biological_process	0.840	263.000	3.459	5.301	13.927	0.422	0.197	0.832	5.301	13.927	0.269	14.902	0.395	0.199	0.265	263.000	3.203	5.909	16.522	0.404	0.190	0.832	5.909	16.522	0.258	17.547	0.352	0.162	0.222	1.000
transfew_predictions.tsv	cellular_component	0.810	154.000	4.406	2.600	3.761	0.720	0.594	0.994	2.600	3.761	0.651	4.572	0.629	0.539	0.581	154.000	3.454	3.196	5.790	0.650	0.440	0.994	3.196	5.790	0.525	6.614	0.519	0.374	0.435	1.000
transfew_predictions.tsv	molecular_function	0.820	206.000	3.046	1.935	2.370	0.647	0.567	0.954	1.935	2.370	0.604	3.060	0.612	0.562	0.586	206.000	4.099	3.364	5.370	0.622	0.496	0.954	3.364	5.370	0.552	6.337	0.549	0.433	0.484	1.000
