filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w	cov_max
blast_predictions.tsv	biological_process	0.660	1284.000	1.687	41.124	5.879	0.089	0.148	0.456	41.124	5.879	0.112	41.542	0.039	0.223	0.067	1283.000	1.704	53.286	7.789	0.081	0.143	0.456	53.286	7.789	0.104	53.852	0.031	0.179	0.053	0.998
blast_predictions.tsv	cellular_component	0.630	703.000	0.830	8.055	2.679	0.151	0.175	0.476	8.055	2.679	0.162	8.489	0.093	0.237	0.134	703.000	1.071	13.954	7.357	0.130	0.167	0.476	13.954	7.357	0.146	15.775	0.071	0.127	0.091	0.996
blast_predictions.tsv	molecular_function	0.530	738.000	1.303	9.902	2.215	0.185	0.314	0.647	9.902	2.215	0.233	10.146	0.116	0.370	0.177	738.000	2.464	24.134	5.378	0.178	0.312	0.647	24.134	5.378	0.227	24.726	0.093	0.314	0.143	0.996
funbind_predictions.tsv	biological_process	0.290	2654.000	1.903	21.090	5.662	0.133	0.257	0.942	21.090	5.662	0.175	21.837	0.083	0.252	0.125	2654.000	2.105	24.817	7.388	0.126	0.267	0.942	24.817	7.388	0.171	25.894	0.078	0.222	0.116	0.972
funbind_predictions.tsv	cellular_component	0.150	1361.000	1.244	9.275	2.266	0.136	0.278	0.921	9.275	2.266	0.182	9.547	0.118	0.354	0.177	1361.000	1.560	15.946	6.869	0.123	0.271	0.921	15.946	6.869	0.169	17.362	0.089	0.185	0.120	0.984
funbind_predictions.tsv	molecular_function	0.280	922.000	1.281	4.536	2.237	0.250	0.298	0.809	4.536	2.237	0.272	5.058	0.220	0.364	0.274	922.000	2.217	9.934	5.624	0.247	0.285	0.809	9.934	5.624	0.265	11.416	0.182	0.283	0.222	0.968
goa_nonexp_predictions.tsv	biological_process	0.010	2162.000	2.067	20.001	5.498	0.160	0.208	0.767	20.001	5.498	0.181	20.743	0.094	0.273	0.140	2161.000	2.024	24.571	7.469	0.151	0.200	0.767	24.571	7.469	0.172	25.681	0.076	0.213	0.112	0.767
goa_nonexp_predictions.tsv	cellular_component	0.010	1096.000	1.129	4.496	2.380	0.221	0.245	0.742	4.496	2.380	0.233	5.087	0.201	0.322	0.247	1096.000	1.451	7.603	6.978	0.210	0.239	0.742	7.603	6.978	0.223	10.320	0.160	0.172	0.166	0.742
goa_nonexp_predictions.tsv	molecular_function	0.010	905.000	1.564	6.860	1.954	0.253	0.359	0.794	6.860	1.954	0.297	7.132	0.186	0.445	0.262	905.000	2.959	12.495	4.883	0.257	0.357	0.794	12.495	4.883	0.299	13.415	0.191	0.377	0.254	0.794
naive_predictions.tsv	biological_process	0.010	2817.000	0.979	44.217	6.586	0.022	0.077	1.000	44.217	6.586	0.034	44.705	0.022	0.129	0.037	2817.000	0.626	24.979	8.867	0.024	0.061	1.000	24.979	8.867	0.035	26.506	0.024	0.066	0.036	1.000
