filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w	cov_max
blast_predictions.tsv	biological_process	0.780	992.000	1.232	25.639	6.333	0.093	0.099	0.352	25.639	6.333	0.096	26.410	0.046	0.163	0.072	991.000	1.269	32.897	8.224	0.085	0.096	0.352	32.897	8.224	0.090	33.909	0.037	0.134	0.058	0.998
blast_predictions.tsv	cellular_component	0.770	562.000	0.669	4.487	2.840	0.159	0.130	0.380	4.487	2.840	0.143	5.311	0.130	0.191	0.154	562.000	0.875	7.473	7.553	0.138	0.124	0.380	7.473	7.553	0.130	10.625	0.105	0.104	0.104	0.996
blast_predictions.tsv	molecular_function	0.770	446.000	0.769	3.692	2.748	0.215	0.165	0.391	3.692	2.748	0.187	4.603	0.172	0.219	0.193	446.000	1.441	8.973	6.400	0.206	0.166	0.391	8.973	6.400	0.184	11.022	0.138	0.184	0.158	0.996
funbind_predictions.tsv	biological_process	0.440	2448.000	1.382	11.448	6.184	0.155	0.180	0.869	11.448	6.184	0.167	13.011	0.108	0.183	0.136	2448.000	1.530	13.210	7.963	0.153	0.194	0.869	13.210	7.963	0.171	15.425	0.104	0.161	0.126	0.972
funbind_predictions.tsv	cellular_component	0.390	1142.000	0.810	3.846	2.700	0.173	0.177	0.773	3.846	2.700	0.175	4.699	0.174	0.231	0.198	1142.000	1.018	6.659	7.410	0.165	0.171	0.773	6.659	7.410	0.168	9.962	0.133	0.121	0.126	0.984
funbind_predictions.tsv	molecular_function	0.360	857.000	1.148	3.515	2.369	0.267	0.262	0.752	3.515	2.369	0.265	4.239	0.246	0.326	0.281	857.000	1.963	7.640	5.878	0.263	0.250	0.752	7.640	5.878	0.256	9.640	0.204	0.250	0.225	0.968
goa_nonexp_predictions.tsv	biological_process	0.010	2162.000	2.067	20.001	5.498	0.160	0.208	0.767	20.001	5.498	0.181	20.743	0.094	0.273	0.140	2161.000	2.024	24.571	7.469	0.151	0.200	0.767	24.571	7.469	0.172	25.681	0.076	0.213	0.112	0.767
goa_nonexp_predictions.tsv	cellular_component	0.010	1096.000	1.129	4.496	2.380	0.221	0.245	0.742	4.496	2.380	0.233	5.087	0.201	0.322	0.247	1096.000	1.451	7.603	6.978	0.210	0.239	0.742	7.603	6.978	0.223	10.320	0.160	0.172	0.166	0.742
goa_nonexp_predictions.tsv	molecular_function	0.010	905.000	1.564	6.860	1.954	0.253	0.359	0.794	6.860	1.954	0.297	7.132	0.186	0.445	0.262	905.000	2.959	12.495	4.883	0.257	0.357	0.794	12.495	4.883	0.299	13.415	0.191	0.377	0.254	0.794
naive_predictions.tsv	biological_process	0.020	2761.000	0.476	17.228	7.089	0.027	0.032	0.980	17.228	7.089	0.029	18.630	0.027	0.063	0.038	2761.000	0.155	3.321	9.338	0.043	0.021	0.980	3.321	9.338	0.028	9.911	0.045	0.016	0.024	1.000
naive_predictions.tsv	cellular_component	0.060	1470.000	0.501	8.159	3.009	0.055	0.108	0.995	8.159	3.009	0.073	8.696	0.058	0.143	0.082	1470.000	0.304	6.082	8.124	0.048	0.100	0.995	6.082	8.124	0.065	10.149	0.048	0.036	0.041	1.000
naive_predictions.tsv	molecular_function	0.010	1140.000	0.768	35.385	2.750	0.021	0.227	1.000	35.385	2.750	0.039	35.492	0.021	0.218	0.039	1140.000	0.971	44.795	6.871	0.021	0.192	1.000	44.795	6.871	0.038	45.319	0.021	0.124	0.036	1.000
prott5_predictions.tsv	biological_process	0.960	954.000	0.692	17.328	6.874	0.075	0.058	0.339	17.328	6.874	0.065	18.642	0.038	0.091	0.054	950.000	0.765	23.147	8.728	0.072	0.057	0.337	23.147	8.728	0.064	24.738	0.032	0.081	0.046	1.000
prott5_predictions.tsv	cellular_component	0.930	724.000	0.578	5.769	2.931	0.134	0.132	0.490	5.769	2.931	0.133	6.471	0.091	0.165	0.117	723.000	0.666	10.160	7.762	0.115	0.122	0.489	10.160	7.762	0.118	12.786	0.062	0.079	0.069	1.000
prott5_predictions.tsv	molecular_function	0.920	667.000	0.854	6.565	2.664	0.184	0.215	0.585	6.565	2.664	0.198	7.085	0.115	0.243	0.156	667.000	1.681	17.041	6.160	0.175	0.210	0.585	17.041	6.160	0.191	18.120	0.090	0.214	0.127	1.000
transfew_predictions.tsv	biological_process	0.480	2536.000	1.191	10.756	6.374	0.182	0.224	0.900	10.756	6.374	0.201	12.503	0.100	0.157	0.122	2533.000	1.557	12.674	7.936	0.194	0.252	0.900	12.674	7.936	0.219	14.954	0.109	0.164	0.131	1.000
transfew_predictions.tsv	cellular_component	0.260	1318.000	0.937	3.859	2.572	0.178	0.209	0.892	3.859	2.572	0.192	4.637	0.195	0.267	0.226	1318.000	1.057	6.053	7.371	0.173	0.198	0.892	6.053	7.371	0.185	9.538	0.149	0.125	0.136	1.000
transfew_predictions.tsv	molecular_function	0.250	877.000	1.019	3.012	2.498	0.271	0.259	0.769	3.012	2.498	0.265	3.913	0.253	0.290	0.270	875.000	1.675	6.071	6.166	0.267	0.237	0.768	6.071	6.166	0.251	8.653	0.216	0.214	0.215	1.000
