EntryID	term	aspect
A0A1I9LM04	GO:0005575	C
A0A1I9LM04	GO:0005622	C
A0A1I9LM04	GO:0005634	C
A0A1I9LM04	GO:0043226	C
A0A1I9LM04	GO:0043227	C
A0A1I9LM04	GO:0043229	C
A0A1I9LM04	GO:0043231	C
A0A1I9LM04	GO:0110165	C
A0A509AF89	GO:0003674	F
A0A509AF89	GO:0003824	F
A0A509AF89	GO:0004053	F
A0A509AF89	GO:0016787	F
A0A509AF89	GO:0016810	F
A0A509AF89	GO:0016813	F
A0PK05	GO:0005575	C
A0PK05	GO:0005622	C
A0PK05	GO:0005634	C
A0PK05	GO:0005737	C
A0PK05	GO:0005768	C
A0PK05	GO:0005769	C
A0PK05	GO:0005886	C
A0PK05	GO:0010008	C
A0PK05	GO:0012505	C
A0PK05	GO:0012506	C
A0PK05	GO:0016020	C
A0PK05	GO:0030659	C
A0PK05	GO:0031090	C
A0PK05	GO:0031410	C
A0PK05	GO:0031901	C
A0PK05	GO:0031982	C
A0PK05	GO:0043226	C
A0PK05	GO:0043227	C
A0PK05	GO:0043229	C
A0PK05	GO:0043231	C
A0PK05	GO:0071944	C
A0PK05	GO:0097708	C
A0PK05	GO:0098588	C
A0PK05	GO:0110165	C
A2RVP7	GO:0003674	F
A2RVP7	GO:0005488	F
A2RVP7	GO:0005515	F
A2RVP7	GO:0005575	C
A2RVP7	GO:0005622	C
A2RVP7	GO:0005737	C
A2RVP7	GO:0005739	C
A2RVP7	GO:0043226	C
A2RVP7	GO:0043227	C
A2RVP7	GO:0043229	C
A2RVP7	GO:0043231	C
A2RVP7	GO:0110165	C
A7WM73	GO:0006491	P
A7WM73	GO:0008150	P
A7WM73	GO:0008152	P
A7WM73	GO:0009100	P
A7WM73	GO:0009987	P
A7WM73	GO:0019538	P
A7WM73	GO:0043170	P
A7WM73	GO:0044238	P
A7WM73	GO:1901135	P
A8MRC7	GO:0000271	P
A8MRC7	GO:0005975	P
A8MRC7	GO:0005976	P
A8MRC7	GO:0008150	P
A8MRC7	GO:0008152	P
A8MRC7	GO:0009058	P
A8MRC7	GO:0009059	P
A8MRC7	GO:0009250	P
A8MRC7	GO:0009987	P
A8MRC7	GO:0016051	P
A8MRC7	GO:0030243	P
A8MRC7	GO:0030244	P
A8MRC7	GO:0043170	P
A8MRC7	GO:0044042	P
A8MRC7	GO:0044238	P
A8MRC7	GO:0051273	P
A8MRC7	GO:0051274	P
B9DFU2	GO:0003674	F
B9DFU2	GO:0005488	F
B9DFU2	GO:0005515	F
B9DFU2	GO:0005575	C
B9DFU2	GO:0005622	C
B9DFU2	GO:0005737	C
B9DFU2	GO:0005739	C
B9DFU2	GO:0043226	C
B9DFU2	GO:0043227	C
B9DFU2	GO:0043229	C
B9DFU2	GO:0043231	C
B9DFU2	GO:0110165	C
C0HM65	GO:0008150	P
C0HM65	GO:0035738	P
C0HM65	GO:0035821	P
C0HM65	GO:0044419	P
C0HM65	GO:0044559	P
C0HM65	GO:0044560	P
C0HM65	GO:0044562	P
C0LGE0	GO:0005575	C
C0LGE0	GO:0008150	P
C0LGE0	GO:0016020	C
C0LGE0	GO:0031667	P
C0LGE0	GO:0050896	P
C0LGE0	GO:0110165	C
C0LGF4	GO:0000902	P
C0LGF4	GO:0005575	C
C0LGF4	GO:0005886	C
C0LGF4	GO:0008150	P
C0LGF4	GO:0009653	P
C0LGF4	GO:0009664	P
C0LGF4	GO:0009826	P
C0LGF4	GO:0009987	P
C0LGF4	GO:0016020	C
C0LGF4	GO:0016043	P
C0LGF4	GO:0016049	P
C0LGF4	GO:0032502	P
C0LGF4	GO:0040007	P
C0LGF4	GO:0045229	P
C0LGF4	GO:0048589	P
C0LGF4	GO:0048856	P
C0LGF4	GO:0060560	P
C0LGF4	GO:0071554	P
C0LGF4	GO:0071555	P
C0LGF4	GO:0071669	P
C0LGF4	GO:0071840	P
C0LGF4	GO:0071944	C
C0LGF4	GO:0110165	C
C0LGG8	GO:0005575	C
C0LGG8	GO:0005622	C
C0LGG8	GO:0005634	C
C0LGG8	GO:0005886	C
C0LGG8	GO:0016020	C
C0LGG8	GO:0043226	C
C0LGG8	GO:0043227	C
C0LGG8	GO:0043229	C
C0LGG8	GO:0043231	C
C0LGG8	GO:0071944	C
C0LGG8	GO:0110165	C
C0LGH3	GO:0006950	P
C0LGH3	GO:0006952	P
C0LGH3	GO:0008150	P
C0LGH3	GO:0009743	P
C0LGH3	GO:0033036	P
C0LGH3	GO:0033037	P
C0LGH3	GO:0042221	P
C0LGH3	GO:0050896	P
C0LGH3	GO:0051179	P
C0LGH3	GO:0052542	P
C0LGH3	GO:0052545	P
C0LGH3	GO:1901700	P
C0LGT1	GO:0002213	P
C0LGT1	GO:0006950	P
C0LGT1	GO:0006952	P
C0LGT1	GO:0008150	P
C0LGT1	GO:0009605	P
C0LGT1	GO:0009607	P
C0LGT1	GO:0043207	P
C0LGT1	GO:0044419	P
C0LGT1	GO:0050896	P
C0LGT1	GO:0051707	P
C0LGU7	GO:0003006	P
C0LGU7	GO:0005575	C
C0LGU7	GO:0005886	C
C0LGU7	GO:0006935	P
C0LGU7	GO:0007154	P
C0LGU7	GO:0007165	P
C0LGU7	GO:0007166	P
C0LGU7	GO:0008150	P
C0LGU7	GO:0009605	P
C0LGU7	GO:0009856	P
C0LGU7	GO:0009987	P
C0LGU7	GO:0010183	P
C0LGU7	GO:0016020	C
C0LGU7	GO:0022414	P
C0LGU7	GO:0023052	P
C0LGU7	GO:0032501	P
C0LGU7	GO:0032502	P
C0LGU7	GO:0040011	P
C0LGU7	GO:0042221	P
C0LGU7	GO:0042330	P
C0LGU7	GO:0042995	C
C0LGU7	GO:0044706	P
C0LGU7	GO:0048856	P
C0LGU7	GO:0048868	P
C0LGU7	GO:0050789	P
C0LGU7	GO:0050794	P
C0LGU7	GO:0050896	P
C0LGU7	GO:0050918	P
C0LGU7	GO:0051716	P
C0LGU7	GO:0065007	P
C0LGU7	GO:0071944	C
C0LGU7	GO:0090406	C
C0LGU7	GO:0110165	C
C0LGU7	GO:0120025	C
C6Y4A7	GO:0005575	C
C6Y4A7	GO:0005622	C
C6Y4A7	GO:0005737	C
C6Y4A7	GO:0005783	C
C6Y4A7	GO:0005789	C
C6Y4A7	GO:0012505	C
C6Y4A7	GO:0016020	C
C6Y4A7	GO:0031090	C
C6Y4A7	GO:0031984	C
C6Y4A7	GO:0042175	C
C6Y4A7	GO:0043226	C
C6Y4A7	GO:0043227	C
C6Y4A7	GO:0043229	C
C6Y4A7	GO:0043231	C
C6Y4A7	GO:0098827	C
C6Y4A7	GO:0110165	C
C9JR72	GO:0003674	F
C9JR72	GO:0005488	F
C9JR72	GO:0005515	F
D0EL35	GO:0000723	P
D0EL35	GO:0000781	C
D0EL35	GO:0005575	C
D0EL35	GO:0005622	C
D0EL35	GO:0005694	C
D0EL35	GO:0006139	P
D0EL35	GO:0006259	P
D0EL35	GO:0006996	P
D0EL35	GO:0008150	P
D0EL35	GO:0008152	P
D0EL35	GO:0009987	P
D0EL35	GO:0016043	P
D0EL35	GO:0032200	P
D0EL35	GO:0043170	P
D0EL35	GO:0043226	C
D0EL35	GO:0043228	C
D0EL35	GO:0043229	C
D0EL35	GO:0043232	C
D0EL35	GO:0044238	P
D0EL35	GO:0051276	P
D0EL35	GO:0071840	P
D0EL35	GO:0090304	P
D0EL35	GO:0098687	C
D0EL35	GO:0110165	C
E9Q236	GO:0003674	F
E9Q236	GO:0005215	F
E9Q236	GO:0022857	F
F4HQA1	GO:0003674	F
F4HQA1	GO:0005488	F
F4HQA1	GO:0005515	F
F4HVY0	GO:0003674	F
F4HVY0	GO:0005488	F
F4HVY0	GO:0005515	F
F4HWL3	GO:0008150	P
F4HWL3	GO:0009987	P
F4HWL3	GO:0016043	P
F4HWL3	GO:0042545	P
F4HWL3	GO:0045229	P
F4HWL3	GO:0071554	P
F4HWL3	GO:0071555	P
F4HWL3	GO:0071840	P
F4HWQ8	GO:0005575	C
F4HWQ8	GO:0005618	C
F4HWQ8	GO:0009505	C
F4HWQ8	GO:0030312	C
F4HWQ8	GO:0071944	C
F4HWQ8	GO:0110165	C
F4HYG2	GO:0006950	P
F4HYG2	GO:0006952	P
F4HYG2	GO:0008150	P
F4HYG2	GO:0009605	P
F4HYG2	GO:0009607	P
F4HYG2	GO:0009617	P
F4HYG2	GO:0042742	P
F4HYG2	GO:0043207	P
F4HYG2	GO:0044419	P
F4HYG2	GO:0050896	P
F4HYG2	GO:0051707	P
F4I111	GO:0006810	P
F4I111	GO:0006811	P
F4I111	GO:0006812	P
F4I111	GO:0006816	P
F4I111	GO:0006851	P
F4I111	GO:0008150	P
F4I111	GO:0009987	P
F4I111	GO:0030001	P
F4I111	GO:0034220	P
F4I111	GO:0036444	P
F4I111	GO:0051179	P
F4I111	GO:0051234	P
F4I111	GO:0055085	P
F4I111	GO:0070588	P
F4I111	GO:0098655	P
F4I111	GO:0098660	P
F4I111	GO:0098662	P
F4I1H5	GO:0003674	F
F4I1H5	GO:0005488	F
F4I1H5	GO:0005515	F
F4I1H5	GO:0005575	C
F4I1H5	GO:0005886	C
F4I1H5	GO:0016020	C
F4I1H5	GO:0071944	C
F4I1H5	GO:0110165	C
F4I241	GO:0000775	C
F4I241	GO:0000776	C
F4I241	GO:0000779	C
F4I241	GO:0000793	C
F4I241	GO:0005575	C
F4I241	GO:0005622	C
F4I241	GO:0005694	C
F4I241	GO:0043226	C
F4I241	GO:0043228	C
F4I241	GO:0043229	C
F4I241	GO:0043232	C
F4I241	GO:0098687	C
F4I241	GO:0099080	C
F4I241	GO:0110165	C
F4I7L1	GO:0000785	C
F4I7L1	GO:0000791	C
F4I7L1	GO:0005575	C
F4I7L1	GO:0005622	C
F4I7L1	GO:0005694	C
F4I7L1	GO:0043226	C
F4I7L1	GO:0043228	C
F4I7L1	GO:0043229	C
F4I7L1	GO:0043232	C
F4I7L1	GO:0110165	C
