filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w
naive_predictions.tsv	biological_process	0.010	388.000	3.959	52.041	13.459	0.071	0.241	1.000	52.041	13.459	0.109	53.753	0.071	0.227	0.108	388.000	3.139	27.840	18.664	0.101	0.178	1.000	27.840	18.664	0.129	33.517	0.101	0.144	0.119
naive_predictions.tsv	biological_process	0.020	388.000	1.686	22.314	15.732	0.070	0.084	1.000	22.314	15.732	0.077	27.303	0.070	0.097	0.081	388.000	0.630	4.764	21.173	0.117	0.052	1.000	4.764	21.173	0.072	21.702	0.117	0.029	0.046
naive_predictions.tsv	biological_process	0.030	388.000	0.000	1.000	17.418	0.000	0.000	1.000	1.000	17.418	0.000	17.446	0.000	0.000	0.000	388.000	0.000	0.043	21.803	0.000	0.000	1.000	0.043	21.803	0.000	21.803	0.000	0.000	0.000
naive_predictions.tsv	molecular_function	0.010	301.000	1.784	36.216	3.927	0.047	0.453	1.000	36.216	3.927	0.085	36.428	0.047	0.312	0.082	301.000	1.587	45.404	7.653	0.034	0.399	1.000	45.404	7.653	0.062	46.044	0.034	0.172	0.056
naive_predictions.tsv	molecular_function	0.020	301.000	1.007	4.993	4.704	0.168	0.320	1.000	4.993	4.704	0.220	6.860	0.168	0.176	0.172	301.000	0.459	5.073	8.780	0.083	0.259	1.000	5.073	8.780	0.126	10.140	0.083	0.050	0.062
naive_predictions.tsv	molecular_function	0.030	301.000	0.831	2.169	4.880	0.277	0.288	1.000	2.169	4.880	0.282	5.341	0.277	0.145	0.191	301.000	0.284	3.270	8.955	0.080	0.234	1.000	3.270	8.955	0.119	9.534	0.080	0.031	0.044
naive_predictions.tsv	molecular_function	0.040	301.000	0.831	2.169	4.880	0.277	0.288	1.000	2.169	4.880	0.282	5.341	0.277	0.145	0.191	301.000	0.284	3.270	8.955	0.080	0.234	1.000	3.270	8.955	0.119	9.534	0.080	0.031	0.044
naive_predictions.tsv	molecular_function	0.050	301.000	0.831	2.169	4.880	0.277	0.288	1.000	2.169	4.880	0.282	5.341	0.277	0.145	0.191	301.000	0.284	3.270	8.955	0.080	0.234	1.000	3.270	8.955	0.119	9.534	0.080	0.031	0.044
naive_predictions.tsv	molecular_function	0.060	301.000	0.831	2.169	4.880	0.277	0.288	1.000	2.169	4.880	0.282	5.341	0.277	0.145	0.191	301.000	0.284	3.270	8.955	0.080	0.234	1.000	3.270	8.955	0.119	9.534	0.080	0.031	0.044
naive_predictions.tsv	molecular_function	0.070	301.000	0.831	1.169	4.880	0.415	0.288	1.000	1.169	4.880	0.340	5.019	0.415	0.145	0.215	301.000	0.284	0.354	8.955	0.445	0.234	1.000	0.354	8.955	0.307	8.962	0.445	0.031	0.057
naive_predictions.tsv	molecular_function	0.080	301.000	0.831	1.169	4.880	0.415	0.288	1.000	1.169	4.880	0.340	5.019	0.415	0.145	0.215	301.000	0.284	0.354	8.955	0.445	0.234	1.000	0.354	8.955	0.307	8.962	0.445	0.031	0.057
naive_predictions.tsv	molecular_function	0.090	301.000	0.831	1.169	4.880	0.415	0.288	1.000	1.169	4.880	0.340	5.019	0.415	0.145	0.215	301.000	0.284	0.354	8.955	0.445	0.234	1.000	0.354	8.955	0.307	8.962	0.445	0.031	0.057
naive_predictions.tsv	molecular_function	0.100	301.000	0.831	1.169	4.880	0.415	0.288	1.000	1.169	4.880	0.340	5.019	0.415	0.145	0.215	301.000	0.284	0.354	8.955	0.445	0.234	1.000	0.354	8.955	0.307	8.962	0.445	0.031	0.057
naive_predictions.tsv	molecular_function	0.110	301.000	0.831	1.169	4.880	0.415	0.288	1.000	1.169	4.880	0.340	5.019	0.415	0.145	0.215	301.000	0.284	0.354	8.955	0.445	0.234	1.000	0.354	8.955	0.307	8.962	0.445	0.031	0.057
naive_predictions.tsv	molecular_function	0.120	301.000	0.831	1.169	4.880	0.415	0.288	1.000	1.169	4.880	0.340	5.019	0.415	0.145	0.215	301.000	0.284	0.354	8.955	0.445	0.234	1.000	0.354	8.955	0.307	8.962	0.445	0.031	0.057
naive_predictions.tsv	molecular_function	0.130	301.000	0.831	1.169	4.880	0.415	0.288	1.000	1.169	4.880	0.340	5.019	0.415	0.145	0.215	301.000	0.284	0.354	8.955	0.445	0.234	1.000	0.354	8.955	0.307	8.962	0.445	0.031	0.057
naive_predictions.tsv	molecular_function	0.140	301.000	0.831	1.169	4.880	0.415	0.288	1.000	1.169	4.880	0.340	5.019	0.415	0.145	0.215	301.000	0.284	0.354	8.955	0.445	0.234	1.000	0.354	8.955	0.307	8.962	0.445	0.031	0.057
naive_predictions.tsv	molecular_function	0.150	301.000	0.831	1.169	4.880	0.415	0.288	1.000	1.169	4.880	0.340	5.019	0.415	0.145	0.215	301.000	0.284	0.354	8.955	0.445	0.234	1.000	0.354	8.955	0.307	8.962	0.445	0.031	0.057
naive_predictions.tsv	molecular_function	0.160	301.000	0.831	1.169	4.880	0.415	0.288	1.000	1.169	4.880	0.340	5.019	0.415	0.145	0.215	301.000	0.284	0.354	8.955	0.445	0.234	1.000	0.354	8.955	0.307	8.962	0.445	0.031	0.057
