filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w	cov_max
blast_predictions.tsv	biological_process	0.550	193.000	5.116	38.513	12.302	0.256	0.294	0.497	38.513	12.302	0.274	40.430	0.117	0.294	0.168	193.000	5.927	51.145	15.876	0.249	0.277	0.497	51.145	15.876	0.262	53.552	0.104	0.272	0.150	0.997
blast_predictions.tsv	cellular_component	0.490	325.000	5.266	10.697	4.514	0.454	0.528	0.661	10.697	4.514	0.488	11.611	0.330	0.538	0.409	325.000	4.248	16.341	4.987	0.338	0.457	0.661	16.341	4.987	0.389	17.085	0.206	0.460	0.285	0.996
blast_predictions.tsv	molecular_function	0.490	198.000	3.086	7.123	2.625	0.431	0.511	0.658	7.123	2.625	0.468	7.591	0.302	0.540	0.388	198.000	4.568	14.902	4.672	0.385	0.498	0.658	14.902	4.672	0.434	15.617	0.235	0.494	0.318	0.997
funbind_predictions.tsv	biological_process	0.400	383.000	7.588	11.552	9.830	0.420	0.429	0.987	11.552	9.830	0.424	15.168	0.396	0.436	0.415	383.000	7.555	13.039	14.248	0.406	0.383	0.987	13.039	14.248	0.394	19.314	0.367	0.347	0.356	1.000
funbind_predictions.tsv	cellular_component	0.560	492.000	6.673	3.455	3.108	0.700	0.723	1.000	3.455	3.108	0.711	4.647	0.659	0.682	0.670	492.000	4.664	3.859	4.571	0.618	0.589	1.000	3.859	4.571	0.603	5.982	0.547	0.505	0.525	1.000
funbind_predictions.tsv	molecular_function	0.720	295.000	3.681	1.953	2.030	0.685	0.645	0.980	1.953	2.030	0.665	2.817	0.653	0.645	0.649	295.000	5.098	3.083	4.141	0.664	0.605	0.980	3.083	4.141	0.633	5.163	0.623	0.552	0.585	1.000
goa_nonexp_predictions.tsv	biological_process	0.010	291.000	5.124	7.456	12.294	0.415	0.298	0.750	7.456	12.294	0.347	14.378	0.407	0.294	0.342	291.000	4.756	7.985	17.047	0.400	0.269	0.750	7.985	17.047	0.322	18.825	0.373	0.218	0.275	0.750
goa_nonexp_predictions.tsv	cellular_component	0.010	415.000	5.142	2.472	4.638	0.702	0.565	0.843	2.472	4.638	0.626	5.256	0.675	0.526	0.591	415.000	3.656	3.422	5.579	0.566	0.473	0.843	3.422	5.579	0.515	6.545	0.516	0.396	0.448	0.843
goa_nonexp_predictions.tsv	molecular_function	0.010	240.000	3.495	6.053	2.216	0.470	0.522	0.797	6.053	2.216	0.494	6.446	0.366	0.612	0.458	240.000	5.816	8.911	3.423	0.469	0.531	0.797	8.911	3.423	0.498	9.546	0.395	0.629	0.485	0.797
naive_predictions.tsv	biological_process	0.010	388.000	3.959	52.041	13.459	0.071	0.241	1.000	52.041	13.459	0.109	53.753	0.071	0.227	0.108	388.000	3.139	27.840	18.664	0.101	0.178	1.000	27.840	18.664	0.129	33.517	0.101	0.144	0.119	1.000
naive_predictions.tsv	cellular_component	0.050	492.000	4.827	11.173	4.953	0.302	0.602	1.000	11.173	4.953	0.402	12.222	0.302	0.494	0.374	492.000	2.344	11.165	6.890	0.174	0.469	1.000	11.165	6.890	0.253	13.120	0.174	0.254	0.206	1.000
naive_predictions.tsv	molecular_function	0.070	301.000	0.831	1.169	4.880	0.415	0.288	1.000	1.169	4.880	0.340	5.019	0.415	0.145	0.215	301.000	0.284	0.354	8.955	0.445	0.234	1.000	0.354	8.955	0.307	8.962	0.445	0.031	0.057	1.000
prott5_predictions.tsv	biological_process	0.910	238.000	4.273	40.629	13.144	0.225	0.254	0.613	40.629	13.144	0.239	42.702	0.095	0.245	0.137	238.000	4.908	54.825	16.896	0.207	0.238	0.613	54.825	16.896	0.221	57.370	0.082	0.225	0.120	1.000
prott5_predictions.tsv	cellular_component	0.890	376.000	3.703	10.831	6.077	0.378	0.370	0.764	10.831	6.077	0.374	12.420	0.255	0.379	0.305	376.000	3.252	17.770	5.983	0.280	0.307	0.764	17.770	5.983	0.293	18.751	0.155	0.352	0.215	1.000
prott5_predictions.tsv	molecular_function	0.900	206.000	1.967	7.385	3.744	0.397	0.375	0.684	7.385	3.744	0.386	8.280	0.210	0.344	0.261	205.000	2.809	18.465	6.430	0.359	0.358	0.681	18.465	6.430	0.359	19.553	0.132	0.304	0.184	1.000
transfew_predictions.tsv	biological_process	0.440	385.000	9.750	11.649	7.668	0.443	0.507	0.992	11.649	7.668	0.473	13.946	0.456	0.560	0.502	385.000	10.714	13.627	11.089	0.441	0.472	0.992	13.627	11.089	0.456	17.569	0.440	0.491	0.464	1.000
transfew_predictions.tsv	cellular_component	0.560	492.000	6.998	3.652	2.783	0.695	0.748	1.000	3.652	2.783	0.720	4.592	0.657	0.716	0.685	492.000	5.039	4.227	4.195	0.618	0.613	1.000	4.227	4.195	0.615	5.956	0.544	0.546	0.545	1.000
transfew_predictions.tsv	molecular_function	0.590	299.000	3.917	2.086	1.794	0.652	0.703	0.993	2.086	1.794	0.676	2.752	0.652	0.686	0.669	299.000	5.864	3.435	3.375	0.626	0.671	0.993	3.435	3.375	0.648	4.816	0.631	0.635	0.633	1.000
deepgoplus_predictions.tsv	biological_process	0.230	363.000	7.180	16.263	10.237	0.363	0.413	0.936	16.263	10.237	0.386	19.217	0.306	0.412	0.351	363.000	6.903	16.713	14.900	0.359	0.360	0.936	16.713	14.900	0.359	22.390	0.292	0.317	0.304	0.997
deepgoplus_predictions.tsv	cellular_component	0.220	492.000	6.776	5.602	3.004	0.596	0.750	1.000	5.602	3.004	0.664	6.356	0.547	0.693	0.612	492.000	4.176	6.401	5.059	0.473	0.586	1.000	6.401	5.059	0.524	8.159	0.395	0.452	0.422	1.000
deepgoplus_predictions.tsv	molecular_function	0.210	267.000	3.641	3.508	2.070	0.590	0.597	0.887	3.508	2.070	0.593	4.073	0.509	0.638	0.566	267.000	5.428	5.321	3.811	0.581	0.583	0.887	5.321	3.811	0.582	6.545	0.505	0.587	0.543	0.980
