filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w	cov_max
blast_predictions.tsv	biological_process	0.860	40.000	1.371	2.856	16.046	0.551	0.072	0.103	2.856	16.046	0.127	16.299	0.324	0.079	0.127	40.000	1.543	3.666	20.260	0.560	0.068	0.103	3.666	20.260	0.121	20.589	0.296	0.071	0.114	0.997
blast_predictions.tsv	cellular_component	0.620	202.000	3.530	4.217	6.250	0.629	0.312	0.411	4.217	6.250	0.417	7.540	0.456	0.361	0.403	202.000	2.865	6.377	6.370	0.521	0.267	0.411	6.377	6.370	0.353	9.014	0.310	0.310	0.310	0.996
blast_predictions.tsv	molecular_function	0.710	78.000	1.409	1.575	4.302	0.595	0.222	0.259	1.575	4.302	0.323	4.581	0.472	0.247	0.324	78.000	2.180	3.222	7.059	0.565	0.218	0.259	3.222	7.059	0.314	7.760	0.404	0.236	0.298	0.997
funbind_predictions.tsv	biological_process	0.750	323.000	5.183	3.936	12.235	0.577	0.287	0.832	3.936	12.235	0.384	12.852	0.568	0.298	0.391	323.000	4.665	4.053	17.138	0.568	0.246	0.832	4.053	17.138	0.343	17.611	0.535	0.214	0.306	1.000
funbind_predictions.tsv	cellular_component	0.720	492.000	6.148	2.449	3.632	0.757	0.668	1.000	2.449	3.632	0.710	4.381	0.715	0.629	0.669	492.000	3.999	2.541	5.236	0.681	0.512	1.000	2.541	5.236	0.584	5.820	0.611	0.433	0.507	1.000
funbind_predictions.tsv	molecular_function	0.720	295.000	3.681	1.953	2.030	0.685	0.645	0.980	1.953	2.030	0.665	2.817	0.653	0.645	0.649	295.000	5.098	3.083	4.141	0.664	0.605	0.980	3.083	4.141	0.633	5.163	0.623	0.552	0.585	1.000
goa_nonexp_predictions.tsv	biological_process	0.010	291.000	5.124	7.456	12.294	0.415	0.298	0.750	7.456	12.294	0.347	14.378	0.407	0.294	0.342	291.000	4.756	7.985	17.047	0.400	0.269	0.750	7.985	17.047	0.322	18.825	0.373	0.218	0.275	0.750
goa_nonexp_predictions.tsv	cellular_component	0.010	415.000	5.142	2.472	4.638	0.702	0.565	0.843	2.472	4.638	0.626	5.256	0.675	0.526	0.591	415.000	3.656	3.422	5.579	0.566	0.473	0.843	3.422	5.579	0.515	6.545	0.516	0.396	0.448	0.843
goa_nonexp_predictions.tsv	molecular_function	0.010	240.000	3.495	6.053	2.216	0.470	0.522	0.797	6.053	2.216	0.494	6.446	0.366	0.612	0.458	240.000	5.816	8.911	3.423	0.469	0.531	0.797	8.911	3.423	0.498	9.546	0.395	0.629	0.485	0.797
naive_predictions.tsv	biological_process	0.030	388.000	0.000	1.000	17.418	0.000	0.000	1.000	1.000	17.418	0.000	17.446	0.000	0.000	0.000	388.000	0.000	0.043	21.803	0.000	0.000	1.000	0.043	21.803	0.000	21.803	0.000	0.000	0.000	1.000
