filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w
naive_predictions.tsv	biological_process	0.010	2402.000	2.006	42.172	11.714	0.046	0.113	1.000	42.172	11.714	0.065	43.768	0.045	0.146	0.069	2402.000	1.387	22.406	14.475	0.057	0.086	1.000	22.406	14.475	0.068	26.675	0.058	0.087	0.070
naive_predictions.tsv	biological_process	0.020	2355.000	0.841	17.040	12.878	0.045	0.039	0.980	17.040	12.878	0.042	21.359	0.047	0.061	0.053	2355.000	0.261	3.078	15.601	0.073	0.020	0.980	3.078	15.601	0.031	15.902	0.078	0.016	0.027
naive_predictions.tsv	biological_process	0.030	2241.000	0.008	0.925	13.711	0.009	0.000	0.933	0.925	13.711	0.001	13.742	0.009	0.001	0.001	2241.000	0.000	0.040	15.862	0.009	0.000	0.933	0.040	15.862	0.000	15.862	0.009	0.000	0.000
naive_predictions.tsv	molecular_function	0.010	931.000	0.672	34.531	2.825	0.019	0.157	1.000	34.531	2.825	0.034	34.646	0.019	0.192	0.035	931.000	0.766	43.813	6.786	0.017	0.139	1.000	43.813	6.786	0.031	44.336	0.017	0.101	0.029
naive_predictions.tsv	molecular_function	0.020	931.000	0.199	4.143	3.299	0.041	0.074	1.000	4.143	3.299	0.053	5.296	0.046	0.057	0.051	931.000	0.114	4.588	7.438	0.025	0.062	1.000	4.588	7.438	0.036	8.739	0.024	0.015	0.019
naive_predictions.tsv	molecular_function	0.030	864.000	0.126	1.432	3.372	0.053	0.059	0.928	1.432	3.372	0.056	3.663	0.081	0.036	0.050	864.000	0.056	2.840	7.496	0.018	0.054	0.928	2.840	7.496	0.027	8.015	0.020	0.007	0.011
naive_predictions.tsv	molecular_function	0.040	864.000	0.126	1.432	3.372	0.053	0.059	0.928	1.432	3.372	0.056	3.663	0.081	0.036	0.050	864.000	0.056	2.840	7.496	0.018	0.054	0.928	2.840	7.496	0.027	8.015	0.020	0.007	0.011
naive_predictions.tsv	molecular_function	0.050	864.000	0.126	1.432	3.372	0.053	0.059	0.928	1.432	3.372	0.056	3.663	0.081	0.036	0.050	864.000	0.056	2.840	7.496	0.018	0.054	0.928	2.840	7.496	0.027	8.015	0.020	0.007	0.011
naive_predictions.tsv	molecular_function	0.060	864.000	0.126	1.432	3.372	0.053	0.059	0.928	1.432	3.372	0.056	3.663	0.081	0.036	0.050	864.000	0.056	2.840	7.496	0.018	0.054	0.928	2.840	7.496	0.027	8.015	0.020	0.007	0.011
naive_predictions.tsv	molecular_function	0.070	342.000	0.119	0.510	3.378	0.196	0.056	0.367	0.510	3.378	0.087	3.416	0.189	0.034	0.058	342.000	0.038	0.152	7.514	0.206	0.050	0.367	0.152	7.514	0.080	7.516	0.199	0.005	0.010
naive_predictions.tsv	molecular_function	0.080	342.000	0.119	0.510	3.378	0.196	0.056	0.367	0.510	3.378	0.087	3.416	0.189	0.034	0.058	342.000	0.038	0.152	7.514	0.206	0.050	0.367	0.152	7.514	0.080	7.516	0.199	0.005	0.010
naive_predictions.tsv	molecular_function	0.090	342.000	0.119	0.510	3.378	0.196	0.056	0.367	0.510	3.378	0.087	3.416	0.189	0.034	0.058	342.000	0.038	0.152	7.514	0.206	0.050	0.367	0.152	7.514	0.080	7.516	0.199	0.005	0.010
naive_predictions.tsv	molecular_function	0.100	342.000	0.119	0.510	3.378	0.196	0.056	0.367	0.510	3.378	0.087	3.416	0.189	0.034	0.058	342.000	0.038	0.152	7.514	0.206	0.050	0.367	0.152	7.514	0.080	7.516	0.199	0.005	0.010
