filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w	cov_max
blast_predictions.tsv	biological_process	0.730	1190.000	1.635	42.460	12.085	0.071	0.106	0.495	42.460	12.085	0.085	44.146	0.037	0.119	0.057	1190.000	1.711	53.976	14.151	0.063	0.103	0.495	53.976	14.151	0.078	55.800	0.031	0.108	0.048	0.998
blast_predictions.tsv	cellular_component	0.520	1037.000	1.044	12.751	2.685	0.122	0.261	0.647	12.751	2.685	0.166	13.030	0.076	0.280	0.119	1037.000	1.662	22.800	5.283	0.113	0.242	0.647	22.800	5.283	0.154	23.404	0.068	0.239	0.106	0.998
blast_predictions.tsv	molecular_function	0.530	491.000	1.122	7.759	2.375	0.182	0.247	0.527	7.759	2.375	0.210	8.115	0.126	0.321	0.181	491.000	1.784	17.832	5.768	0.164	0.246	0.527	17.832	5.768	0.197	18.741	0.091	0.236	0.131	0.998
funbind_predictions.tsv	biological_process	0.380	2248.000	2.109	18.241	11.611	0.140	0.158	0.936	18.241	11.611	0.148	21.623	0.104	0.154	0.124	2248.000	2.124	20.186	13.738	0.131	0.153	0.936	20.186	13.738	0.141	24.417	0.095	0.134	0.111	1.000
funbind_predictions.tsv	cellular_component	0.400	1012.000	0.964	3.004	2.765	0.233	0.200	0.631	3.004	2.765	0.215	4.083	0.243	0.258	0.250	1012.000	1.541	4.523	5.404	0.235	0.187	0.631	4.523	5.404	0.208	7.047	0.254	0.222	0.237	0.997
funbind_predictions.tsv	molecular_function	0.480	622.000	0.967	2.420	2.531	0.267	0.252	0.668	2.420	2.531	0.259	3.501	0.285	0.276	0.281	622.000	1.564	4.383	5.988	0.280	0.252	0.668	4.383	5.988	0.265	7.420	0.263	0.207	0.232	0.997
goa_nonexp_predictions.tsv	biological_process	0.010	1853.000	2.159	28.106	11.560	0.135	0.154	0.771	28.106	11.560	0.144	30.391	0.071	0.157	0.098	1853.000	2.230	33.985	13.632	0.130	0.148	0.771	33.985	13.632	0.139	36.617	0.062	0.141	0.086	0.771
goa_nonexp_predictions.tsv	cellular_component	0.010	1008.000	0.830	3.656	2.899	0.213	0.201	0.628	3.656	2.899	0.207	4.666	0.185	0.223	0.202	1008.000	1.182	5.999	5.763	0.203	0.188	0.628	5.999	5.763	0.195	8.319	0.165	0.170	0.167	0.628
goa_nonexp_predictions.tsv	molecular_function	0.010	676.000	1.263	6.120	2.234	0.204	0.266	0.726	6.120	2.234	0.231	6.515	0.171	0.361	0.232	676.000	2.066	9.995	5.487	0.207	0.273	0.726	9.995	5.487	0.235	11.402	0.171	0.274	0.211	0.726
naive_predictions.tsv	biological_process	0.010	2402.000	2.006	42.172	11.714	0.046	0.113	1.000	42.172	11.714	0.065	43.768	0.045	0.146	0.069	2402.000	1.387	22.406	14.475	0.057	0.086	1.000	22.406	14.475	0.068	26.675	0.058	0.087	0.070	1.000
naive_predictions.tsv	cellular_component	0.020	1604.000	1.460	18.281	2.269	0.075	0.411	1.000	18.281	2.269	0.126	18.421	0.074	0.392	0.124	1604.000	1.439	20.757	5.506	0.064	0.338	1.000	20.757	5.506	0.107	21.475	0.065	0.207	0.099	1.000
naive_predictions.tsv	molecular_function	0.070	342.000	0.119	0.510	3.378	0.196	0.056	0.367	0.510	3.378	0.087	3.416	0.189	0.034	0.058	342.000	0.038	0.152	7.514	0.206	0.050	0.367	0.152	7.514	0.080	7.516	0.199	0.005	0.010	1.000
prott5_predictions.tsv	biological_process	0.940	1379.000	1.330	43.719	12.390	0.064	0.087	0.574	43.719	12.390	0.073	45.441	0.030	0.097	0.045	1378.000	1.413	57.710	14.449	0.056	0.084	0.574	57.710	14.449	0.067	59.491	0.024	0.089	0.038	1.000
prott5_predictions.tsv	cellular_component	0.910	953.000	0.609	8.958	3.120	0.095	0.153	0.594	8.958	3.120	0.117	9.486	0.064	0.163	0.092	953.000	0.978	16.059	5.967	0.087	0.142	0.594	16.059	5.967	0.108	17.132	0.057	0.141	0.082	1.000
