EntryID	term	aspect
A0A1D8PCB9	GO:0008150	P
A0A1D8PCB9	GO:0009410	P
A0A1D8PCB9	GO:0009987	P
A0A1D8PCB9	GO:0042221	P
A0A1D8PCB9	GO:0050896	P
A0A1D8PCB9	GO:0051716	P
A0A1D8PCB9	GO:0070887	P
A0A1D8PCB9	GO:0071466	P
A0A1D8PD39	GO:0008150	P
A0A1D8PD39	GO:0009410	P
A0A1D8PD39	GO:0009987	P
A0A1D8PD39	GO:0042221	P
A0A1D8PD39	GO:0050896	P
A0A1D8PD39	GO:0051716	P
A0A1D8PD39	GO:0070887	P
A0A1D8PD39	GO:0071466	P
A0A1I9LM04	GO:0005575	C
A0A1I9LM04	GO:0005622	C
A0A1I9LM04	GO:0005634	C
A0A1I9LM04	GO:0043226	C
A0A1I9LM04	GO:0043227	C
A0A1I9LM04	GO:0043229	C
A0A1I9LM04	GO:0043231	C
A0A1I9LM04	GO:0110165	C
A0A509AF89	GO:0003674	F
A0A509AF89	GO:0003824	F
A0A509AF89	GO:0004053	F
A0A509AF89	GO:0016787	F
A0A509AF89	GO:0016810	F
A0A509AF89	GO:0016813	F
A0PK05	GO:0005575	C
A0PK05	GO:0005622	C
A0PK05	GO:0005634	C
A0PK05	GO:0005737	C
A0PK05	GO:0005768	C
A0PK05	GO:0005769	C
A0PK05	GO:0005886	C
A0PK05	GO:0010008	C
A0PK05	GO:0012505	C
A0PK05	GO:0012506	C
A0PK05	GO:0016020	C
A0PK05	GO:0030659	C
A0PK05	GO:0031090	C
A0PK05	GO:0031410	C
A0PK05	GO:0031901	C
A0PK05	GO:0031982	C
A0PK05	GO:0043226	C
A0PK05	GO:0043227	C
A0PK05	GO:0043229	C
A0PK05	GO:0043231	C
A0PK05	GO:0071944	C
A0PK05	GO:0097708	C
A0PK05	GO:0098588	C
A0PK05	GO:0110165	C
A2RVP7	GO:0005575	C
A2RVP7	GO:0005622	C
A2RVP7	GO:0005737	C
A2RVP7	GO:0005739	C
A2RVP7	GO:0043226	C
A2RVP7	GO:0043227	C
A2RVP7	GO:0043229	C
A2RVP7	GO:0043231	C
