EntryID	term	aspect
A0A031WDE4	GO:0055129	P
A0A068CNX1	GO:0006081	P
A0A068CNX1	GO:0006082	P
A0A068CNX1	GO:0016835	F
A0A068CNX1	GO:0016836	F
A0A068CNX1	GO:0018958	P
A0A068CNX1	GO:0018982	P
A0A068CNX1	GO:0019752	P
A0A068CNX1	GO:0032787	P
A0A068CNX1	GO:0033494	P
A0A068CNX1	GO:0042189	P
A0A068CNX1	GO:0042537	P
A0A068CNX1	GO:0043436	P
A0A068CNX1	GO:0044281	P
A0A068CNX1	GO:0046184	P
A0A068CNX1	GO:0046189	P
A0A068CNX1	GO:0120254	P
A0A068CNX1	GO:1901503	P
A0A088MLT8	GO:0001501	P
A0A088MLT8	GO:0001553	P
A0A088MLT8	GO:0001667	P
A0A088MLT8	GO:0001822	P
A0A088MLT8	GO:0003006	P
A0A088MLT8	GO:0006629	P
A0A088MLT8	GO:0007154	P
A0A088MLT8	GO:0007165	P
A0A088MLT8	GO:0007166	P
A0A088MLT8	GO:0007167	P
A0A088MLT8	GO:0007169	P
A0A088MLT8	GO:0007548	P
A0A088MLT8	GO:0008152	P
A0A088MLT8	GO:0008202	P
A0A088MLT8	GO:0008210	P
A0A088MLT8	GO:0008406	P
A0A088MLT8	GO:0008585	P
A0A088MLT8	GO:0009653	P
A0A088MLT8	GO:0009791	P
A0A088MLT8	GO:0009887	P
A0A088MLT8	GO:0009888	P
A0A088MLT8	GO:0010171	P
A0A088MLT8	GO:0010761	P
A0A088MLT8	GO:0010817	P
A0A088MLT8	GO:0016477	P
A0A088MLT8	GO:0022414	P
A0A088MLT8	GO:0022602	P
A0A088MLT8	GO:0023052	P
A0A088MLT8	GO:0042445	P
A0A088MLT8	GO:0042698	P
A0A088MLT8	GO:0044238	P
A0A088MLT8	GO:0045137	P
A0A088MLT8	GO:0046545	P
A0A088MLT8	GO:0046660	P
A0A088MLT8	GO:0048008	P
A0A088MLT8	GO:0048511	P
A0A088MLT8	GO:0048513	P
A0A088MLT8	GO:0048608	P
A0A088MLT8	GO:0048609	P
A0A088MLT8	GO:0048705	P
A0A088MLT8	GO:0048745	P
A0A088MLT8	GO:0048870	P
A0A088MLT8	GO:0050789	P
A0A088MLT8	GO:0050794	P
A0A088MLT8	GO:0050896	P
A0A088MLT8	GO:0051716	P
A0A088MLT8	GO:0060021	P
A0A088MLT8	GO:0060322	P
A0A088MLT8	GO:0060323	P
A0A088MLT8	GO:0060324	P
A0A088MLT8	GO:0060325	P
A0A088MLT8	GO:0060537	P
A0A088MLT8	GO:0061458	P
A0A088MLT8	GO:0065007	P
A0A088MLT8	GO:0065008	P
A0A088MLT8	GO:0072001	P
A0A0B4K7J2	GO:0006403	P
A0A0B4K7J2	GO:0006405	P
A0A0B4K7J2	GO:0006406	P
A0A0B4K7J2	GO:0008152	P
A0A0B4K7J2	GO:0009058	P
A0A0B4K7J2	GO:0009059	P
A0A0B4K7J2	GO:0010467	P
A0A0B4K7J2	GO:0015931	P
A0A0B4K7J2	GO:0030674	F
A0A0B4K7J2	GO:0043170	P
A0A0B4K7J2	GO:0050657	P
A0A0B4K7J2	GO:0050658	P
A0A0B4K7J2	GO:0051028	P
A0A0B4K7J2	GO:0051168	P
A0A0B4K7J2	GO:0051236	P
A0A0B4K7J2	GO:0060090	F
A0A0D1C8C8	GO:0044217	C
A0A0D1DWQ2	GO:0044217	C
A0A0F7G352	GO:0006082	P
A0A0F7G352	GO:0016835	F
A0A0F7G352	GO:0016836	F
A0A0F7G352	GO:0019752	P
A0A0F7G352	GO:0032787	P
