EntryID	term	aspect
A0A075B6T8	GO:0019814	C
A0A075B6T8	GO:0032991	C
A0A075B6T8	GO:0005575	C
A0A075B6T8	GO:0006955	P
A0A075B6T8	GO:0050896	P
A0A075B6T8	GO:0002376	P
A0A075B6T8	GO:0002250	P
A0A075B6T8	GO:0008150	P
A0A0H2ZFV1	GO:0000935	C
A0A0H2ZFV1	GO:0030313	C
A0A0H2ZFV1	GO:0009279	C
A0A0H2ZFV1	GO:0071944	C
A0A0H2ZFV1	GO:0032153	C
A0A0H2ZFV1	GO:0016020	C
A0A0H2ZFV1	GO:0030428	C
A0A0H2ZFV1	GO:0030312	C
A0A0H2ZFV1	GO:0110165	C
A0A0H2ZFV1	GO:0019867	C
A0A0H2ZFV1	GO:0005575	C
A0A0H2ZFV1	GO:0003824	F
A0A0H2ZFV1	GO:0003674	F
A0A0H2ZFV1	GO:0061783	F
A0A0H2ZFV1	GO:0008933	F
A0A0H2ZFV1	GO:0016835	F
A0A0H2ZFV1	GO:0016829	F
A0A0H2ZFV1	GO:0016837	F
A0A0H2ZFV1	GO:0000910	P
A0A0H2ZFV1	GO:0043093	P
A0A0H2ZFV1	GO:0022414	P
A0A0H2ZFV1	GO:0051301	P
A0A0H2ZFV1	GO:0008150	P
A0A0H2ZFV1	GO:0009987	P
A0A0H2ZFV1	GO:0007049	P
A0A0H2ZFV1	GO:0019954	P
A0A0H2ZFV1	GO:0022402	P
A0A0H2ZFV1	GO:0022413	P
A0A1B0GTK4	GO:0110165	C
A0A1B0GTK4	GO:0005576	C
A0A1B0GTK4	GO:0005615	C
A0A1B0GTK4	GO:0005575	C
A0A1B0GTL2	GO:0043231	C
A0A1B0GTL2	GO:0043227	C
A0A1B0GTL2	GO:0043226	C
A0A1B0GTL2	GO:0005634	C
A0A1B0GTL2	GO:0110165	C
A0A1B0GTL2	GO:0005622	C
A0A1B0GTL2	GO:0043229	C
A0A1B0GTL2	GO:0005575	C
A0A1D5PUP4	GO:0009966	P
A0A1D5PUP4	GO:0050789	P
A0A1D5PUP4	GO:0010647	P
A0A1D5PUP4	GO:0048584	P
A0A1D5PUP4	GO:0048583	P
A0A1D5PUP4	GO:0023051	P
A0A1D5PUP4	GO:0010646	P
A0A1D5PUP4	GO:0023056	P
A0A1D5PUP4	GO:0008593	P
A0A1D5PUP4	GO:0048518	P
A0A1D5PUP4	GO:0009967	P
A0A1D5PUP4	GO:0008150	P
A0A1D5PUP4	GO:0050794	P
A0A1D5PUP4	GO:0045747	P
A0A1D5PUP4	GO:0048522	P
A0A1D5PUP4	GO:0065007	P
A0A1D8PEY9	GO:1990904	C
A0A1D8PEY9	GO:0043232	C
A0A1D8PEY9	GO:0015935	C
A0A1D8PEY9	GO:0043228	C
A0A1D8PEY9	GO:0005829	C
A0A1D8PEY9	GO:0043226	C
A0A1D8PEY9	GO:0022626	C
A0A1D8PEY9	GO:0044391	C
A0A1D8PEY9	GO:0022627	C
A0A1D8PEY9	GO:0005840	C
A0A1D8PEY9	GO:0110165	C
A0A1D8PEY9	GO:0005622	C
A0A1D8PEY9	GO:0005737	C
A0A1D8PEY9	GO:0032991	C
A0A1D8PEY9	GO:0043229	C
A0A1D8PEY9	GO:0005575	C
A0A1D8PEY9	GO:0005198	F
A0A1D8PEY9	GO:0003735	F
A0A1D8PEY9	GO:0003674	F
A0A1D8PEY9	GO:0006412	P
A0A1D8PEY9	GO:0009059	P
A0A1D8PEY9	GO:0043170	P
A0A1D8PEY9	GO:0019538	P
A0A1D8PEY9	GO:0160307	P
A0A1D8PEY9	GO:0010467	P
A0A1D8PEY9	GO:0009058	P
A0A1D8PEY9	GO:0008150	P
A0A1D8PEY9	GO:0009987	P
A0A1D8PEY9	GO:0002181	P
A0A1D8PEY9	GO:0008152	P
A0A1D8PEY9	GO:0044238	P
A0A4V8H040	GO:0009056	P
A0A4V8H040	GO:0019700	P
A0A4V8H040	GO:0043436	P
A0A4V8H040	GO:0019634	P
A0A4V8H040	GO:0008150	P
A0A4V8H040	GO:0009987	P
A0A4V8H040	GO:0008152	P
A0A4V8H040	GO:0006082	P
A0A4V8H040	GO:0006793	P
A0A4V8H040	GO:0044281	P
A0A4V8H042	GO:0009056	P
A0A4V8H042	GO:0019700	P
A0A4V8H042	GO:0043436	P
A0A4V8H042	GO:0019634	P
A0A4V8H042	GO:0008150	P
A0A4V8H042	GO:0009987	P
A0A4V8H042	GO:0008152	P
A0A4V8H042	GO:0006082	P
A0A4V8H042	GO:0006793	P
A0A4V8H042	GO:0044281	P
A2ADA5	GO:0043231	C
A2ADA5	GO:0043227	C
A2ADA5	GO:0005739	C
A2ADA5	GO:0043229	C
A2ADA5	GO:0043226	C
A2ADA5	GO:0005759	C
A2ADA5	GO:0005622	C
A2ADA5	GO:0070013	C
A2ADA5	GO:0110165	C
A2ADA5	GO:0005737	C
A2ADA5	GO:0031974	C
A2ADA5	GO:0043233	C
A2ADA5	GO:0005575	C
A7E2V1	GO:0007275	P
A7E2V1	GO:0048880	P
A7E2V1	GO:0010842	P
A7E2V1	GO:0009887	P
A7E2V1	GO:0060042	P
A7E2V1	GO:0032501	P
A7E2V1	GO:0048731	P
A7E2V1	GO:0150063	P
A7E2V1	GO:0048856	P
A7E2V1	GO:0001654	P
A7E2V1	GO:0032502	P
A7E2V1	GO:0048593	P
A7E2V1	GO:0009653	P
A7E2V1	GO:0048592	P
A7E2V1	GO:0007423	P
A7E2V1	GO:0048513	P
A7E2V1	GO:0043010	P
A7E2V1	GO:0090596	P
A7E2V1	GO:0060041	P
A7E2V1	GO:0048646	P
A7E2V1	GO:0008150	P
A7E2V1	GO:0003407	P
B3DIY3	GO:0002262	P
B3DIY3	GO:0034101	P
B3DIY3	GO:0030154	P
B3DIY3	GO:0048821	P
B3DIY3	GO:0048871	P
B3DIY3	GO:0032501	P
B3DIY3	GO:0002376	P
B3DIY3	GO:0048856	P
B3DIY3	GO:0042592	P
B3DIY3	GO:0048872	P
B3DIY3	GO:0032502	P
B3DIY3	GO:0030097	P
B3DIY3	GO:0009987	P
B3DIY3	GO:0061515	P
B3DIY3	GO:0048468	P
B3DIY3	GO:0030218	P
B3DIY3	GO:0048869	P
B3DIY3	GO:0008150	P
B3DIY3	GO:0030099	P
B8QHP1	GO:0102033	F
B8QHP1	GO:0003824	F
B8QHP1	GO:0120250	F
B8QHP1	GO:0003674	F
B8QHP1	GO:0016705	F
B8QHP1	GO:0016712	F
B8QHP1	GO:0004497	F
B8QHP1	GO:0016491	F
B8QHP1	GO:0006664	P
B8QHP1	GO:1901135	P
B8QHP1	GO:0008610	P
B8QHP1	GO:0006629	P
B8QHP1	GO:0009247	P
B8QHP1	GO:0009058	P
B8QHP1	GO:0008150	P
B8QHP1	GO:0009987	P
B8QHP1	GO:1901137	P
B8QHP1	GO:0008152	P
B8QHP1	GO:1903509	P
B8QHP1	GO:0044238	P
B8QHP3	GO:0102033	F
B8QHP3	GO:0003824	F
B8QHP3	GO:0120250	F
B8QHP3	GO:0003674	F
B8QHP3	GO:0016705	F
B8QHP3	GO:0016712	F
B8QHP3	GO:0004497	F
B8QHP3	GO:0016491	F
B8QHP5	GO:0102033	F
B8QHP5	GO:0003824	F
B8QHP5	GO:0120250	F
B8QHP5	GO:0003674	F
B8QHP5	GO:0016705	F
B8QHP5	GO:0016712	F
B8QHP5	GO:0004497	F
B8QHP5	GO:0016491	F
C0HLL4	GO:0110165	C
C0HLL4	GO:0005576	C
C0HLL4	GO:0005575	C
C0HLL5	GO:0110165	C
C0HLL5	GO:0005576	C
C0HLL5	GO:0005575	C
E7CQW6	GO:0008194	F
E7CQW6	GO:0003824	F
E7CQW6	GO:0003674	F
E7CQW6	GO:0016740	F
E7CQW6	GO:0016757	F
E7CQW6	GO:0035251	F
E7CQW6	GO:0016758	F
E7CQW6	GO:0046527	F
E7CQW6	GO:0006664	P
E7CQW6	GO:1901135	P
E7CQW6	GO:0008610	P
E7CQW6	GO:0006629	P
E7CQW6	GO:0009247	P
E7CQW6	GO:0009058	P
E7CQW6	GO:0008150	P
E7CQW6	GO:0009987	P
E7CQW6	GO:1901137	P
E7CQW6	GO:0008152	P
E7CQW6	GO:1903509	P
E7CQW6	GO:0044238	P
E9L011	GO:0008194	F
E9L011	GO:0003824	F
E9L011	GO:0003674	F
E9L011	GO:0016740	F
E9L011	GO:0016757	F
E9L011	GO:0035251	F
E9L011	GO:0016758	F
E9L011	GO:0046527	F
E9L011	GO:0006664	P
E9L011	GO:1901135	P
E9L011	GO:0008610	P
E9L011	GO:0006629	P
E9L011	GO:0009247	P
E9L011	GO:0009058	P
E9L011	GO:0008150	P
E9L011	GO:0009987	P
E9L011	GO:1901137	P
E9L011	GO:0008152	P
E9L011	GO:1903509	P
E9L011	GO:0044238	P
E9PRG8	GO:0043231	C
E9PRG8	GO:0043232	C
E9PRG8	GO:0043228	C
E9PRG8	GO:0043227	C
E9PRG8	GO:0043229	C
E9PRG8	GO:0043226	C
E9PRG8	GO:0005730	C
E9PRG8	GO:0005634	C
E9PRG8	GO:0031981	C
E9PRG8	GO:0005622	C
E9PRG8	GO:0070013	C
E9PRG8	GO:0110165	C
E9PRG8	GO:0031974	C
E9PRG8	GO:0043233	C
E9PRG8	GO:0005575	C
E9PRG8	GO:0010564	P
E9PRG8	GO:0050789	P
E9PRG8	GO:0033043	P
E9PRG8	GO:0045787	P
E9PRG8	GO:0051130	P
E9PRG8	GO:0010638	P
E9PRG8	GO:0045876	P
E9PRG8	GO:0007063	P
E9PRG8	GO:0090068	P
E9PRG8	GO:0065007	P
E9PRG8	GO:0033044	P
E9PRG8	GO:0048518	P
E9PRG8	GO:0008150	P
E9PRG8	GO:0050794	P
E9PRG8	GO:0051726	P
E9PRG8	GO:0048522	P
E9PRG8	GO:2001252	P
E9PRG8	GO:0051128	P
G0RH19	GO:0003824	F
G0RH19	GO:0003674	F
G0RH19	GO:0016614	F
G0RH19	GO:0016616	F
G0RH19	GO:0016491	F
G0RH19	GO:0050038	F
G0RH19	GO:0005996	P
G0RH19	GO:0046365	P
G0RH19	GO:0009056	P
G0RH19	GO:0005975	P
G0RH19	GO:0044282	P
G0RH19	GO:0016052	P
G0RH19	GO:0005998	P
G0RH19	GO:0019321	P
G0RH19	GO:0005997	P
G0RH19	GO:0019323	P
G0RH19	GO:0008150	P
G0RH19	GO:0009987	P
G0RH19	GO:0008152	P
G0RH19	GO:0044281	P
G0RH19	GO:0044238	P
G0YF19	GO:0003824	F
G0YF19	GO:0003674	F
G0YF19	GO:0008374	F
G0YF19	GO:0016407	F
G0YF19	GO:0016747	F
G0YF19	GO:0016740	F
G0YF19	GO:0016746	F
G0YF19	GO:0016413	F
G0YF19	GO:0006664	P
G0YF19	GO:1901135	P
G0YF19	GO:0008610	P
G0YF19	GO:0006629	P
G0YF19	GO:0009247	P
G0YF19	GO:0009058	P
G0YF19	GO:0008150	P
G0YF19	GO:0009987	P
G0YF19	GO:1901137	P
G0YF19	GO:0008152	P
G0YF19	GO:1903509	P
G0YF19	GO:0044238	P
H6TB12	GO:0071944	C
H6TB12	GO:0005886	C
H6TB12	GO:0016020	C
H6TB12	GO:0110165	C
H6TB12	GO:0005575	C
H6TB12	GO:0006664	P
H6TB12	GO:1901135	P
H6TB12	GO:0008610	P
H6TB12	GO:0006629	P
H6TB12	GO:0009247	P
H6TB12	GO:0009058	P
H6TB12	GO:0008150	P
H6TB12	GO:0009987	P
H6TB12	GO:1901137	P
H6TB12	GO:0008152	P
H6TB12	GO:1903509	P
H6TB12	GO:0044238	P
I0CME7	GO:0110165	C
I0CME7	GO:0005576	C
I0CME7	GO:0005575	C
I0CME7	GO:0016798	F
I0CME7	GO:0003824	F
I0CME7	GO:0003674	F
I0CME7	GO:0004553	F
I0CME7	GO:0016787	F
I0CME7	GO:0015929	F
I0CME7	GO:0004415	F
I0CME7	GO:0140138	P
I0CME7	GO:0044523	P
I0CME7	GO:0141060	P
I0CME7	GO:0008150	P
I0CME7	GO:0044419	P
K9UV87	GO:0003824	F
K9UV87	GO:0003674	F
K9UV87	GO:0016620	F
K9UV87	GO:0016903	F
K9UV87	GO:0050608	F
K9UV87	GO:0016491	F
O04514	GO:1905039	P
O04514	GO:0055085	P
O04514	GO:0051179	P
O04514	GO:0051234	P
O04514	GO:0015884	P
O04514	GO:0015711	P
O04514	GO:0071705	P
O04514	GO:0072337	P
O04514	GO:0006810	P
O04514	GO:0098838	P
O04514	GO:0035461	P
O04514	GO:0051180	P
O04514	GO:0008150	P
O04514	GO:0009987	P
O04514	GO:0046942	P
O04514	GO:0015849	P
O04514	GO:0006835	P
O14211	GO:0043231	C
O14211	GO:0043227	C
O14211	GO:0005739	C
O14211	GO:0043229	C
O14211	GO:0043226	C
O14211	GO:0005759	C
O14211	GO:0005622	C
O14211	GO:0070013	C
O14211	GO:0110165	C
O14211	GO:0005737	C
O14211	GO:0031974	C
O14211	GO:0043233	C
O14211	GO:0005575	C
O43015	GO:0009056	P
O43015	GO:0005976	P
O43015	GO:0044036	P
O43015	GO:0071554	P
O43015	GO:0005975	P
O43015	GO:0044347	P
O43015	GO:0016052	P
O43015	GO:0043170	P
O43015	GO:0000272	P
O43015	GO:0010383	P
O43015	GO:0016998	P
O43015	GO:0008150	P
O43015	GO:0009987	P
O43015	GO:0008152	P
O43015	GO:0009057	P
O43015	GO:0044238	P
O43084	GO:0140041	P
O43084	GO:1990748	P
O43084	GO:0098754	P
O43084	GO:0051596	P
O43084	GO:0009056	P
O43084	GO:0097237	P
O43084	GO:0051716	P
O43084	GO:0110095	P
O43084	GO:1901701	P
O43084	GO:0006081	P
O43084	GO:0097238	P
O43084	GO:1901655	P
O43084	GO:1901700	P
O43084	GO:0070887	P
O43084	GO:0042221	P
O43084	GO:0009987	P
O43084	GO:0008152	P
O43084	GO:0009636	P
O43084	GO:1901654	P
O43084	GO:0044281	P
O43084	GO:0050896	P
O43084	GO:0009438	P
O43084	GO:0046185	P
O43084	GO:0044282	P
O43084	GO:0042182	P
O43084	GO:0042180	P
O43084	GO:0051595	P
O43084	GO:0110096	P
O43084	GO:0008150	P
O94574	GO:0043231	C
O94574	GO:0043227	C
O94574	GO:0005739	C
O94574	GO:0043229	C
O94574	GO:0043226	C
O94574	GO:0005759	C
O94574	GO:0005622	C
O94574	GO:0070013	C
O94574	GO:0110165	C
O94574	GO:0005737	C
O94574	GO:0031974	C
O94574	GO:0043233	C
O94574	GO:0005575	C
P01180	GO:0097708	C
P01180	GO:0030141	C
P01180	GO:0043231	C
P01180	GO:0043227	C
P01180	GO:0005575	C
P01180	GO:0099503	C
P01180	GO:0043226	C
P01180	GO:0031410	C
P01180	GO:0012505	C
P01180	GO:0110165	C
P01180	GO:0005622	C
P01180	GO:0005737	C
P01180	GO:0043229	C
P01180	GO:0031982	C
P04501	GO:0046983	F
P04501	GO:0005488	F
P04501	GO:0005515	F
P04501	GO:0003674	F
P07768	GO:0120025	C
P07768	GO:0071944	C
P07768	GO:0016324	C
P07768	GO:0042995	C
P07768	GO:0045177	C
P07768	GO:0098862	C
P07768	GO:0016020	C
P07768	GO:0005886	C
P07768	GO:0031526	C
P07768	GO:0110165	C
P07768	GO:0005903	C
P07768	GO:0031253	C
P07768	GO:0098590	C
P07768	GO:0005575	C
P08776	GO:0045111	C
P08776	GO:0099081	C
P08776	GO:0043228	C
P08776	GO:0043232	C
P08776	GO:0099080	C
P08776	GO:0043226	C
P08776	GO:0099512	C
P08776	GO:0099513	C
P08776	GO:0005856	C
P08776	GO:0110165	C
P08776	GO:0005622	C
P08776	GO:0045095	C
P08776	GO:0032991	C
P08776	GO:0043229	C
P08776	GO:0005575	C
P08776	GO:0005882	C
P08776	GO:0045104	P
P08776	GO:0006996	P
P08776	GO:0045103	P
P08776	GO:0045109	P
P08776	GO:0097435	P
P08776	GO:0016043	P
P08776	GO:0008150	P
P08776	GO:0009987	P
P08776	GO:0007010	P
P08776	GO:0071840	P
P09332	GO:0008233	F
P09332	GO:0003824	F
P09332	GO:0003674	F
P09332	GO:0016787	F
P09332	GO:0008236	F
P09332	GO:0017171	F
P09332	GO:0140096	F
P0C216	GO:0003824	F
P0C216	GO:0016298	F
P0C216	GO:0016788	F
P0C216	GO:0042578	F
P0C216	GO:0016787	F
P0C216	GO:0003674	F
P0C216	GO:0004629	F
P0C216	GO:0004620	F
P0C216	GO:0008081	F
P0C7P8	GO:0046983	F
P0C7P8	GO:0005488	F
P0C7P8	GO:0005515	F
P0C7P8	GO:0003674	F
P0C7P8	GO:0048856	P
P0C7P8	GO:0032502	P
P0C7P8	GO:0009888	P
P0C7P8	GO:0008150	P
P0C7P8	GO:0010087	P
P0CB56	GO:0044560	P
P0CB56	GO:0035738	P
P0CB56	GO:0044559	P
P0CB56	GO:0044562	P
P0CB56	GO:0035821	P
P0CB56	GO:0008150	P
P0CB56	GO:0044419	P
P0CH89	GO:0044877	F
P0CH89	GO:0003674	F
P0CH89	GO:0019865	F
P0CH89	GO:0019863	F
P0CH89	GO:0005488	F
P20056	GO:0003008	P
P20056	GO:0008150	P
P20056	GO:0051239	P
P20056	GO:0044057	P
P20056	GO:0045933	P
P20056	GO:0008015	P
P20056	GO:0008217	P
P20056	GO:0050789	P
P20056	GO:0032501	P
P20056	GO:0045987	P
P20056	GO:0090257	P
P20056	GO:0048518	P
P20056	GO:0006937	P
P20056	GO:0006940	P
P20056	GO:0065008	P
P20056	GO:0045777	P
P20056	GO:0051240	P
P20056	GO:0003013	P
P20056	GO:0065007	P
P32728	GO:0043232	C
P32728	GO:0043228	C
P32728	GO:0009295	C
P32728	GO:0043226	C
P32728	GO:0110165	C
P32728	GO:0005622	C
P32728	GO:0043229	C
P32728	GO:0043590	C
P32728	GO:0005575	C
P32728	GO:0033204	F
P32728	GO:0030234	F
P32728	GO:0140678	F
P32728	GO:0003676	F
P32728	GO:0003674	F
P32728	GO:0098772	F
P32728	GO:0140721	F
P32728	GO:0003677	F
P32728	GO:0003723	F
P32728	GO:0008428	F
P32728	GO:0005488	F
P32728	GO:0004857	F
P32728	GO:0019219	P
P32728	GO:0051252	P
P32728	GO:0006357	P
P32728	GO:0050794	P
P32728	GO:0010556	P
P32728	GO:0050789	P
P32728	GO:0007584	P
P32728	GO:0051716	P
P32728	GO:2001141	P
P32728	GO:0000429	P
P32728	GO:0009889	P
P32728	GO:0060255	P
P32728	GO:0046015	P
P32728	GO:0031670	P
P32728	GO:0019222	P
P32728	GO:0006355	P
P32728	GO:0070887	P
P32728	GO:0080090	P
P32728	GO:0042221	P
P32728	GO:0009987	P
P32728	GO:0045990	P
P32728	GO:0050896	P
P32728	GO:0010468	P
P32728	GO:0031669	P
P32728	GO:0031667	P
P32728	GO:0008150	P
P32728	GO:0000430	P
P32728	GO:0065007	P
P34962	GO:0006937	P
P34962	GO:0006940	P
P34962	GO:0050789	P
P34962	GO:0045987	P
P34962	GO:0051239	P
P34962	GO:0090257	P
P34962	GO:0044057	P
P34962	GO:0051240	P
P34962	GO:0045933	P
P34962	GO:0048518	P
P34962	GO:0008150	P
P34962	GO:0065007	P
P34963	GO:0030546	F
P34963	GO:0048018	F
P34963	GO:0003674	F
P34963	GO:0030545	F
P34963	GO:0160041	F
P34963	GO:0042922	F
P34963	GO:0140677	F
P34963	GO:0001664	F
P34963	GO:0098772	F
P34963	GO:0005102	F
P34963	GO:0005488	F
P34963	GO:0005515	F
P34963	GO:0031839	F
P34963	GO:0071855	F
P34963	GO:0003008	P
P34963	GO:0051239	P
P34963	GO:0044057	P
P34963	GO:0045933	P
P34963	GO:0050794	P
P34963	GO:0007218	P
P34963	GO:0050789	P
P34963	GO:0032501	P
P34963	GO:0003012	P
P34963	GO:0051716	P
P34963	GO:0006936	P
P34963	GO:0045987	P
P34963	GO:0090257	P
P34963	GO:0048518	P
P34963	GO:0009987	P
P34963	GO:0006939	P
P34963	GO:0050896	P
P34963	GO:0007165	P
P34963	GO:0007154	P
P34963	GO:0007186	P
P34963	GO:0006937	P
P34963	GO:0006940	P
P34963	GO:0051240	P
P34963	GO:0008150	P
P34963	GO:0023052	P
P34963	GO:0065007	P
P34964	GO:0003008	P
P34964	GO:0008150	P
P34964	GO:0051239	P
P34964	GO:0044057	P
P34964	GO:0045933	P
P34964	GO:0008015	P
P34964	GO:0008217	P
P34964	GO:0050789	P
P34964	GO:0032501	P
