EntryID	term	aspect
A0A080WMA9	GO:0016053	P
A0A080WMA9	GO:0008152	P
A0A080WMA9	GO:0044283	P
A0A080WMA9	GO:0006790	P
A0A080WMA9	GO:0044272	P
A0A080WMA9	GO:0043436	P
A0A080WMA9	GO:0170039	P
A0A080WMA9	GO:0044281	P
A0A080WMA9	GO:0000096	P
A0A080WMA9	GO:0009058	P
A0A080WMA9	GO:0009067	P
A0A080WMA9	GO:0008150	P
A0A080WMA9	GO:0170034	P
A0A080WMA9	GO:0071266	P
A0A080WMA9	GO:0008652	P
A0A080WMA9	GO:0009088	P
A0A080WMA9	GO:0170038	P
A0A080WMA9	GO:1901605	P
A0A080WMA9	GO:0006082	P
A0A080WMA9	GO:0170033	P
A0A080WMA9	GO:1901607	P
A0A080WMA9	GO:0071265	P
A0A080WMA9	GO:0046394	P
A0A080WMA9	GO:0006555	P
A0A080WMA9	GO:0009987	P
A0A080WMA9	GO:0006566	P
A0A080WMA9	GO:0019752	P
A0A080WMA9	GO:0044238	P
A0A080WMA9	GO:0000097	P
A0A080WMA9	GO:0006520	P
A0A095AMW7	GO:0008150	P
A0A095AMW7	GO:0006113	P
A0A095AMW7	GO:0008152	P
A0A095AMW7	GO:0009987	P
A0A095AMW7	GO:0006091	P
A0A095AMW7	GO:0015980	P
A0A095AMW7	GO:0043464	P
A0A120HUS7	GO:0016053	P
A0A120HUS7	GO:0008152	P
A0A120HUS7	GO:0044283	P
A0A120HUS7	GO:0006790	P
A0A120HUS7	GO:0019344	P
A0A120HUS7	GO:0044272	P
A0A120HUS7	GO:0009070	P
A0A120HUS7	GO:0006534	P
A0A120HUS7	GO:0043436	P
A0A120HUS7	GO:0170039	P
A0A120HUS7	GO:0044281	P
A0A120HUS7	GO:0000096	P
A0A120HUS7	GO:0009058	P
A0A120HUS7	GO:0008150	P
A0A120HUS7	GO:0006563	P
A0A120HUS7	GO:0008652	P
A0A120HUS7	GO:0006535	P
A0A120HUS7	GO:1901605	P
A0A120HUS7	GO:0006082	P
A0A120HUS7	GO:0170033	P
A0A120HUS7	GO:1901607	P
A0A120HUS7	GO:0046394	P
A0A120HUS7	GO:0009987	P
A0A120HUS7	GO:0019752	P
A0A120HUS7	GO:0044238	P
A0A120HUS7	GO:0000097	P
A0A120HUS7	GO:0006520	P
A0A179UL48	GO:0016053	P
A0A179UL48	GO:0008152	P
A0A179UL48	GO:0044283	P
A0A179UL48	GO:0006790	P
A0A179UL48	GO:0044272	P
A0A179UL48	GO:0043436	P
A0A179UL48	GO:0170039	P
A0A179UL48	GO:0044281	P
A0A179UL48	GO:0000096	P
A0A179UL48	GO:0009058	P
A0A179UL48	GO:0009067	P
A0A179UL48	GO:0008150	P
A0A179UL48	GO:0170034	P
A0A179UL48	GO:0071266	P
A0A179UL48	GO:0008652	P
A0A179UL48	GO:0009088	P
A0A179UL48	GO:0170038	P
A0A179UL48	GO:1901605	P
A0A179UL48	GO:0006082	P
A0A179UL48	GO:0170033	P
A0A179UL48	GO:1901607	P
A0A179UL48	GO:0071265	P
A0A179UL48	GO:0046394	P
A0A179UL48	GO:0006555	P
A0A179UL48	GO:0009987	P
A0A179UL48	GO:0006566	P
A0A179UL48	GO:0019752	P
A0A179UL48	GO:0044238	P
A0A179UL48	GO:0000097	P
A0A179UL48	GO:0006520	P
A0A286ZK88	GO:0008150	P
A0A286ZK88	GO:0007017	P
A0A286ZK88	GO:0009987	P
A0A287B8J2	GO:0008150	P
A0A287B8J2	GO:0007017	P
A0A287B8J2	GO:0009987	P
A0A2C9JXL4	GO:0140096	F
A0A2C9JXL4	GO:0003824	F
A0A2C9JXL4	GO:0016758	F
A0A2C9JXL4	GO:0036094	F
A0A2C9JXL4	GO:0016757	F
A0A2C9JXL4	GO:0016740	F
A0A2C9JXL4	GO:0046872	F
A0A2C9JXL4	GO:0005488	F
A0A2C9JXL4	GO:0043167	F
A0A2C9JXL4	GO:0008378	F
A0A2C9JXL4	GO:0046914	F
A0A2C9JXL4	GO:0043169	F
A0A2C9JXL4	GO:0016263	F
A0A2C9JXL4	GO:0048531	F
A0A2C9JXL4	GO:0140103	F
A0A2C9JXL4	GO:0030145	F
A0A2C9JXL4	GO:0003674	F
A0A2N6JFX7	GO:0008150	P
A0A2N6JFX7	GO:0008152	P
A0A2N6JFX7	GO:0009987	P
A0A2N6JFX7	GO:0009056	P
A0A4X1TB62	GO:0008150	P
A0A4X1TB62	GO:0007017	P
A0A4X1TB62	GO:0009987	P
A0A5G2QD80	GO:0008150	P
A0A5G2QD80	GO:0007017	P
A0A5G2QD80	GO:0009987	P
A0A7U2MSD6	GO:0008150	P
A0A7U2MSD6	GO:0065007	P
A0A7U2MSD6	GO:0032879	P
A0A7U2MSD6	GO:0032880	P
A0A7U2MSD6	GO:1903747	P
A0A7U2MSD6	GO:1904950	P
A0A7U2MSD6	GO:0048519	P
A0A7U2MSD6	GO:1903748	P
A0A7U2MSD6	GO:0050789	P
A0A7U2MSD6	GO:0070201	P
A0A7U2MSD6	GO:1903533	P
A0FKE6	GO:0016053	P
A0FKE6	GO:0008152	P
A0FKE6	GO:0044283	P
A0FKE6	GO:0170040	P
A0FKE6	GO:0009081	P
A0FKE6	GO:0043436	P
A0FKE6	GO:0170039	P
A0FKE6	GO:0006567	P
A0FKE6	GO:0044281	P
A0FKE6	GO:0016054	P
A0FKE6	GO:0046395	P
A0FKE6	GO:0009097	P
A0FKE6	GO:0009063	P
A0FKE6	GO:0009058	P
A0FKE6	GO:0006549	P
A0FKE6	GO:0008150	P
A0FKE6	GO:0008652	P
A0FKE6	GO:0009056	P
A0FKE6	GO:1901605	P
A0FKE6	GO:0170035	P
A0FKE6	GO:0006082	P
A0FKE6	GO:0009082	P
A0FKE6	GO:0170033	P
A0FKE6	GO:1901607	P
A0FKE6	GO:0046394	P
A0FKE6	GO:0044282	P
A0FKE6	GO:0009987	P
A0FKE6	GO:0006566	P
A0FKE6	GO:0019752	P
A0FKE6	GO:1901606	P
A0FKE6	GO:0044238	P
A0FKE6	GO:0006520	P
A0PFK5	GO:0008150	P
A0PFK5	GO:0007017	P
A0PFK5	GO:0009987	P
A0PFK7	GO:0008150	P
A0PFK7	GO:0007017	P
A0PFK7	GO:0009987	P
A0QVQ8	GO:0003824	F
A0QVQ8	GO:0016491	F
A0QVQ8	GO:0000286	F
A0QVQ8	GO:0016638	F
A0QVQ8	GO:0003674	F
A1L4V7	GO:0008152	P
A1L4V7	GO:0006790	P
A1L4V7	GO:0000098	P
A1L4V7	GO:0044273	P
A1L4V7	GO:0006534	P
A1L4V7	GO:0043436	P
A1L4V7	GO:0044281	P
A1L4V7	GO:0000096	P
A1L4V7	GO:0016054	P
