EntryID	term	aspect
A0A080WMA9	GO:0009070	P
A0A080WMA9	GO:0009090	P
A0A080WMA9	GO:0009092	P
A0A080WMA9	GO:0170041	P
A0A080WMA9	GO:0170043	P
A0A095AMW7	GO:0006082	P
A0A095AMW7	GO:0006108	P
A0A095AMW7	GO:0019752	P
A0A095AMW7	GO:0043436	P
A0A095AMW7	GO:0043648	P
A0A095AMW7	GO:0044281	P
A0A120HUS7	GO:0046439	P
A0A120HUS7	GO:0170034	P
A0A120HUS7	GO:0170038	P
A0A179UL48	GO:0009070	P
A0A179UL48	GO:0009090	P
A0A179UL48	GO:0009092	P
A0A179UL48	GO:0170041	P
A0A179UL48	GO:0170043	P
A0A286ZK88	GO:0000280	P
A0A286ZK88	GO:0006810	P
A0A286ZK88	GO:0006996	P
A0A286ZK88	GO:0007018	P
A0A286ZK88	GO:0007049	P
A0A286ZK88	GO:0007097	P
A0A286ZK88	GO:0007127	P
A0A286ZK88	GO:0010970	P
A0A286ZK88	GO:0016043	P
A0A286ZK88	GO:0019953	P
A0A286ZK88	GO:0022402	P
A0A286ZK88	GO:0022414	P
A0A286ZK88	GO:0030473	P
A0A286ZK88	GO:0030705	P
A0A286ZK88	GO:0030989	P
A0A286ZK88	GO:0046907	P
A0A286ZK88	GO:0048285	P
A0A286ZK88	GO:0051179	P
A0A286ZK88	GO:0051234	P
A0A286ZK88	GO:0051321	P
A0A286ZK88	GO:0051640	P
A0A286ZK88	GO:0051641	P
A0A286ZK88	GO:0051647	P
A0A286ZK88	GO:0051649	P
A0A286ZK88	GO:0051656	P
A0A286ZK88	GO:0061982	P
A0A286ZK88	GO:0071840	P
A0A286ZK88	GO:0072384	P
A0A286ZK88	GO:0099111	P
A0A286ZK88	GO:0140013	P
A0A286ZK88	GO:1903046	P
A0A287B8J2	GO:0000280	P
A0A287B8J2	GO:0006810	P
A0A287B8J2	GO:0006996	P
A0A287B8J2	GO:0007018	P
A0A287B8J2	GO:0007049	P
A0A287B8J2	GO:0007097	P
A0A287B8J2	GO:0007127	P
A0A287B8J2	GO:0010970	P
A0A287B8J2	GO:0016043	P
A0A287B8J2	GO:0019953	P
A0A287B8J2	GO:0022402	P
A0A287B8J2	GO:0022414	P
A0A287B8J2	GO:0030473	P
A0A287B8J2	GO:0030705	P
A0A287B8J2	GO:0030989	P
A0A287B8J2	GO:0046907	P
A0A287B8J2	GO:0048285	P
A0A287B8J2	GO:0051179	P
A0A287B8J2	GO:0051234	P
A0A287B8J2	GO:0051321	P
A0A287B8J2	GO:0051640	P
A0A287B8J2	GO:0051641	P
A0A287B8J2	GO:0051647	P
A0A287B8J2	GO:0051649	P
A0A287B8J2	GO:0051656	P
A0A287B8J2	GO:0061982	P
A0A287B8J2	GO:0071840	P
A0A287B8J2	GO:0072384	P
A0A287B8J2	GO:0099111	P
A0A287B8J2	GO:0140013	P
A0A287B8J2	GO:1903046	P
A0A2C9JXL4	GO:0008194	F
A0A2C9JXL4	GO:0035250	F
A0A2N6JFX7	GO:0072521	P
A0A4S4DBB3	GO:0006565	P
A0A4S4DBB3	GO:0009056	P
A0A4S4DBB3	GO:0009063	P
A0A4S4DBB3	GO:0016054	P
A0A4S4DBB3	GO:0044282	P
A0A4S4DBB3	GO:0046395	P
A0A4S4DBB3	GO:0170035	P
A0A4S4DBB3	GO:0170040	P
A0A4S4DBB3	GO:1901606	P
A0A4S4ESS1	GO:0009056	P
A0A4S4ESS1	GO:0009063	P
A0A4S4ESS1	GO:0016054	P
A0A4S4ESS1	GO:0042851	P
A0A4S4ESS1	GO:0042853	P
A0A4S4ESS1	GO:0044282	P
A0A4S4ESS1	GO:0046395	P
A0A4S4ESS1	GO:0170033	P
A0A4S4ESS1	GO:0170035	P
A0A4S4ESS1	GO:0170039	P
A0A4S4ESS1	GO:0170040	P
A0A4S4ESS1	GO:1901606	P
A0A4X1TB62	GO:0000280	P
A0A4X1TB62	GO:0006810	P
A0A4X1TB62	GO:0006996	P
A0A4X1TB62	GO:0007018	P
A0A4X1TB62	GO:0007049	P
A0A4X1TB62	GO:0007097	P
A0A4X1TB62	GO:0007127	P
A0A4X1TB62	GO:0010970	P
A0A4X1TB62	GO:0016043	P
A0A4X1TB62	GO:0019953	P
A0A4X1TB62	GO:0022402	P
A0A4X1TB62	GO:0022414	P
A0A4X1TB62	GO:0030473	P
A0A4X1TB62	GO:0030705	P
A0A4X1TB62	GO:0030989	P
A0A4X1TB62	GO:0046907	P
A0A4X1TB62	GO:0048285	P
A0A4X1TB62	GO:0051179	P
A0A4X1TB62	GO:0051234	P
A0A4X1TB62	GO:0051321	P
A0A4X1TB62	GO:0051640	P
A0A4X1TB62	GO:0051641	P
A0A4X1TB62	GO:0051647	P
A0A4X1TB62	GO:0051649	P
A0A4X1TB62	GO:0051656	P
A0A4X1TB62	GO:0061982	P
A0A4X1TB62	GO:0071840	P
A0A4X1TB62	GO:0072384	P
A0A4X1TB62	GO:0099111	P
A0A4X1TB62	GO:0140013	P
A0A4X1TB62	GO:1903046	P
A0A5G2QD80	GO:0000280	P
A0A5G2QD80	GO:0006810	P
A0A5G2QD80	GO:0006996	P
A0A5G2QD80	GO:0007018	P
A0A5G2QD80	GO:0007049	P
A0A5G2QD80	GO:0007097	P
A0A5G2QD80	GO:0007127	P
A0A5G2QD80	GO:0010970	P
A0A5G2QD80	GO:0016043	P
A0A5G2QD80	GO:0019953	P
A0A5G2QD80	GO:0022402	P
A0A5G2QD80	GO:0022414	P
A0A5G2QD80	GO:0030473	P
A0A5G2QD80	GO:0030705	P
A0A5G2QD80	GO:0030989	P
A0A5G2QD80	GO:0046907	P
A0A5G2QD80	GO:0048285	P
A0A5G2QD80	GO:0051179	P
A0A5G2QD80	GO:0051234	P
A0A5G2QD80	GO:0051321	P
A0A5G2QD80	GO:0051640	P
A0A5G2QD80	GO:0051641	P
A0A5G2QD80	GO:0051647	P
A0A5G2QD80	GO:0051649	P
A0A5G2QD80	GO:0051656	P
A0A5G2QD80	GO:0061982	P
A0A5G2QD80	GO:0071840	P
A0A5G2QD80	GO:0072384	P
A0A5G2QD80	GO:0099111	P
A0A5G2QD80	GO:0140013	P
A0A5G2QD80	GO:1903046	P
A0A7U2MSD6	GO:1903828	P
