EntryID	term	aspect
A0A0R4IKU3	GO:0001525	P
A0A0R4IKU3	GO:0001568	P
A0A0R4IKU3	GO:0001944	P
A0A0R4IKU3	GO:0002040	P
A0A0R4IKU3	GO:0007154	P
A0A0R4IKU3	GO:0007165	P
A0A0R4IKU3	GO:0007166	P
A0A0R4IKU3	GO:0007275	P
A0A0R4IKU3	GO:0007399	P
A0A0R4IKU3	GO:0008150	P
A0A0R4IKU3	GO:0009653	P
A0A0R4IKU3	GO:0009888	P
A0A0R4IKU3	GO:0009966	P
A0A0R4IKU3	GO:0009987	P
A0A0R4IKU3	GO:0010594	P
A0A0R4IKU3	GO:0010646	P
A0A0R4IKU3	GO:0016055	P
A0A0R4IKU3	GO:0023051	P
A0A0R4IKU3	GO:0023052	P
A0A0R4IKU3	GO:0030111	P
A0A0R4IKU3	GO:0030334	P
A0A0R4IKU3	GO:0032501	P
A0A0R4IKU3	GO:0032502	P
A0A0R4IKU3	GO:0035239	P
A0A0R4IKU3	GO:0035295	P
A0A0R4IKU3	GO:0040012	P
A0A0R4IKU3	GO:0043535	P
A0A0R4IKU3	GO:0048514	P
A0A0R4IKU3	GO:0048583	P
A0A0R4IKU3	GO:0048646	P
A0A0R4IKU3	GO:0048731	P
A0A0R4IKU3	GO:0048856	P
A0A0R4IKU3	GO:0050789	P
A0A0R4IKU3	GO:0050794	P
A0A0R4IKU3	GO:0050896	P
A0A0R4IKU3	GO:0051716	P
A0A0R4IKU3	GO:0051726	P
A0A0R4IKU3	GO:0060828	P
A0A0R4IKU3	GO:0061548	P
A0A0R4IKU3	GO:0065007	P
A0A0R4IKU3	GO:0072359	P
A0A0R4IKU3	GO:0090049	P
A0A0R4IKU3	GO:1990791	P
A0A0R4IKU3	GO:2000145	P
A0A1D8PCB9	GO:0008150	P
A0A1D8PCB9	GO:0009410	P
A0A1D8PCB9	GO:0009987	P
A0A1D8PCB9	GO:0042221	P
A0A1D8PCB9	GO:0050896	P
A0A1D8PCB9	GO:0051716	P
A0A1D8PCB9	GO:0070887	P
A0A1D8PCB9	GO:0071466	P
A0A1D8PCL1	GO:0003674	F
A0A1D8PCL1	GO:0005215	F
A0A1D8PCL1	GO:0015144	F
A0A1D8PCL1	GO:0015145	F
A0A1D8PCL1	GO:0015149	F
A0A1D8PCL1	GO:0022857	F
A0A1D8PCL1	GO:0051119	F
A0A1D8PCL1	GO:0055056	F
A0A1D8PD39	GO:0008150	P
A0A1D8PD39	GO:0009410	P
A0A1D8PD39	GO:0009987	P
A0A1D8PD39	GO:0042221	P
A0A1D8PD39	GO:0050896	P
A0A1D8PD39	GO:0051716	P
A0A1D8PD39	GO:0070887	P
A0A1D8PD39	GO:0071466	P
A1Z746	GO:0005575	C
A1Z746	GO:0005622	C
A1Z746	GO:0005737	C
A1Z746	GO:0005739	C
A1Z746	GO:0043226	C
A1Z746	GO:0043227	C
A1Z746	GO:0043229	C
A1Z746	GO:0043231	C
A1Z746	GO:0110165	C
A4D1E9	GO:0000027	P
A4D1E9	GO:0006996	P
A4D1E9	GO:0008150	P
A4D1E9	GO:0009987	P
A4D1E9	GO:0016043	P
A4D1E9	GO:0022607	P
A4D1E9	GO:0022613	P
A4D1E9	GO:0022618	P
A4D1E9	GO:0042254	P
A4D1E9	GO:0042255	P
A4D1E9	GO:0042273	P
A4D1E9	GO:0043933	P
A4D1E9	GO:0044085	P
A4D1E9	GO:0061668	P
A4D1E9	GO:0065003	P
A4D1E9	GO:0070925	P
A4D1E9	GO:0071826	P
A4D1E9	GO:0071840	P
A4D1E9	GO:0140694	P
A4D1E9	GO:1902775	P
A5D6W6	GO:0003674	F
A5D6W6	GO:0006996	P
A5D6W6	GO:0008150	P
A5D6W6	GO:0009987	P
A5D6W6	GO:0016043	P
A5D6W6	GO:0030674	F
A5D6W6	GO:0034389	P
A5D6W6	GO:0043495	F
A5D6W6	GO:0060090	F
A5D6W6	GO:0071840	P
A5D6W6	GO:0170007	F
A6H8Y1	GO:0006355	P
A6H8Y1	GO:0006359	P
A6H8Y1	GO:0008150	P
A6H8Y1	GO:0009889	P
A6H8Y1	GO:0009891	P
A6H8Y1	GO:0009893	P
A6H8Y1	GO:0010468	P
A6H8Y1	GO:0010556	P
A6H8Y1	GO:0010557	P
A6H8Y1	GO:0010604	P
A6H8Y1	GO:0019219	P
A6H8Y1	GO:0019222	P
A6H8Y1	GO:0045893	P
A6H8Y1	GO:0045945	P
A6H8Y1	GO:0048518	P
A6H8Y1	GO:0048522	P
A6H8Y1	GO:0050789	P
A6H8Y1	GO:0050794	P
A6H8Y1	GO:0051252	P
A6H8Y1	GO:0051254	P
A6H8Y1	GO:0060255	P
A6H8Y1	GO:0065007	P
A6H8Y1	GO:0080090	P
A6H8Y1	GO:1902680	P
A6H8Y1	GO:2001141	P
A6NDG6	GO:0005575	C
A6NDG6	GO:0005622	C
A6NDG6	GO:0005737	C
A6NDG6	GO:0005829	C
A6NDG6	GO:0110165	C
A6NFH5	GO:0003674	F
A6NFH5	GO:0005215	F
A6NFH5	GO:0005319	F
A6NFH5	GO:0006629	P
A6NFH5	GO:0006638	P
A6NFH5	GO:0006639	P
A6NFH5	GO:0006641	P
A6NFH5	GO:0008150	P
A6NFH5	GO:0008152	P
A6NFH5	GO:0009056	P
A6NFH5	GO:0009987	P
A6NFH5	GO:0016042	P
A6NFH5	GO:0019433	P
A6NFH5	GO:0044238	P
A6NFH5	GO:0046461	P
A6NFH5	GO:0046464	P
A6NFH5	GO:0046486	P
A6NFH5	GO:0046503	P
A6NK89	GO:0005575	C
A6NK89	GO:0005622	C
A6NK89	GO:0005737	C
A6NK89	GO:0005829	C
A6NK89	GO:0110165	C
A6NNM8	GO:0008150	P
