EntryID	term	aspect
A0A075B6T8	GO:0032991	C
A0A075B6T8	GO:0019814	C
A0A075B6T8	GO:0005575	C
A0A075B6T8	GO:0002376	P
A0A075B6T8	GO:0050896	P
A0A075B6T8	GO:0008150	P
A0A075B6T8	GO:0002250	P
A0A075B6T8	GO:0006955	P
A0A098D1J7	GO:0009404	P
A0A098D1J7	GO:0043385	P
A0A098D1J7	GO:0009403	P
A0A098D1J7	GO:0008150	P
A0A098D1J7	GO:0044550	P
A0A098D1J7	GO:0009987	P
A0A098D1J7	GO:0009058	P
A0A098D1J7	GO:0008152	P
A0A098D1J7	GO:0043386	P
A0A098D1J7	GO:0019748	P
A0A0H2ZFV1	GO:0110165	C
A0A0H2ZFV1	GO:0005575	C
A0A0H2ZFV1	GO:0030312	C
A0A0H2ZFV1	GO:0019867	C
A0A0H2ZFV1	GO:0032153	C
A0A0H2ZFV1	GO:0009279	C
A0A0H2ZFV1	GO:0030313	C
A0A0H2ZFV1	GO:0071944	C
A0A0H2ZFV1	GO:0030428	C
A0A0H2ZFV1	GO:0016020	C
A0A0H2ZFV1	GO:0000935	C
A0A0H2ZFV1	GO:0003674	F
A0A0H2ZFV1	GO:0003824	F
A0A0H2ZFV1	GO:0016829	F
A0A0H2ZFV1	GO:0061783	F
A0A0H2ZFV1	GO:0016835	F
A0A0H2ZFV1	GO:0016837	F
A0A0H2ZFV1	GO:0008933	F
A0A0H2ZFV1	GO:0051301	P
A0A0H2ZFV1	GO:0008150	P
A0A0H2ZFV1	GO:0009987	P
A0A0H2ZFV1	GO:0000910	P
A0A0H2ZFV1	GO:0019954	P
A0A0H2ZFV1	GO:0022402	P
A0A0H2ZFV1	GO:0022413	P
A0A0H2ZFV1	GO:0022414	P
A0A0H2ZFV1	GO:0007049	P
A0A0H2ZFV1	GO:0043093	P
A0A0H3JPC6	GO:0003674	F
A0A0H3JPC6	GO:0016798	F
A0A0H3JPC6	GO:0016787	F
A0A0H3JPC6	GO:0003824	F
A0A0P0XII1	GO:0110165	C
A0A0P0XII1	GO:0005575	C
A0A0P0XII1	GO:0005886	C
A0A0P0XII1	GO:0071944	C
A0A0P0XII1	GO:0016020	C
A0A0P0XII1	GO:0003674	F
A0A0P0XII1	GO:0016301	F
A0A0P0XII1	GO:0003824	F
A0A0P0XII1	GO:0016773	F
A0A0P0XII1	GO:0016740	F
A0A0P0XII1	GO:0005488	F
A0A0P0XII1	GO:0004672	F
A0A0P0XII1	GO:0140096	F
A0A0P0XII1	GO:0008061	F
A0A0P0XII1	GO:0097367	F
A0A0P0XII1	GO:0016772	F
A0A0P0XII1	GO:0065007	P
A0A0P0XII1	GO:0048583	P
A0A0P0XII1	GO:0008150	P
A0A0P0XII1	GO:0002253	P
A0A0P0XII1	GO:0023052	P
A0A0P0XII1	GO:0031347	P
A0A0P0XII1	GO:0051716	P
A0A0P0XII1	GO:0002758	P
A0A0P0XII1	GO:0032101	P
A0A0P0XII1	GO:0031349	P
A0A0P0XII1	GO:0009987	P
A0A0P0XII1	GO:0002682	P
A0A0P0XII1	GO:0002757	P
A0A0P0XII1	GO:0002684	P
A0A0P0XII1	GO:0050778	P
A0A0P0XII1	GO:0048584	P
A0A0P0XII1	GO:0050794	P
A0A0P0XII1	GO:0050789	P
A0A0P0XII1	GO:0045089	P
A0A0P0XII1	GO:0002831	P
A0A0P0XII1	GO:0007154	P
A0A0P0XII1	GO:0050776	P
A0A0P0XII1	GO:0002218	P
A0A0P0XII1	GO:0002764	P
A0A0P0XII1	GO:0002833	P
A0A0P0XII1	GO:0002376	P
A0A0P0XII1	GO:0050896	P
A0A0P0XII1	GO:0048518	P
A0A0P0XII1	GO:0080134	P
A0A0P0XII1	GO:0032103	P
A0A0P0XII1	GO:0007165	P
A0A0P0XII1	GO:0045088	P
A0A0R4IB93	GO:0065007	P
A0A0R4IB93	GO:0008150	P
A0A0R4IB93	GO:0051128	P
A0A0R4IB93	GO:0032501	P
A0A0R4IB93	GO:0001966	P
A0A0R4IB93	GO:0048856	P
A0A0R4IB93	GO:1904888	P
A0A0R4IB93	GO:0009605	P
A0A0R4IB93	GO:0120035	P
A0A0R4IB93	GO:0009612	P
A0A0R4IB93	GO:0031344	P
A0A0R4IB93	GO:0007610	P
A0A0R4IB93	GO:0009628	P
A0A0R4IB93	GO:0010975	P
A0A0R4IB93	GO:0010996	P
A0A0R4IB93	GO:0050794	P
A0A0R4IB93	GO:0050789	P
A0A0R4IB93	GO:0032502	P
A0A0R4IB93	GO:0050896	P
A0A0R4INB9	GO:0030545	F
A0A0R4INB9	GO:0003674	F
A0A0R4INB9	GO:0048018	F
A0A0R4INB9	GO:0042056	F
A0A0R4INB9	GO:0030546	F
A0A0R4INB9	GO:0140677	F
A0A0R4INB9	GO:0098772	F
A0A140LHV9	GO:0120036	P
A0A140LHV9	GO:0030031	P
A0A140LHV9	GO:0008150	P
A0A140LHV9	GO:0044085	P
A0A140LHV9	GO:0120031	P
A0A140LHV9	GO:0030030	P
A0A140LHV9	GO:0009987	P
A0A140LHV9	GO:0071840	P
A0A140LHV9	GO:0044782	P
A0A140LHV9	GO:0070925	P
A0A140LHV9	GO:0060271	P
A0A140LHV9	GO:0022607	P
A0A140LHV9	GO:0016043	P
A0A140LHV9	GO:0006996	P
A0A1B0GTK4	GO:0005615	C
A0A1B0GTK4	GO:0110165	C
A0A1B0GTK4	GO:0005576	C
A0A1B0GTK4	GO:0005575	C
A0A1B0GTL2	GO:0043231	C
A0A1B0GTL2	GO:0110165	C
A0A1B0GTL2	GO:0043229	C
A0A1B0GTL2	GO:0005575	C
A0A1B0GTL2	GO:0043226	C
A0A1B0GTL2	GO:0005634	C
A0A1B0GTL2	GO:0043227	C
A0A1B0GTL2	GO:0005622	C
A0A1B0GUW7	GO:0120025	C
A0A1B0GUW7	GO:0110165	C
A0A1B0GUW7	GO:0005575	C
A0A1B0GUW7	GO:0043226	C
A0A1B0GUW7	GO:0043227	C
A0A1B0GUW7	GO:0042995	C
A0A1B0GUW7	GO:0035869	C
A0A1B0GUW7	GO:0005929	C
A0A1B0GUW7	GO:0120036	P
A0A1B0GUW7	GO:0030031	P
A0A1B0GUW7	GO:0008150	P
A0A1B0GUW7	GO:0044085	P
A0A1B0GUW7	GO:0120031	P
A0A1B0GUW7	GO:0030030	P
A0A1B0GUW7	GO:0009987	P
A0A1B0GUW7	GO:0071840	P
A0A1B0GUW7	GO:0044782	P
A0A1B0GUW7	GO:0070925	P
A0A1B0GUW7	GO:0060271	P
A0A1B0GUW7	GO:0022607	P
A0A1B0GUW7	GO:0016043	P
A0A1B0GUW7	GO:0006996	P
A0A1D5PUP4	GO:0065007	P
A0A1D5PUP4	GO:0050794	P
A0A1D5PUP4	GO:0048583	P
A0A1D5PUP4	GO:0050789	P
A0A1D5PUP4	GO:0048518	P
A0A1D5PUP4	GO:0008150	P
A0A1D5PUP4	GO:0010646	P
A0A1D5PUP4	GO:0045747	P
A0A1D5PUP4	GO:0023056	P
A0A1D5PUP4	GO:0009967	P
A0A1D5PUP4	GO:0009966	P
A0A1D5PUP4	GO:0023051	P
A0A1D5PUP4	GO:0048522	P
A0A1D5PUP4	GO:0010647	P
A0A1D5PUP4	GO:0048584	P
A0A1D5PUP4	GO:0008593	P
A0A1D8PDP8	GO:0043231	C
A0A1D8PDP8	GO:0110165	C
A0A1D8PDP8	GO:0043229	C
A0A1D8PDP8	GO:0005739	C
A0A1D8PDP8	GO:0005575	C
A0A1D8PDP8	GO:0043226	C
A0A1D8PDP8	GO:0005737	C
A0A1D8PDP8	GO:0043227	C
A0A1D8PDP8	GO:0005622	C
A0A1D8PDP8	GO:0065007	P
A0A1D8PDP8	GO:0009152	P
A0A1D8PDP8	GO:0009145	P
A0A1D8PDP8	GO:0008150	P
A0A1D8PDP8	GO:0019693	P
A0A1D8PDP8	GO:0141156	P
A0A1D8PDP8	GO:0009144	P
A0A1D8PDP8	GO:0009150	P
A0A1D8PDP8	GO:0055086	P
A0A1D8PDP8	GO:0023052	P
A0A1D8PDP8	GO:0035556	P
A0A1D8PDP8	GO:0006163	P
A0A1D8PDP8	GO:0009206	P
