EntryID	term	aspect
A0A031WDE4	GO:0055129	P
A0A068CNX1	GO:0006081	P
A0A068CNX1	GO:0006082	P
A0A068CNX1	GO:0016835	F
A0A068CNX1	GO:0016836	F
A0A068CNX1	GO:0018958	P
A0A068CNX1	GO:0018982	P
A0A068CNX1	GO:0019752	P
A0A068CNX1	GO:0032787	P
A0A068CNX1	GO:0033494	P
A0A068CNX1	GO:0042189	P
A0A068CNX1	GO:0042537	P
A0A068CNX1	GO:0043436	P
A0A068CNX1	GO:0044281	P
A0A068CNX1	GO:0046184	P
A0A068CNX1	GO:0046189	P
A0A068CNX1	GO:0120254	P
A0A068CNX1	GO:1901503	P
A0A080WMA9	GO:0009070	P
A0A080WMA9	GO:0009090	P
A0A080WMA9	GO:0009092	P
A0A080WMA9	GO:0170041	P
A0A080WMA9	GO:0170043	P
A0A095AMW7	GO:0006082	P
A0A095AMW7	GO:0006108	P
A0A095AMW7	GO:0019752	P
A0A095AMW7	GO:0043436	P
A0A095AMW7	GO:0043648	P
A0A095AMW7	GO:0044281	P
A0A0A7EPL0	GO:0061659	F
A0A0A7EPL0	GO:0061665	F
A0A0B4K7J2	GO:0006403	P
A0A0B4K7J2	GO:0006405	P
A0A0B4K7J2	GO:0006406	P
A0A0B4K7J2	GO:0008152	P
A0A0B4K7J2	GO:0009058	P
A0A0B4K7J2	GO:0009059	P
A0A0B4K7J2	GO:0010467	P
A0A0B4K7J2	GO:0015931	P
A0A0B4K7J2	GO:0030674	F
A0A0B4K7J2	GO:0043170	P
A0A0B4K7J2	GO:0050657	P
A0A0B4K7J2	GO:0050658	P
A0A0B4K7J2	GO:0051028	P
A0A0B4K7J2	GO:0051168	P
A0A0B4K7J2	GO:0051236	P
A0A0B4K7J2	GO:0060090	F
A0A0D1C8C8	GO:0044217	C
A0A0D1DWQ2	GO:0044217	C
A0A0F7G352	GO:0006082	P
A0A0F7G352	GO:0016835	F
A0A0F7G352	GO:0016836	F
A0A0F7G352	GO:0019752	P
A0A0F7G352	GO:0032787	P
A0A0F7G352	GO:0033494	P
A0A0F7G352	GO:0043436	P
A0A0F7G352	GO:0120254	P
A0A0G2K1Q8	GO:0010638	P
A0A0G2K1Q8	GO:0031338	P
A0A0G2K1Q8	GO:0031340	P
A0A0G2K1Q8	GO:0032879	P
A0A0G2K1Q8	GO:0033043	P
A0A0G2K1Q8	GO:0048518	P
A0A0G2K1Q8	GO:0048522	P
A0A0G2K1Q8	GO:0050789	P
A0A0G2K1Q8	GO:0050794	P
A0A0G2K1Q8	GO:0051049	P
A0A0G2K1Q8	GO:0051050	P
A0A0G2K1Q8	GO:0051128	P
A0A0G2K1Q8	GO:0051130	P
A0A0G2K1Q8	GO:0060627	P
A0A0G2K1Q8	GO:0065007	P
A0A0H2URG7	GO:0008194	F
A0A0H2URG7	GO:0008375	F
A0A0H2URG7	GO:0016262	F
A0A0H2URG7	GO:0016758	F
A0A0H2URG7	GO:0140096	F
A0A0H2US87	GO:0005622	C
A0A0H2US87	GO:0005737	C
A0A0H2US87	GO:0005829	C
A0A0H2US87	GO:0044217	C
A0A0H3MD02	GO:0044217	C
A0A0H3MGR4	GO:0044217	C
A0A0H3NK84	GO:0044217	C
A0A0P0WL81	GO:0000271	P
A0A0P0WL81	GO:0009058	P
A0A0P0WL81	GO:0009059	P
A0A0P0WL81	GO:0016051	P
A0A0P0WL81	GO:0042546	P
A0A0P0WL81	GO:0044038	P
A0A0P0WL81	GO:0044085	P
A0A0P0WL81	GO:0045492	P
A0A0P0WL81	GO:0070592	P
A0A0P0WL81	GO:0071840	P
