filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w	cov_max
blast_predictions.tsv	biological_process	0.97	96.0	0.99625	4.00375	15.84125	0.33206866834473986	0.06876372321525298	0.12	4.00375	15.84125	0.11393429512843005	16.339376231209073	0.19924999999999998	0.059168522642910164	0.09124212936462506	96.0	0.8475486534400548	4.529497859645229	17.077776834240794	0.29131119353372426	0.06444400432576444	0.12	4.529497859645229	17.077776834240794	0.1055403262085055	17.668243049626135	0.15762345580933831	0.04728219044181548	0.07274355189353164	1.0
blast_predictions.tsv	cellular_component	0.77	182.0	2.6986301369863015	4.02054794520548	6.294520547945205	0.5400545881718661	0.3112481004055489	0.4155251141552511	4.02054794520548	6.294520547945205	0.39490293391340237	7.468988867858916	0.4016309887869521	0.3000761614623001	0.3435047951176983	182.0	1.8567231687413848	5.673597848402342	5.055510361169783	0.42637829315604653	0.2727445377978599	0.4155251141552511	5.673597848402342	5.055510361169783	0.33268074033632455	7.5992037449518826	0.24656627048359822	0.26861406818893263	0.25711838756669336	0.9954337899543378
blast_predictions.tsv	molecular_function	0.74	136.0	1.8481848184818481	2.485148514851485	4.033003300330033	0.452848341819025	0.29973484527939975	0.44884488448844884	2.485148514851485	4.033003300330033	0.3607160776298514	4.737201574911235	0.4265041888804265	0.31425364758698093	0.36187399030694667	136.0	3.57378623766149	4.988237034687566	8.420501723503984	0.4636922082531843	0.27693689058453563	0.44884488448844884	4.988237034687566	8.420501723503984	0.34676865530515866	9.7871016133359	0.41739973414963566	0.2979573484672473	0.3477069593920988	1.0
deepgoplus_predictions.tsv	biological_process	0.33	695.0	4.9925	6.315	11.845	0.5958887715582705	0.3208450043619754	0.86875	6.315	11.845	0.4171067774129846	13.423235452006347	0.441521114304665	0.2965107646622123	0.35476994137502216	695.0	4.074300949144381	6.077355976768226	13.851024538536468	0.5755372696267623	0.2614362679488648	0.86875	6.077355976768226	13.851024538536468	0.3595485617682494	15.125644992379659	0.40134344362490476	0.22729299682421042	0.2902235638522045	1.0
deepgoplus_predictions.tsv	cellular_component	0.34	417.0	5.054794520547945	2.872146118721461	3.9383561643835616	0.6824767013694194	0.5916793735800379	0.952054794520548	2.872146118721461	3.9383561643835616	0.6338428942706201	4.874409975045672	0.6376728110599078	0.5620715917745621	0.5974902172446364	417.0	2.2963675296500305	3.0701788122802616	4.6158660002611365	0.5088094413269487	0.42600348539951743	0.952054794520548	3.0701788122802616	4.6158660002611365	0.46373897752675297	5.5436645706374925	0.42790416467810666	0.3322178742533808	0.37403839039678827	1.0
deepgoplus_predictions.tsv	molecular_function	0.22	229.0	2.726072607260726	2.099009900990099	3.155115511551155	0.6263191951333285	0.43863660414456795	0.7557755775577558	2.099009900990099	3.155115511551155	0.515939769613205	3.7895377627997284	0.5649794801641587	0.46352413019079686	0.5092478421701603	229.0	4.819694243952849	3.6853760149102595	7.174593717212625	0.6588610950937327	0.3942542947978822	0.7557755775577558	3.6853760149102595	7.174593717212625	0.49331501354789614	8.065779031088237	0.5666848241412539	0.4018324605477059	0.47022879372329235	0.966996699669967
funbind_predictions.tsv	biological_process	0.62	748.0	6.82375	5.165	10.01375	0.6120482254808144	0.44747896285862304	0.935	5.165	10.01375	0.516982873439721	11.267316187207138	0.5691794390574497	0.40527097253155164	0.4734400069381207	748.0	6.072192586072345	5.244248815100861	11.853132901608504	0.5852211080196319	0.4051474842127043	0.935	5.244248815100861	11.853132901608504	0.47881336601737123	12.961439164609802	0.53658145443521	0.3387493627519037	0.41530955425178867	0.9975
funbind_predictions.tsv	cellular_component	0.73	432.0	5.045662100456621	2.1141552511415527	3.9474885844748857	0.7762929724958341	0.5942847614427884	0.9863013698630136	2.1141552511415527	3.9474885844748857	0.673203821345692	4.477981526367538	0.704719387755102	0.5610561056105611	0.6247349823321554	432.0	2.5819177979703887	2.179473546246221	4.330315731940779	0.7132288771986778	0.45500687241373167	0.9863013698630136	2.179473546246221	4.330315731940779	0.5555797121206	4.847859246830592	0.5422612029373508	0.3735287279860711	0.4423506538560591	0.9863013698630136
funbind_predictions.tsv	molecular_function	0.87	273.0	2.6963696369636962	1.3333333333333333	3.184818481848185	0.6344056730462506	0.43808791991637447	0.900990099009901	1.3333333333333333	3.184818481848185	0.5182790153929895	3.452657895028054	0.669123669123669	0.4584736251402918	0.544122544122544	273.0	4.721009574566432	1.9917673229853765	7.27327838659904	0.6435254032250595	0.388129216788264	0.900990099009901	1.9917673229853765	7.27327838659904	0.4842143986790238	7.541068595224491	0.7032871264183104	0.39360482171612765	0.5047301231081684	0.9933993399339934
goa_nonexp_predictions.tsv	biological_process	0.01	675.0	7.985	15.91875	8.8525	0.4270664506019813	0.48045151840566575	0.84375	15.91875	8.8525	0.4521887866886109	18.214646793514827	0.3340480050201329	0.4742390497401634	0.39198600926579336	675.0	7.232788372491891	17.57568714608521	10.692537115188957	0.3931587260649008	0.4477667010795269	0.84375	17.57568714608521	10.692537115188957	0.418689648542343	20.572679179357227	0.2915450555224898	0.40349551127886707	0.33850433156801196	0.84375
