EntryID	term	aspect
A0A0R4IKU3	GO:0001525	P
A0A0R4IKU3	GO:0001568	P
A0A0R4IKU3	GO:0001944	P
A0A0R4IKU3	GO:0002040	P
A0A0R4IKU3	GO:0007154	P
A0A0R4IKU3	GO:0007165	P
A0A0R4IKU3	GO:0007166	P
A0A0R4IKU3	GO:0007275	P
A0A0R4IKU3	GO:0007399	P
A0A0R4IKU3	GO:0008150	P
A0A0R4IKU3	GO:0009653	P
A0A0R4IKU3	GO:0009888	P
A0A0R4IKU3	GO:0009966	P
A0A0R4IKU3	GO:0009987	P
A0A0R4IKU3	GO:0010594	P
A0A0R4IKU3	GO:0010646	P
A0A0R4IKU3	GO:0016055	P
A0A0R4IKU3	GO:0023051	P
A0A0R4IKU3	GO:0023052	P
A0A0R4IKU3	GO:0030111	P
A0A0R4IKU3	GO:0030334	P
A0A0R4IKU3	GO:0032501	P
A0A0R4IKU3	GO:0032502	P
A0A0R4IKU3	GO:0035239	P
A0A0R4IKU3	GO:0035295	P
A0A0R4IKU3	GO:0040012	P
A0A0R4IKU3	GO:0043535	P
A0A0R4IKU3	GO:0048514	P
A0A0R4IKU3	GO:0048583	P
A0A0R4IKU3	GO:0048646	P
A0A0R4IKU3	GO:0048731	P
A0A0R4IKU3	GO:0048856	P
A0A0R4IKU3	GO:0050789	P
A0A0R4IKU3	GO:0050794	P
A0A0R4IKU3	GO:0050896	P
A0A0R4IKU3	GO:0051716	P
A0A0R4IKU3	GO:0051726	P
A0A0R4IKU3	GO:0060828	P
A0A0R4IKU3	GO:0061548	P
A0A0R4IKU3	GO:0065007	P
A0A0R4IKU3	GO:0072359	P
A0A0R4IKU3	GO:0090049	P
A0A0R4IKU3	GO:1990791	P
A0A0R4IKU3	GO:2000145	P
A0A1D8PCB9	GO:0008150	P
A0A1D8PCB9	GO:0009410	P
A0A1D8PCB9	GO:0009987	P
A0A1D8PCB9	GO:0042221	P
A0A1D8PCB9	GO:0050896	P
A0A1D8PCB9	GO:0051716	P
A0A1D8PCB9	GO:0070887	P
A0A1D8PCB9	GO:0071466	P
A0A1D8PD39	GO:0008150	P
A0A1D8PD39	GO:0009410	P
A0A1D8PD39	GO:0009987	P
A0A1D8PD39	GO:0042221	P
A0A1D8PD39	GO:0050896	P
A0A1D8PD39	GO:0051716	P
A0A1D8PD39	GO:0070887	P
A0A1D8PD39	GO:0071466	P
A2CG49	GO:0003674	F
A2CG49	GO:0005488	F
A2CG49	GO:0005515	F
A4D1E9	GO:0000027	P
A4D1E9	GO:0006996	P
A4D1E9	GO:0008150	P
A4D1E9	GO:0009987	P
A4D1E9	GO:0016043	P
A4D1E9	GO:0022607	P
A4D1E9	GO:0022613	P
A4D1E9	GO:0022618	P
A4D1E9	GO:0042254	P
A4D1E9	GO:0042255	P
A4D1E9	GO:0042273	P
A4D1E9	GO:0043933	P
A4D1E9	GO:0044085	P
A4D1E9	GO:0061668	P
A4D1E9	GO:0065003	P
A4D1E9	GO:0070925	P
A4D1E9	GO:0071826	P
A4D1E9	GO:0071840	P
A4D1E9	GO:0140694	P
A4D1E9	GO:1902775	P
A5D6W6	GO:0003674	F
A5D6W6	GO:0006996	P
A5D6W6	GO:0008150	P
A5D6W6	GO:0009987	P
A5D6W6	GO:0016043	P
A5D6W6	GO:0030674	F
A5D6W6	GO:0034389	P
A5D6W6	GO:0043495	F
A5D6W6	GO:0060090	F
A5D6W6	GO:0071840	P
A5D6W6	GO:0170007	F
A6NDG6	GO:0005575	C
A6NDG6	GO:0005622	C
A6NDG6	GO:0005737	C
A6NDG6	GO:0005829	C
A6NDG6	GO:0110165	C
B0I564	GO:0008150	P
B0I564	GO:0009893	P
B0I564	GO:0010604	P
B0I564	GO:0019222	P
B0I564	GO:0031396	P
B0I564	GO:0031398	P
B0I564	GO:0031399	P
B0I564	GO:0031401	P
B0I564	GO:0048518	P
B0I564	GO:0048522	P
B0I564	GO:0050789	P
B0I564	GO:0050794	P
B0I564	GO:0051246	P
B0I564	GO:0051247	P
B0I564	GO:0060255	P
B0I564	GO:0065007	P
B0I564	GO:0080090	P
B0I564	GO:1901873	P
B0I564	GO:1901875	P
B0I564	GO:1903320	P
B0I564	GO:1903322	P
B1NKT1	GO:0000175	F
B1NKT1	GO:0003674	F
B1NKT1	GO:0003824	F
B1NKT1	GO:0004518	F
B1NKT1	GO:0004527	F
B1NKT1	GO:0004532	F
B1NKT1	GO:0004535	F
B1NKT1	GO:0004540	F
B1NKT1	GO:0008408	F
B1NKT1	GO:0016787	F
B1NKT1	GO:0016788	F
B1NKT1	GO:0016896	F
B1NKT1	GO:0140098	F
B1NKT1	GO:0140640	F
B2RXV4	GO:0003674	F
B2RXV4	GO:0005215	F
B2RXV4	GO:0015232	F
B2RXV4	GO:0022857	F
B2RXV4	GO:0170003	F
B3FK34	GO:0005575	C
B3FK34	GO:0018995	C
B3FK34	GO:0030430	C
B3FK34	GO:0033643	C
B3FK34	GO:0033646	C
B3FK34	GO:0043656	C
B3FK34	GO:0044217	C
B3FK34	GO:0110165	C
B5XP00	GO:0003674	F
B5XP00	GO:0003824	F
B5XP00	GO:0016740	F
B5XP00	GO:0016772	F
B5XP00	GO:0016779	F
C0LGU5	GO:0005575	C
C0LGU5	GO:0005886	C
C0LGU5	GO:0016020	C
C0LGU5	GO:0071944	C
C0LGU5	GO:0110165	C
C6Y4C3	GO:0003674	F
C6Y4C3	GO:0004857	F
C6Y4C3	GO:0004860	F
C6Y4C3	GO:0019207	F
C6Y4C3	GO:0019210	F
C6Y4C3	GO:0019887	F
C6Y4C3	GO:0030234	F
C6Y4C3	GO:0098772	F
C6Y4C3	GO:0140678	F
C6Y4C5	GO:0003674	F
C6Y4C5	GO:0004857	F
