EntryID	term	aspect
A0A0H3JPC6	GO:0016787	F
A0A0H3JPC6	GO:0003674	F
A0A0H3JPC6	GO:0003824	F
A0A0H3JPC6	GO:0016798	F
A0A0R4IB93	GO:0032502	P
A0A0R4IB93	GO:0009628	P
A0A0R4IB93	GO:0032501	P
A0A0R4IB93	GO:0120035	P
A0A0R4IB93	GO:0007610	P
A0A0R4IB93	GO:0050896	P
A0A0R4IB93	GO:0031344	P
A0A0R4IB93	GO:1904888	P
A0A0R4IB93	GO:0001966	P
A0A0R4IB93	GO:0010975	P
A0A0R4IB93	GO:0050794	P
A0A0R4IB93	GO:0050789	P
A0A0R4IB93	GO:0065007	P
A0A0R4IB93	GO:0009605	P
A0A0R4IB93	GO:0008150	P
A0A0R4IB93	GO:0048856	P
A0A0R4IB93	GO:0010996	P
A0A0R4IB93	GO:0051128	P
A0A0R4IB93	GO:0009612	P
A0A0R4INB9	GO:0030546	F
A0A0R4INB9	GO:0030545	F
A0A0R4INB9	GO:0005488	F
A0A0R4INB9	GO:0003674	F
A0A0R4INB9	GO:0048018	F
A0A0R4INB9	GO:0140677	F
A0A0R4INB9	GO:0098772	F
A0A0R4INB9	GO:0042056	F
A0A0R4INB9	GO:0005515	F
A0A0R4INB9	GO:0005102	F
A0A1D8PDP8	GO:0005622	C
A0A1D8PDP8	GO:0043226	C
A0A1D8PDP8	GO:0043227	C
A0A1D8PDP8	GO:0110165	C
A0A1D8PDP8	GO:0043231	C
A0A1D8PDP8	GO:0005575	C
A0A1D8PDP8	GO:0005737	C
A0A1D8PDP8	GO:0043229	C
A0A1D8PDP8	GO:0005739	C
A0A1D8PDP8	GO:0019637	P
A0A1D8PDP8	GO:0035556	P
A0A1D8PDP8	GO:0006163	P
A0A1D8PDP8	GO:1901135	P
A0A1D8PDP8	GO:0009150	P
A0A1D8PDP8	GO:0019693	P
A0A1D8PDP8	GO:1901137	P
A0A1D8PDP8	GO:0009260	P
A0A1D8PDP8	GO:0006796	P
A0A1D8PDP8	GO:0051716	P
A0A1D8PDP8	GO:0044238	P
A0A1D8PDP8	GO:0050896	P
A0A1D8PDP8	GO:0009142	P
