filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w	cov_max
blast_predictions.tsv	biological_process	0.570	165.000	4.731	29.006	12.655	0.232	0.278	0.522	29.006	12.655	0.253	31.647	0.140	0.272	0.185	165.000	4.941	37.312	14.785	0.205	0.263	0.522	37.312	14.785	0.231	40.134	0.117	0.250	0.159	0.994
blast_predictions.tsv	cellular_component	0.620	68.000	3.071	6.735	5.097	0.492	0.358	0.439	6.735	5.097	0.414	8.447	0.313	0.376	0.342	68.000	2.836	10.271	6.408	0.407	0.320	0.439	10.271	6.408	0.358	12.106	0.216	0.307	0.254	0.974
blast_predictions.tsv	molecular_function	0.500	153.000	3.171	7.264	2.245	0.460	0.551	0.708	7.264	2.245	0.501	7.603	0.304	0.585	0.400	153.000	4.604	15.775	4.865	0.420	0.509	0.708	15.775	4.865	0.460	16.508	0.226	0.486	0.309	1.000
funbind_predictions.tsv	biological_process	0.310	313.000	5.877	16.231	11.509	0.292	0.362	0.991	16.231	11.509	0.323	19.898	0.266	0.338	0.298	313.000	5.533	18.377	14.192	0.271	0.336	0.991	18.377	14.192	0.300	23.219	0.231	0.280	0.254	0.994
funbind_predictions.tsv	cellular_component	0.690	152.000	4.723	2.916	3.445	0.720	0.629	0.981	2.916	3.445	0.671	4.514	0.618	0.578	0.598	152.000	3.468	3.386	5.775	0.640	0.474	0.981	3.386	5.775	0.545	6.695	0.506	0.375	0.431	0.994
funbind_predictions.tsv	molecular_function	0.600	207.000	3.315	2.838	2.102	0.603	0.604	0.958	2.838	2.102	0.603	3.532	0.539	0.612	0.573	207.000	4.329	4.441	5.140	0.600	0.523	0.958	4.441	5.140	0.559	6.793	0.494	0.457	0.475	0.977
goa_nonexp_predictions.tsv	biological_process	0.010	215.000	5.003	11.684	12.383	0.353	0.288	0.680	11.684	12.383	0.317	17.025	0.300	0.288	0.294	215.000	4.850	12.862	14.875	0.330	0.268	0.680	12.862	14.875	0.296	19.665	0.274	0.246	0.259	0.680
goa_nonexp_predictions.tsv	cellular_component	0.010	137.000	5.206	3.677	2.961	0.710	0.683	0.884	3.677	2.961	0.696	4.722	0.586	0.637	0.611	137.000	4.974	5.250	4.269	0.621	0.610	0.884	5.250	4.269	0.615	6.767	0.487	0.538	0.511	0.884
goa_nonexp_predictions.tsv	molecular_function	0.010	178.000	3.787	4.898	1.630	0.551	0.628	0.824	4.898	1.630	0.587	5.162	0.436	0.699	0.537	178.000	6.347	8.666	3.122	0.537	0.611	0.824	8.666	3.122	0.571	9.211	0.423	0.670	0.519	0.824
naive_predictions.tsv	biological_process	0.010	316.000	4.269	51.731	13.117	0.076	0.290	1.000	51.731	13.117	0.121	53.368	0.076	0.246	0.116	316.000	3.188	28.481	16.537	0.101	0.235	1.000	28.481	16.537	0.141	32.934	0.101	0.162	0.124	1.000
naive_predictions.tsv	cellular_component	0.100	155.000	2.484	3.516	5.684	0.414	0.415	1.000	3.516	5.684	0.415	6.684	0.414	0.304	0.351	155.000	0.742	2.418	8.502	0.235	0.207	1.000	2.418	8.502	0.220	8.839	0.235	0.080	0.120	1.000
naive_predictions.tsv	molecular_function	0.070	216.000	0.856	1.144	4.560	0.428	0.287	1.000	1.144	4.560	0.344	4.701	0.428	0.158	0.231	216.000	0.292	0.354	9.178	0.452	0.207	1.000	0.354	9.178	0.284	9.185	0.452	0.031	0.058	1.000
prott5_predictions.tsv	biological_process	0.900	210.000	4.316	55.187	13.070	0.155	0.269	0.665	55.187	13.070	0.197	56.713	0.073	0.248	0.112	210.000	4.162	75.609	15.563	0.129	0.228	0.665	75.609	15.563	0.165	77.194	0.052	0.211	0.084	1.000
prott5_predictions.tsv	cellular_component	0.900	84.000	2.877	9.600	5.290	0.376	0.342	0.542	9.600	5.290	0.358	10.961	0.231	0.352	0.279	83.000	1.997	15.615	7.246	0.280	0.256	0.535	15.615	7.246	0.267	17.214	0.113	0.216	0.149	1.000
prott5_predictions.tsv	molecular_function	0.880	168.000	2.394	19.065	3.023	0.318	0.481	0.778	19.065	3.023	0.383	19.303	0.112	0.442	0.178	168.000	3.451	50.534	6.019	0.269	0.447	0.778	50.534	6.019	0.336	50.891	0.064	0.364	0.109	1.000
transfew_predictions.tsv	biological_process	0.300	316.000	6.877	19.585	10.509	0.278	0.413	1.000	19.585	10.509	0.332	22.227	0.260	0.396	0.314	316.000	6.433	23.428	13.292	0.247	0.379	1.000	23.428	13.292	0.299	26.936	0.215	0.326	0.259	1.000
transfew_predictions.tsv	cellular_component	0.700	154.000	4.942	3.413	3.226	0.678	0.663	0.994	3.413	3.226	0.671	4.696	0.592	0.605	0.598	154.000	3.941	4.201	5.303	0.605	0.503	0.994	4.201	5.303	0.549	6.765	0.484	0.426	0.453	1.000
transfew_predictions.tsv	molecular_function	0.740	210.000	3.250	2.250	2.167	0.633	0.609	0.972	2.250	2.167	0.620	3.124	0.591	0.600	0.595	210.000	4.350	3.909	5.120	0.607	0.533	0.972	3.909	5.120	0.568	6.441	0.527	0.459	0.491	1.000
deepgoplus_predictions.tsv	biological_process	0.190	301.000	7.348	23.003	10.038	0.309	0.442	0.953	23.003	10.038	0.364	25.098	0.242	0.423	0.308	301.000	6.840	26.562	12.885	0.283	0.396	0.953	26.562	12.885	0.330	29.522	0.205	0.347	0.257	1.000
deepgoplus_predictions.tsv	cellular_component	0.270	155.000	4.884	5.652	3.284	0.612	0.650	1.000	5.652	3.284	0.631	6.536	0.464	0.598	0.522	155.000	3.389	6.294	5.855	0.536	0.485	1.000	6.294	5.855	0.509	8.596	0.350	0.367	0.358	1.000
deepgoplus_predictions.tsv	molecular_function	0.160	184.000	3.542	4.560	1.875	0.535	0.614	0.852	4.560	1.875	0.572	4.931	0.437	0.654	0.524	184.000	5.479	7.665	3.991	0.516	0.584	0.852	7.665	3.991	0.548	8.642	0.417	0.579	0.485	0.972
