filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w	cov_max
blast_predictions.tsv	biological_process	0.780	992.000	1.232	25.639	6.333	0.093	0.099	0.352	25.639	6.333	0.096	26.410	0.046	0.163	0.072	991.000	1.269	32.897	8.224	0.085	0.096	0.352	32.897	8.224	0.090	33.909	0.037	0.134	0.058	0.999
blast_predictions.tsv	cellular_component	0.770	562.000	0.669	4.487	2.840	0.159	0.130	0.380	4.487	2.840	0.143	5.311	0.130	0.191	0.154	562.000	0.875	7.473	7.553	0.138	0.124	0.380	7.473	7.553	0.130	10.625	0.105	0.104	0.104	0.996
blast_predictions.tsv	molecular_function	0.670	556.000	0.939	5.493	2.578	0.214	0.215	0.488	5.493	2.578	0.215	6.068	0.146	0.267	0.189	556.000	1.802	13.057	6.039	0.210	0.216	0.488	13.057	6.039	0.213	14.386	0.121	0.230	0.159	0.996
funbind_predictions.tsv	biological_process	0.530	2249.000	1.130	7.990	6.435	0.174	0.147	0.798	7.990	6.435	0.159	10.259	0.124	0.149	0.135	2249.000	1.277	9.067	8.216	0.176	0.160	0.799	9.067	8.216	0.168	12.235	0.123	0.135	0.129	0.973
funbind_predictions.tsv	cellular_component	0.250	1272.000	1.016	6.095	2.493	0.152	0.225	0.861	6.095	2.493	0.182	6.585	0.143	0.290	0.191	1272.000	1.281	10.480	7.147	0.142	0.218	0.861	10.480	7.147	0.172	12.685	0.109	0.152	0.127	0.984
funbind_predictions.tsv	molecular_function	0.390	829.000	1.093	3.228	2.425	0.273	0.252	0.727	3.228	2.425	0.263	4.037	0.253	0.311	0.279	829.000	1.880	6.974	5.961	0.270	0.241	0.727	6.974	5.961	0.254	9.174	0.212	0.240	0.225	0.968
goa_nonexp_predictions.tsv	biological_process	0.010	2162.000	2.067	20.001	5.498	0.160	0.208	0.767	20.001	5.498	0.181	20.743	0.094	0.273	0.140	2161.000	2.024	24.571	7.469	0.151	0.200	0.767	24.571	7.469	0.172	25.681	0.076	0.213	0.112	0.767
goa_nonexp_predictions.tsv	cellular_component	0.010	1096.000	1.129	4.496	2.380	0.221	0.245	0.742	4.496	2.380	0.233	5.087	0.201	0.322	0.247	1096.000	1.451	7.603	6.978	0.210	0.239	0.742	7.603	6.978	0.223	10.320	0.160	0.172	0.166	0.742
goa_nonexp_predictions.tsv	molecular_function	0.010	905.000	1.564	6.860	1.954	0.253	0.359	0.794	6.860	1.954	0.297	7.132	0.186	0.445	0.262	905.000	2.959	12.495	4.883	0.257	0.357	0.794	12.495	4.883	0.299	13.415	0.191	0.377	0.254	0.794
naive_predictions.tsv	biological_process	0.010	2817.000	0.979	44.217	6.586	0.022	0.077	1.000	44.217	6.586	0.034	44.705	0.022	0.129	0.037	2817.000	0.626	24.979	8.867	0.024	0.061	1.000	24.979	8.867	0.035	26.506	0.024	0.066	0.036	1.000
