EntryID	term	aspect
O13968	GO:0007039	P
O13968	GO:0008150	P
O13968	GO:0008152	P
O13968	GO:0009056	P
O13968	GO:0009057	P
O13968	GO:0009987	P
O13968	GO:0019538	P
O13968	GO:0030163	P
O13968	GO:0043170	P
O13968	GO:0044238	P
O14194	GO:0006575	P
O14194	GO:0006749	P
O14194	GO:0006751	P
O14194	GO:0006790	P
O14194	GO:0008150	P
O14194	GO:0008152	P
O14194	GO:0009056	P
O14194	GO:0009987	P
O14194	GO:0042219	P
O14194	GO:0043603	P
O14194	GO:0044273	P
O14258	GO:0006355	P
O14258	GO:0006357	P
O14258	GO:0008150	P
O14258	GO:0009889	P
O14258	GO:0009891	P
O14258	GO:0009893	P
O14258	GO:0010468	P
O14258	GO:0010556	P
O14258	GO:0010557	P
O14258	GO:0010604	P
O14258	GO:0019219	P
O14258	GO:0019222	P
O14258	GO:0045893	P
O14258	GO:0045944	P
O14258	GO:0048518	P
O14258	GO:0048522	P
O14258	GO:0050789	P
O14258	GO:0050794	P
O14258	GO:0051252	P
O14258	GO:0051254	P
O14258	GO:0060255	P
O14258	GO:0065007	P
O14258	GO:0080090	P
O14258	GO:1902680	P
O14258	GO:2001141	P
O15335	GO:0005575	C
O15335	GO:0005614	C
O15335	GO:0030312	C
O15335	GO:0031012	C
O15335	GO:0071944	C
O15335	GO:0110165	C
O15335	GO:0140150	C
O35367	GO:0005575	C
O35367	GO:0005614	C
O35367	GO:0030312	C
O35367	GO:0031012	C
O35367	GO:0071944	C
O35367	GO:0110165	C
O35367	GO:0140150	C
O42869	GO:0007163	P
O42869	GO:0008150	P
O42869	GO:0009987	P
O42869	GO:0030010	P
O55226	GO:0005575	C
O55226	GO:0005614	C
O55226	GO:0030312	C
O55226	GO:0031012	C
O55226	GO:0071944	C
O55226	GO:0110165	C
O55226	GO:0140150	C
O75558	GO:0005575	C
O75558	GO:0005622	C
O75558	GO:0005737	C
O75558	GO:0005794	C
O75558	GO:0005802	C
O75558	GO:0012505	C
O75558	GO:0016020	C
O75558	GO:0031090	C
O75558	GO:0031201	C
O75558	GO:0031984	C
O75558	GO:0032588	C
O75558	GO:0032991	C
O75558	GO:0043226	C
O75558	GO:0043227	C
O75558	GO:0043229	C
O75558	GO:0043231	C
O75558	GO:0098791	C
O75558	GO:0098796	C
O75558	GO:0110165	C
O88413	GO:0003674	F
O88413	GO:0030674	F
O88413	GO:0060090	F
P05031	GO:0005575	C
P05031	GO:0005622	C
P05031	GO:0005737	C
P05031	GO:0005829	C
P05031	GO:0110165	C
P0AFJ1	GO:0003674	F
P0AFJ1	GO:0003824	F
P0AFJ1	GO:0016787	F
P0AFJ1	GO:0016827	F
P0AFJ1	GO:0047400	F
P0AFR4	GO:0003674	F
P0AFR4	GO:0003824	F
P0AFR4	GO:0016740	F
P0AFR4	GO:0016772	F
P0AFR4	GO:0016779	F
P0AFR4	GO:0061710	F
P11541	GO:0003674	F
P11541	GO:0003824	F
P11541	GO:0004112	F
P11541	GO:0004114	F
P11541	GO:0005488	F
P11541	GO:0005515	F
P11541	GO:0008081	F
P11541	GO:0016787	F
P11541	GO:0016788	F
P11541	GO:0042578	F
P11541	GO:0047555	F
P16290	GO:0005575	C
P16290	GO:0005622	C
P16290	GO:0005634	C
P16290	GO:0005737	C
P16290	GO:0043226	C
P16290	GO:0043227	C
P16290	GO:0043229	C
P16290	GO:0043231	C
P16290	GO:0110165	C
P16290	GO:1990917	C
P23439	GO:0003674	F
P23439	GO:0003824	F
P23439	GO:0004112	F
P23439	GO:0004114	F
P23439	GO:0005488	F
P23439	GO:0005515	F
P23439	GO:0008081	F
P23439	GO:0016787	F
P23439	GO:0016788	F
P23439	GO:0042578	F
P23439	GO:0047555	F
P25113	GO:0005575	C
P25113	GO:0005622	C
P25113	GO:0005634	C
P25113	GO:0005737	C
P25113	GO:0005783	C
P25113	GO:0005791	C
P25113	GO:0012505	C
P25113	GO:0031984	C
P25113	GO:0036477	C
P25113	GO:0043025	C
P25113	GO:0043226	C
P25113	GO:0043227	C
P25113	GO:0043229	C
P25113	GO:0043231	C
P25113	GO:0044297	C
P25113	GO:0071781	C
P25113	GO:0098827	C
P25113	GO:0110165	C
P25113	GO:0120083	C
P25113	GO:1990917	C
P25318	GO:0005575	C
P25318	GO:0030312	C
P25318	GO:0031012	C
P25318	GO:0071944	C
P25318	GO:0071953	C
P25318	GO:0099080	C
P25318	GO:0099081	C
P25318	GO:0099512	C
P25318	GO:0110165	C
P29846	GO:0008150	P
P29846	GO:0035821	P
P29846	GO:0039653	P
P29846	GO:0039656	P
P29846	GO:0044003	P
P29846	GO:0044068	P
P29846	GO:0044403	P
P29846	GO:0044419	P
P29846	GO:0051701	P
P29846	GO:0052026	P
P32843	GO:0006996	P
P32843	GO:0007005	P
P32843	GO:0008150	P
P32843	GO:0009987	P
P32843	GO:0016043	P
P32843	GO:0071840	P
P38289	GO:0006996	P
P38289	GO:0007005	P
P38289	GO:0008150	P
P38289	GO:0009987	P
P38289	GO:0016043	P
P38289	GO:0071840	P
P39428	GO:0008150	P
P39428	GO:0009966	P
P39428	GO:0009967	P
P39428	GO:0009968	P
P39428	GO:0010646	P
P39428	GO:0010647	P
P39428	GO:0010648	P
P39428	GO:0023051	P
P39428	GO:0023056	P
P39428	GO:0023057	P
P39428	GO:0043122	P
P39428	GO:0043123	P
P39428	GO:0048518	P
P39428	GO:0048519	P
P39428	GO:0048522	P
P39428	GO:0048523	P
P39428	GO:0048583	P
P39428	GO:0048584	P
P39428	GO:0048585	P
P39428	GO:0050789	P
P39428	GO:0050794	P
P39428	GO:0065007	P
P39428	GO:1901222	P
P39428	GO:1901223	P
P39428	GO:1902531	P
P39428	GO:1902532	P
P39428	GO:1902533	P
P39878	GO:0006629	P
P39878	GO:0006644	P
P39878	GO:0006793	P
P39878	GO:0006796	P
P39878	GO:0008150	P
P39878	GO:0008152	P
P39878	GO:0009056	P
P39878	GO:0009395	P
P39878	GO:0009987	P
P39878	GO:0016042	P
P39878	GO:0019637	P
P39878	GO:0044238	P
P39878	GO:0046434	P
P41902	GO:0005575	C
P41902	GO:0005622	C
P41902	GO:0005737	C
P41902	GO:0110165	C
P48015	GO:0003674	F
P48015	GO:0003824	F
P48015	GO:0004047	F
P48015	GO:0016740	F
P48015	GO:0016741	F
P48015	GO:0016742	F
P53966	GO:0006493	P
P53966	GO:0008150	P
P53966	GO:0008152	P
P53966	GO:0009058	P
P53966	GO:0009059	P
P53966	GO:0009100	P
P53966	GO:0009101	P
P53966	GO:0009987	P
P53966	GO:0019538	P
P53966	GO:0035269	P
P53966	GO:0043170	P
P53966	GO:0044238	P
P53966	GO:1901135	P
P53966	GO:1901137	P
P70597	GO:0008150	P
P70597	GO:0032879	P
P70597	GO:0048519	P
P70597	GO:0050789	P
P70597	GO:0050878	P
P70597	GO:0051046	P
P70597	GO:0051048	P
P70597	GO:0051049	P
P70597	GO:0051051	P
P70597	GO:0051239	P
P70597	GO:0051241	P
P70597	GO:0065007	P
P70597	GO:0065008	P
P70597	GO:0070255	P
P70597	GO:0070256	P
Q03702	GO:0006996	P
Q03702	GO:0007005	P
Q03702	GO:0008150	P
Q03702	GO:0009987	P
Q03702	GO:0016043	P
Q03702	GO:0071840	P
Q05895	GO:0005575	C
Q05895	GO:0030312	C
Q05895	GO:0031012	C
Q05895	GO:0032991	C
Q05895	GO:0071944	C
Q05895	GO:0110165	C
Q05895	GO:1990341	C
Q08622	GO:0003674	F
Q08622	GO:0005488	F
Q08622	GO:0043021	F
Q08622	GO:0043022	F
Q08622	GO:0044877	F
Q08622	GO:0097177	F
Q0VF58	GO:0005575	C
Q0VF58	GO:0005581	C
Q0VF58	GO:0005604	C
Q0VF58	GO:0030312	C
Q0VF58	GO:0031012	C
Q0VF58	GO:0032991	C
Q0VF58	GO:0071944	C
Q0VF58	GO:0110165	C
Q0VF58	GO:0140139	C
Q0VF58	GO:0140143	C
Q0VF58	GO:1990318	C
Q22067	GO:0006082	P
Q22067	GO:0006520	P
Q22067	GO:0006536	P
Q22067	GO:0006537	P
Q22067	GO:0008150	P
Q22067	GO:0008152	P
Q22067	GO:0008652	P
Q22067	GO:0009058	P
Q22067	GO:0009064	P
Q22067	GO:0009084	P
Q22067	GO:0009987	P
Q22067	GO:0016053	P
Q22067	GO:0019752	P
Q22067	GO:0043436	P
Q22067	GO:0043648	P
Q22067	GO:0043650	P
Q22067	GO:0044238	P
Q22067	GO:0044281	P
Q22067	GO:0044283	P
Q22067	GO:0046394	P
Q22067	GO:0170033	P
Q22067	GO:0170034	P
Q22067	GO:0170038	P
Q22067	GO:0170039	P
Q22067	GO:1901605	P
Q22067	GO:1901607	P
Q3UZ39	GO:0008150	P
Q3UZ39	GO:0009966	P
Q3UZ39	GO:0009967	P
Q3UZ39	GO:0010646	P
Q3UZ39	GO:0010647	P
Q3UZ39	GO:0023051	P
Q3UZ39	GO:0023056	P
Q3UZ39	GO:0043122	P
Q3UZ39	GO:0043123	P
Q3UZ39	GO:0048518	P
Q3UZ39	GO:0048522	P
Q3UZ39	GO:0048583	P
Q3UZ39	GO:0048584	P
Q3UZ39	GO:0050789	P
Q3UZ39	GO:0050794	P
Q3UZ39	GO:0065007	P
Q3UZ39	GO:1902531	P
Q3UZ39	GO:1902533	P
Q62419	GO:0006810	P
Q62419	GO:0006897	P
Q62419	GO:0008150	P
Q62419	GO:0009987	P
Q62419	GO:0016043	P
Q62419	GO:0016192	P
Q62419	GO:0022411	P
Q62419	GO:0032984	P
Q62419	GO:0036465	P
Q62419	GO:0043933	P
Q62419	GO:0048488	P
Q62419	GO:0051179	P
Q62419	GO:0051234	P
Q62419	GO:0051261	P
Q62419	GO:0051641	P
Q62419	GO:0051649	P
Q62419	GO:0071840	P
Q62419	GO:0072319	P
Q62419	GO:0098657	P
Q62419	GO:0099003	P
Q62419	GO:0099504	P
Q62419	GO:0140238	P
Q6JD68	GO:0006629	P
Q6JD68	GO:0006720	P
Q6JD68	GO:0006721	P
Q6JD68	GO:0008150	P
Q6JD68	GO:0008152	P
Q6JD68	GO:0008299	P
Q6JD68	GO:0008610	P
Q6JD68	GO:0009058	P
Q6JD68	GO:0009987	P
Q6JD68	GO:0016101	P
Q6JD68	GO:0016102	P
Q6JD68	GO:0016114	P
Q6JD68	GO:0042617	P
Q6JD68	GO:0044238	P
Q6NP60	GO:0006066	P
Q6NP60	GO:0006576	P
Q6NP60	GO:0006589	P
Q6NP60	GO:0008150	P
Q6NP60	GO:0008152	P
Q6NP60	GO:0009058	P
Q6NP60	GO:0009308	P
Q6NP60	GO:0009309	P
Q6NP60	GO:0009987	P
Q6NP60	GO:0018958	P
Q6NP60	GO:0042401	P
Q6NP60	GO:0044281	P
Q6NP60	GO:0044283	P
Q6NP60	GO:0046165	P
Q6NP60	GO:0046189	P
Q6NP60	GO:0046333	P
Q6RUT7	GO:0003674	F
Q6RUT7	GO:0030674	F
Q6RUT7	GO:0043495	F
Q6RUT7	GO:0060090	F
Q7Z4G1	GO:0005575	C
Q7Z4G1	GO:0032991	C
Q80T85	GO:0008150	P
Q80T85	GO:0008152	P
Q80T85	GO:0009056	P
Q80T85	GO:0009057	P
Q80T85	GO:0009987	P
Q80T85	GO:0016043	P
Q80T85	GO:0019538	P
Q80T85	GO:0022607	P
Q80T85	GO:0030163	P
Q80T85	GO:0043170	P
Q80T85	GO:0043933	P
Q80T85	GO:0044085	P
Q80T85	GO:0044238	P
Q80T85	GO:0065003	P
Q80T85	GO:0071840	P
Q86VX2	GO:0005575	C
Q86VX2	GO:0032991	C
Q86X83	GO:0005575	C
Q86X83	GO:0032991	C
Q8BKV0	GO:0005575	C
Q8BKV0	GO:0005614	C
Q8BKV0	GO:0030312	C
Q8BKV0	GO:0031012	C
Q8BKV0	GO:0071944	C
Q8BKV0	GO:0110165	C
Q8BKV0	GO:0140150	C
Q8IYR0	GO:0000226	P
Q8IYR0	GO:0001539	P
Q8IYR0	GO:0001578	P
Q8IYR0	GO:0003006	P
Q8IYR0	GO:0003341	P
Q8IYR0	GO:0006996	P
Q8IYR0	GO:0007010	P
Q8IYR0	GO:0007017	P
Q8IYR0	GO:0007018	P
Q8IYR0	GO:0007276	P
Q8IYR0	GO:0007281	P
Q8IYR0	GO:0007283	P
Q8IYR0	GO:0007286	P
Q8IYR0	GO:0007288	P
Q8IYR0	GO:0008150	P
Q8IYR0	GO:0009987	P
Q8IYR0	GO:0016043	P
Q8IYR0	GO:0019953	P
Q8IYR0	GO:0022412	P
Q8IYR0	GO:0022414	P
Q8IYR0	GO:0022607	P
Q8IYR0	GO:0030030	P
Q8IYR0	GO:0030031	P
Q8IYR0	GO:0030154	P
Q8IYR0	GO:0030317	P
Q8IYR0	GO:0032502	P
Q8IYR0	GO:0035082	P
Q8IYR0	GO:0044085	P
Q8IYR0	GO:0044458	P
Q8IYR0	GO:0044782	P
Q8IYR0	GO:0048232	P
Q8IYR0	GO:0048468	P
Q8IYR0	GO:0048515	P
Q8IYR0	GO:0048609	P
Q8IYR0	GO:0048856	P
Q8IYR0	GO:0048869	P
Q8IYR0	GO:0048870	P
Q8IYR0	GO:0060271	P
Q8IYR0	GO:0060285	P
Q8IYR0	GO:0060294	P
Q8IYR0	GO:0070925	P
Q8IYR0	GO:0071840	P
Q8IYR0	GO:0097722	P
Q8IYR0	GO:0120031	P
Q8IYR0	GO:0120036	P
Q8IYR0	GO:0120316	P
Q8S9G6	GO:0003674	F
Q8S9G6	GO:0003824	F
Q8S9G6	GO:0008374	F
Q8S9G6	GO:0016407	F
Q8S9G6	GO:0016413	F
Q8S9G6	GO:0016740	F
Q8S9G6	GO:0016746	F
Q8S9G6	GO:0016747	F
Q8S9G6	GO:0050638	F
Q8TD86	GO:0005575	C
Q8TD86	GO:0005622	C
Q8TD86	GO:0005634	C
Q8TD86	GO:0005654	C
Q8TD86	GO:0005737	C
Q8TD86	GO:0005829	C
Q8TD86	GO:0016604	C
Q8TD86	GO:0016607	C
Q8TD86	GO:0031974	C
Q8TD86	GO:0031981	C
Q8TD86	GO:0035770	C
Q8TD86	GO:0043226	C
Q8TD86	GO:0043227	C
Q8TD86	GO:0043228	C
Q8TD86	GO:0043229	C
Q8TD86	GO:0043231	C
Q8TD86	GO:0043232	C
Q8TD86	GO:0043233	C
Q8TD86	GO:0070013	C
Q8TD86	GO:0099080	C
Q8TD86	GO:0110165	C
Q8TD86	GO:0140168	C
Q8WXX7	GO:0005575	C
Q8WXX7	GO:0005622	C
Q8WXX7	GO:0005634	C
Q8WXX7	GO:0005654	C
Q8WXX7	GO:0031974	C
Q8WXX7	GO:0031981	C
Q8WXX7	GO:0043226	C
Q8WXX7	GO:0043227	C
Q8WXX7	GO:0043229	C
Q8WXX7	GO:0043231	C
Q8WXX7	GO:0043233	C
Q8WXX7	GO:0070013	C
Q8WXX7	GO:0110165	C
Q92399	GO:0003674	F
Q92399	GO:0003824	F
Q92399	GO:0003968	F
Q92399	GO:0016740	F
Q92399	GO:0016772	F
Q92399	GO:0016779	F
Q92399	GO:0034062	F
Q92399	GO:0097747	F
