EntryID	term	aspect
A0A140LHV9	GO:0044085	P
A0A140LHV9	GO:0008150	P
A0A140LHV9	GO:0071840	P
A0A140LHV9	GO:0030030	P
A0A140LHV9	GO:0060271	P
A0A140LHV9	GO:0120036	P
A0A140LHV9	GO:0070925	P
A0A140LHV9	GO:0009987	P
A0A140LHV9	GO:0022607	P
A0A140LHV9	GO:0030031	P
A0A140LHV9	GO:0044782	P
A0A140LHV9	GO:0006996	P
A0A140LHV9	GO:0016043	P
A0A140LHV9	GO:0120031	P
A0A1B0GUW7	GO:0005575	C
A0A1B0GUW7	GO:0120025	C
A0A1B0GUW7	GO:0035869	C
A0A1B0GUW7	GO:0043227	C
A0A1B0GUW7	GO:0043226	C
A0A1B0GUW7	GO:0042995	C
A0A1B0GUW7	GO:0110165	C
A0A1B0GUW7	GO:0005929	C
A0A1B0GUW7	GO:0044085	P
A0A1B0GUW7	GO:0008150	P
A0A1B0GUW7	GO:0071840	P
A0A1B0GUW7	GO:0030030	P
A0A1B0GUW7	GO:0060271	P
A0A1B0GUW7	GO:0120036	P
A0A1B0GUW7	GO:0070925	P
A0A1B0GUW7	GO:0009987	P
A0A1B0GUW7	GO:0022607	P
A0A1B0GUW7	GO:0030031	P
A0A1B0GUW7	GO:0044782	P
A0A1B0GUW7	GO:0006996	P
A0A1B0GUW7	GO:0016043	P
A0A1B0GUW7	GO:0120031	P
A6NNA2	GO:0090087	P
A6NNA2	GO:0008152	P
A6NNA2	GO:0032879	P
A6NNA2	GO:0051049	P
A6NNA2	GO:0002792	P
A6NNA2	GO:0050796	P
A6NNA2	GO:0090304	P
A6NNA2	GO:0046676	P
A6NNA2	GO:0010646	P
A6NNA2	GO:0050709	P
A6NNA2	GO:0006396	P
A6NNA2	GO:0051048	P
A6NNA2	GO:0070201	P
A6NNA2	GO:1904950	P
A6NNA2	GO:0048519	P
A6NNA2	GO:0046888	P
A6NNA2	GO:0023057	P
A6NNA2	GO:0051046	P
A6NNA2	GO:0141187	P
A6NNA2	GO:0010648	P
A6NNA2	GO:0009058	P
A6NNA2	GO:0048523	P
A6NNA2	GO:0008150	P
A6NNA2	GO:0009059	P
A6NNA2	GO:0010817	P
A6NNA2	GO:0006139	P
A6NNA2	GO:0046883	P
A6NNA2	GO:0050708	P
A6NNA2	GO:0065008	P
A6NNA2	GO:0043170	P
A6NNA2	GO:0051224	P
A6NNA2	GO:1903828	P
A6NNA2	GO:0034654	P
A6NNA2	GO:0051051	P
A6NNA2	GO:1903530	P
A6NNA2	GO:0090278	P
A6NNA2	GO:0090276	P
A6NNA2	GO:0065007	P
A6NNA2	GO:0032774	P
A6NNA2	GO:0002791	P
A6NNA2	GO:0032880	P
A6NNA2	GO:0050794	P
A6NNA2	GO:0010467	P
A6NNA2	GO:0009987	P
A6NNA2	GO:0008380	P
A6NNA2	GO:0016070	P
A6NNA2	GO:1903531	P
