EntryID	term	aspect
A0A0A7EPL0	GO:0061659	F
A0A0A7EPL0	GO:0061665	F
A2ASQ1	GO:0140148	C
A6NDG6	GO:0009636	P
A6NDG6	GO:0042221	P
A6NDG6	GO:0050896	P
A6NDG6	GO:0051716	P
A6NDG6	GO:0070887	P
A6NDG6	GO:0097237	P
A6NDG6	GO:0098754	P
A6NDG6	GO:0110051	P
A6NDG6	GO:0110052	P
A6NDG6	GO:1990748	P
A8MTZ0	GO:0005815	C
A8MTZ0	GO:0005856	C
A8MTZ0	GO:0015630	C
A8MTZ0	GO:0036064	C
A8MTZ0	GO:0043228	C
A8MTZ0	GO:0043229	C
A8MTZ0	GO:0043232	C
B2RX14	GO:0009968	P
B2RX14	GO:0010648	P
B2RX14	GO:0023057	P
B2RX14	GO:0043122	P
B2RX14	GO:0043124	P
B2RX14	GO:0048585	P
B2RX14	GO:1902531	P
B2RX14	GO:1902532	P
B5DE31	GO:0007399	P
B5DE31	GO:0007423	P
B5DE31	GO:0008544	P
B5DE31	GO:0009888	P
B5DE31	GO:0009913	P
B5DE31	GO:0009987	P
B5DE31	GO:0022008	P
B5DE31	GO:0030154	P
B5DE31	GO:0030182	P
B5DE31	GO:0030855	P
B5DE31	GO:0031099	P
B5DE31	GO:0035315	P
B5DE31	GO:0040007	P
B5DE31	GO:0042246	P
B5DE31	GO:0042490	P
B5DE31	GO:0048513	P
B5DE31	GO:0048589	P
B5DE31	GO:0048699	P
B5DE31	GO:0048731	P
B5DE31	GO:0048869	P
B5DE31	GO:0048880	P
B5DE31	GO:0048882	P
B5DE31	GO:0048884	P
B5DE31	GO:0048886	P
B5DE31	GO:0048925	P
B5DE31	GO:0060429	P
B5DE31	GO:0070654	P
B5DE31	GO:0070655	P
B5DE31	GO:0070656	P
B5DE31	GO:0070657	P
B5DE31	GO:0070658	P
B5DE31	GO:1990399	P
B5DFG1	GO:0009966	P
B5DFG1	GO:0010469	P
B5DFG1	GO:0010646	P
B5DFG1	GO:0022898	P
B5DFG1	GO:0023051	P
B5DFG1	GO:0032879	P
B5DFG1	GO:0034762	P
B5DFG1	GO:0048583	P
