EntryID	term	aspect
A0A0A7EPL0	GO:0005488	F
A0A0A7EPL0	GO:0005515	F
A0A0A7EPL0	GO:0016755	F
A0A0A7EPL0	GO:0019789	F
A0A0A7EPL0	GO:0003674	F
A0A0A7EPL0	GO:0016740	F
A0A0A7EPL0	GO:0003824	F
A0A0A7EPL0	GO:0019787	F
A0A0A7EPL0	GO:0140096	F
A0A0A7EPL0	GO:0016746	F
A2ASQ1	GO:0031974	C
A2ASQ1	GO:0043226	C
A2ASQ1	GO:0005622	C
A2ASQ1	GO:0012505	C
A2ASQ1	GO:0030312	C
A2ASQ1	GO:0045202	C
A2ASQ1	GO:0005886	C
A2ASQ1	GO:0005794	C
A2ASQ1	GO:0043233	C
A2ASQ1	GO:0110165	C
A2ASQ1	GO:0030054	C
A2ASQ1	GO:0043227	C
A2ASQ1	GO:0005604	C
A2ASQ1	GO:0005576	C
A2ASQ1	GO:0043231	C
A2ASQ1	GO:0005796	C
A2ASQ1	GO:0016020	C
A2ASQ1	GO:0042383	C
A2ASQ1	GO:0009986	C
A2ASQ1	GO:0071944	C
A2ASQ1	GO:0005615	C
A2ASQ1	GO:0005575	C
A2ASQ1	GO:0070013	C
A2ASQ1	GO:0043229	C
A2ASQ1	GO:0031012	C
A2ASQ1	GO:0005737	C
A6NDG6	GO:0046486	P
A6NDG6	GO:0008152	P
A6NDG6	GO:0019637	P
A6NDG6	GO:0043255	P
A6NDG6	GO:0006109	P
A6NDG6	GO:0008150	P
A6NDG6	GO:0046173	P
A6NDG6	GO:0009892	P
A6NDG6	GO:0005975	P
A6NDG6	GO:0044281	P
A6NDG6	GO:0062014	P
A6NDG6	GO:0016051	P
A6NDG6	GO:0006066	P
A6NDG6	GO:0006793	P
A6NDG6	GO:0080090	P
A6NDG6	GO:0006644	P
A6NDG6	GO:0009890	P
A6NDG6	GO:0044238	P
A6NDG6	GO:0006114	P
A6NDG6	GO:0006071	P
A6NDG6	GO:0044283	P
A6NDG6	GO:0045912	P
A6NDG6	GO:0019401	P
A6NDG6	GO:0046165	P
A6NDG6	GO:0019751	P
A6NDG6	GO:0048523	P
A6NDG6	GO:0050794	P
A6NDG6	GO:0045721	P
A6NDG6	GO:0019222	P
A6NDG6	GO:0006796	P
A6NDG6	GO:0048519	P
A6NDG6	GO:0009889	P
A6NDG6	GO:0062012	P
A6NDG6	GO:0010906	P
A6NDG6	GO:0009987	P
