filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w	cov_max
blast_predictions.tsv	biological_process	0.46	21.0	7.7407407407407405	76.92592592592592	8.148148148148149	0.2024015985680845	0.47320406609821564	0.7777777777777778	76.92592592592592	8.148148148148149	0.2835300662391673	77.35625635852095	0.09142607174103237	0.48717948717948717	0.15395948434622467	21.0	6.705050661547024	96.36457398877874	10.777973494370404	0.14852573487195014	0.44104232328124415	0.7777777777777778	96.36457398877874	10.777973494370404	0.22221738192593118	96.96543627852229	0.06505360511687701	0.3835177828360768	0.11123854561376977	1.0
blast_predictions.tsv	cellular_component	0.74	16.0	2.9615384615384617	7.6923076923076925	5.0	0.39523287385129485	0.3428981106612685	0.6153846153846154	7.6923076923076925	5.0	0.36721017965213404	9.17450803221274	0.2779783393501805	0.3719806763285024	0.3181818181818182	16.0	2.844016904257331	10.544535047472799	10.098502350854126	0.3135045028834555	0.20539014302227482	0.6153846153846154	10.544535047472799	10.098502350854126	0.24818423236172	14.600238665774903	0.21242154599772192	0.21974214202031253	0.2160198407361697	1.0
blast_predictions.tsv	molecular_function	0.37	10.0	4.071428571428571	16.857142857142858	3.2857142857142856	0.2451028757664913	0.44563492063492066	0.7142857142857143	16.857142857142858	3.2857142857142856	0.3162600951001554	17.17437578701099	0.19453924914675766	0.5533980582524272	0.28787878787878785	10.0	6.754302263514035	33.86693881905394	6.412154149569594	0.22445228556334834	0.43326977140298745	0.7142857142857143	33.86693881905394	6.412154149569594	0.29571272371632645	34.46861276308325	0.16627513299716848	0.5129931738354613	0.2511467334722806	1.0
deepgoplus_predictions.tsv	biological_process	0.31	27.0	6.481481481481482	12.962962962962964	9.407407407407407	0.5871211912167177	0.4155173712873378	1.0	12.962962962962964	9.407407407407407	0.48663409353053716	16.016795026099736	0.3333333333333333	0.40792540792540793	0.3668763102725367	27.0	5.385053473049451	15.522133058609723	12.097970682867977	0.5509684830177837	0.3729489256111859	1.0	15.522133058609723	12.097970682867977	0.44480838193541616	19.679875744849557	0.25756949481916247	0.30801613182160986	0.2805430538984825	1.0
deepgoplus_predictions.tsv	cellular_component	0.29000000000000004	26.0	3.1153846153846154	4.769230769230769	4.846153846153846	0.44967756602371983	0.3720431502820167	1.0	4.769230769230769	4.846153846153846	0.4071929913772976	6.799321233091523	0.39512195121951216	0.391304347826087	0.3932038834951456	26.0	1.8559246588587577	4.616934141671354	11.086594596252699	0.34833916829883277	0.1693886620111002	1.0	4.616934141671354	11.086594596252699	0.2279371599895494	12.009523746185366	0.28672410692888306	0.14339748099086566	0.19118089316004613	1.0
deepgoplus_predictions.tsv	molecular_function	0.16	10.0	3.7142857142857144	2.7142857142857144	3.642857142857143	0.6725438596491229	0.40714285714285714	0.7142857142857143	2.7142857142857144	3.642857142857143	0.5072238535730451	4.542879604616528	0.5777777777777777	0.5048543689320388	0.5388601036269429	10.0	5.318825685043742	3.289902383241099	7.847630728039887	0.6880682174573203	0.3839544443195429	0.7142857142857143	3.289902383241099	7.847630728039887	0.4928754950942505	8.509334035923805	0.6178410611712397	0.4039678952461633	0.48852175646040524	1.0
funbind_predictions.tsv	biological_process	0.63	27.0	5.962962962962963	5.0	9.925925925925926	0.5849935183750113	0.42828401446048503	1.0	5.0	9.925925925925926	0.4945207297390825	11.114135390887068	0.543918918918919	0.3752913752913753	0.4441379310344828	27.0	5.012288815833058	5.41340206205997	12.470735340084369	0.5609180529679987	0.38108661938677785	1.0	5.41340206205997	12.470735340084369	0.4538371641496122	13.595005031552741	0.48076322946245	0.28669461136313557	0.35919165821578247	1.0
funbind_predictions.tsv	cellular_component	0.74	26.0	3.5	3.576923076923077	4.461538461538462	0.7062856846257655	0.46901313935726885	1.0	3.576923076923077	4.461538461538462	0.5636987963738658	5.718365513152499	0.4945652173913044	0.4396135265700483	0.46547314578005117	26.0	3.0096866279350825	3.187729188258896	9.932832627176374	0.6599371570364939	0.2919051853653982	1.0	3.187729188258896	9.932832627176374	0.4047709784965934	10.431815823583985	0.48563574192822556	0.2325425652155357	0.3144928775069044	1.0
funbind_predictions.tsv	molecular_function	0.12	14.0	5.5	9.142857142857142	1.8571428571428572	0.37922011491620994	0.6267857142857142	1.0	9.142857142857142	1.8571428571428572	0.47254149767269094	9.32956678128897	0.375609756097561	0.7475728155339806	0.5	14.0	7.784808761347425	17.176716217677825	5.381647651736204	0.3472863120277241	0.5675215075203123	1.0	17.176716217677825	5.381647651736204	0.43089367434685394	18.000047540772613	0.3118723222194505	0.5912607399521399	0.4083514771625754	1.0
goa_nonexp_predictions.tsv	biological_process	0.01	26.0	9.444444444444445	18.555555555555557	6.444444444444445	0.35189879333998964	0.6050370556579707	0.9629629629629629	18.555555555555557	6.444444444444445	0.44498658929951707	19.642797819374906	0.3373015873015873	0.5944055944055944	0.43037974683544306	26.0	9.544259707849964	23.12789029676778	7.938764448067463	0.33889439349805744	0.5823306781244163	0.9629629629629629	23.12789029676778	7.938764448067463	0.42844817853407663	24.45247002945153	0.29212218071051393	0.5459158337100133	0.38058923600986744	0.9629629629629629
goa_nonexp_predictions.tsv	cellular_component	0.01	25.0	3.423076923076923	5.5	4.538461538461538	0.47910326540990156	0.39164040525376553	0.9615384615384616	5.5	4.538461538461538	0.43097918100403276	7.130752634616817	0.3836206896551724	0.429951690821256	0.4054669703872437	25.0	3.313174662074508	7.936424814272323	9.629344593036947	0.38187303207283935	0.25397702421199997	0.9615384615384616	7.936424814272323	9.629344593036947	0.30506241323418704	12.478426027510336	0.29451489975627304	0.25599148023411433	0.27390529112823947	0.9615384615384616
goa_nonexp_predictions.tsv	molecular_function	0.01	11.0	4.642857142857143	4.642857142857143	2.7142857142857144	0.49582841401023214	0.4912698412698413	0.7857142857142857	4.642857142857143	2.7142857142857144	0.49353860154229606	5.378054424023162	0.5	0.6310679611650486	0.5579399141630901	11.0	7.230356281239297	7.690668072207878	5.9361001318443325	0.5277742510213217	0.49631327715718493	0.7857142857142857	7.690668072207878	5.9361001318443325	0.5115605080934302	9.71512532971963	0.4845750606639069	0.549149752552587	0.5148454816107986	0.7857142857142857
naive_predictions.tsv	biological_process	0.01	27.0	2.5925925925925926	45.407407407407405	13.296296296296296	0.05401234567901234	0.16297634927317692	1.0	45.407407407407405	13.296296296296296	0.08113542427992257	47.31410088611195	0.05401234567901234	0.16317016317016317	0.08115942028985508	27.0	1.070047902389791	22.158230329669557	16.41297625352764	0.046066604321663665	0.08683146810898743	1.0	22.158230329669557	16.41297625352764	0.06019697367895501	27.57486103032162	0.04606660432166366	0.06120496619159649	0.05256760848337817	1.0
naive_predictions.tsv	cellular_component	0.09999999999999999	26.0	1.8846153846153846	4.115384615384615	6.076923076923077	0.3141025641025641	0.25034967843672296	1.0	4.115384615384615	6.076923076923077	0.2786257897230478	7.339304096124143	0.3141025641025641	0.23671497584541062	0.2699724517906336	26.0	0.5451454063706204	2.705338769885697	12.397373848740834	0.16771206282212428	0.11374838863673625	1.0	2.705338769885697	12.397373848740834	0.13555706886761737	12.689118811221281	0.16771206282212425	0.042120501860974505	0.06733098139343427	1.0
naive_predictions.tsv	molecular_function	0.06999999999999999	14.0	0.5	1.5	6.857142857142857	0.25	0.05714285714285715	1.0	1.5	6.857142857142857	0.09302325581395349	7.019288294639657	0.25	0.06796116504854369	0.1068702290076336	14.0	0.16519767727312534	0.4653827021753081	13.001258735810506	0.2619771922139779	0.012448239867445855	1.0	0.4653827021753081	13.001258735810506	0.023767147991677097	13.009585303727901	0.26197719221397786	0.012546859389514012	0.023946834346711614	1.0
prott5_predictions.tsv	biological_process	0.67	22.0	8.333333333333334	36.666666666666664	7.555555555555555	0.3033185539755403	0.5777417994738256	0.8148148148148148	36.666666666666664	7.555555555555555	0.3977929695770797	37.43702531181572	0.1851851851851852	0.5244755244755245	0.2737226277372263	22.0	8.590456517477124	44.324940917409876	8.892567638440305	0.2733528903737876	0.5332255446912756	0.8148148148148148	44.324940917409876	8.892567638440305	0.3614248472952038	45.20816460039173	0.1623432296440328	0.4913598723462003	0.24405253195617743	1.0
prott5_predictions.tsv	cellular_component	0.9	13.0	2.423076923076923	5.3076923076923075	5.538461538461538	0.45497825760983657	0.2737798020692757	0.5	5.3076923076923075	5.538461538461538	0.34185243143408417	7.671124679351382	0.31343283582089554	0.3043478260869565	0.30882352941176466	13.0	2.5356648109262756	6.812581121916144	10.40685444418518	0.3790841124660185	0.1556727095523194	0.5	6.812581121916144	10.40685444418518	0.2207098572883568	12.43840347332185	0.27124498319175944	0.19591740687771064	0.22750809938965857	1.0
prott5_predictions.tsv	molecular_function	0.42000000000000004	11.0	3.857142857142857	5.5	3.5	0.41095072856436493	0.49384920634920626	0.7857142857142857	5.5	3.5	0.44860235576724666	6.519202405202649	0.41221374045801523	0.5242718446601942	0.46153846153846145	11.0	6.709619960093482	10.600128778419748	6.456836452990145	0.4578480476261236	0.4682203955013694	0.7857142857142857	10.600128778419748	6.456836452990145	0.46297613428021817	12.411827709879995	0.38762087546452656	0.50959952697873	0.4403185978515386	0.8571428571428571
transfew_predictions.tsv	biological_process	0.46	27.0	5.407407407407407	9.88888888888889	10.481481481481481	0.4803431851529047	0.4664023710612265	1.0	9.88888888888889	10.481481481481481	0.4732701389680366	14.41012066234802	0.3535108958837772	0.3403263403263403	0.346793349168646	27.0	5.28812468980949	11.204006052740343	12.194899466107938	0.44115175445377014	0.43496445977780146	1.0	11.204006052740343	12.194899466107938	0.43803625920635014	16.56035400039268	0.32064532911845556	0.3024719660997342	0.3112936323977175	1.0
transfew_predictions.tsv	cellular_component	0.49	26.0	4.038461538461538	6.576923076923077	3.923076923076923	0.5097046254399196	0.5104365944446916	1.0	6.576923076923077	3.923076923076923	0.5100703473420825	7.658097002790053	0.3804347826086957	0.5072463768115941	0.43478260869565216	26.0	3.7805094990919934	6.709955654058557	9.162009756019462	0.41650522295723225	0.32311279388855224	1.0	6.709955654058557	9.162009756019462	0.3639126229856193	11.356316640919633	0.36037577399097614	0.2920999710005405	0.3226656437119517	1.0
transfew_predictions.tsv	molecular_function	0.08	14.0	4.428571428571429	7.642857142857143	2.9285714285714284	0.35048701298701296	0.5107142857142858	1.0	7.642857142857143	2.9285714285714284	0.41569543557290967	8.18472943464641	0.3668639053254438	0.6019417475728155	0.4558823529411764	14.0	6.738749804061206	14.847451911450946	6.4277066090224215	0.38758861173164316	0.48597458401349264	1.0	14.847451911450946	6.4277066090224215	0.43124118614907025	16.179067974222708	0.31217858022787975	0.5118119555209136	0.3878120504696768	1.0
