filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w	cov_max
blast_predictions.tsv	biological_process	0.54	15.0	5.148148148148148	32.629629629629626	10.74074074074074	0.19468038359013617	0.27050942884276213	0.5555555555555556	32.629629629629626	10.74074074074074	0.22641458589316796	34.35194669049502	0.13627450980392158	0.324009324009324	0.19185645272601795	15.0	4.817622204545369	40.822694336856166	12.66540195137206	0.16732814163028034	0.24836217161888022	0.5555555555555556	40.822694336856166	12.66540195137206	0.19994683207033767	42.742306670443135	0.10555628377763719	0.2755600038975387	0.1526415475266501	1.0
blast_predictions.tsv	cellular_component	0.8	15.0	2.8076923076923075	6.461538461538462	5.153846153846154	0.4218323586744639	0.3044365721997301	0.5769230769230769	6.461538461538462	5.153846153846154	0.3536464024784954	8.265204744436499	0.3029045643153527	0.35265700483091783	0.3258928571428571	15.0	2.7008610508451456	8.72954100829396	10.241658204266312	0.3335053288744649	0.16692860456073635	0.5769230769230769	8.72954100829396	10.241658204266312	0.222493222153939	13.457208068113585	0.23628749337698837	0.2086812464875013	0.22162801217152278	1.0
blast_predictions.tsv	molecular_function	0.5800000000000001	5.0	2.142857142857143	2.2857142857142856	5.214285714285714	0.6197402597402597	0.18492063492063493	0.35714285714285715	2.2857142857142856	5.214285714285714	0.2848473514183752	5.693264907425479	0.48387096774193544	0.2912621359223301	0.36363636363636365	5.0	3.1455578229449794	4.457166271396683	10.020898590138648	0.5829320354539939	0.17788419337837427	0.35714285714285715	4.457166271396683	10.020898590138648	0.27258723195294704	10.967439980447532	0.4137408886488549	0.23890694080900993	0.3029063011725856	1.0
deepgoplus_predictions.tsv	biological_process	0.34	26.0	6.222222222222222	11.592592592592593	9.666666666666666	0.5859272353464146	0.3865932090298422	0.9629629629629629	11.592592592592593	9.666666666666666	0.46583183208211876	15.09412625700067	0.34927234927234924	0.3916083916083916	0.36923076923076925	26.0	5.053426209072845	13.461504030399796	12.42959794684458	0.552608156281392	0.3488607985022146	0.9629629629629629	13.461504030399796	12.42959794684458	0.42770928856987595	18.32230869406672	0.27293790166701604	0.2890476020627374	0.28076185405246207	1.0
deepgoplus_predictions.tsv	cellular_component	0.37	23.0	2.6153846153846154	2.423076923076923	5.346153846153846	0.6024640818119079	0.292561593826776	0.8846153846153846	2.423076923076923	5.346153846153846	0.3938609959373526	5.869639062318354	0.5190839694656488	0.3285024154589372	0.40236686390532544	23.0	1.150860017881521	2.3313011300299946	11.791659237229936	0.4368025664517244	0.12280867941507131	0.8846153846153846	2.3313011300299946	11.791659237229936	0.19171575534712856	12.019908174600554	0.3305016537134614	0.0889208658064778	0.14013788879200406	1.0
deepgoplus_predictions.tsv	molecular_function	0.16	10.0	3.7142857142857144	2.7142857142857144	3.642857142857143	0.6725438596491229	0.40714285714285714	0.7142857142857143	2.7142857142857144	3.642857142857143	0.5072238535730451	4.542879604616528	0.5777777777777777	0.5048543689320388	0.5388601036269429	10.0	5.318825685043742	3.289902383241099	7.847630728039887	0.6880682174573203	0.3839544443195429	0.7142857142857143	3.289902383241099	7.847630728039887	0.4928754950942505	8.509334035923805	0.6178410611712397	0.4039678952461633	0.48852175646040524	1.0
funbind_predictions.tsv	biological_process	0.5700000000000001	27.0	6.407407407407407	6.407407407407407	9.481481481481481	0.5265724058386317	0.460924649061904	1.0	6.407407407407407	9.481481481481481	0.49156643083112883	11.44348551657997	0.5	0.40326340326340326	0.4464516129032258	27.0	5.770935559168625	7.2164954119730504	11.712088596748803	0.5145637430614909	0.43024382706478836	1.0	7.2164954119730504	11.712088596748803	0.46864119442643426	13.756846489262044	0.44434773682276013	0.33008794746847925	0.37878893079242393	1.0
funbind_predictions.tsv	cellular_component	0.75	26.0	3.3076923076923075	2.923076923076923	4.653846153846154	0.7212213225371121	0.4529874983316278	1.0	2.923076923076923	4.653846153846154	0.5564670215946801	5.495694926203009	0.5308641975308642	0.4154589371980676	0.46612466124661245	26.0	2.890137594410793	2.5425395253171654	10.052381660700663	0.6702505615050929	0.2690970274274632	1.0	2.5425395253171654	10.052381660700663	0.3840163872407797	10.36893843603052	0.5319914161501865	0.2233056437810109	0.31456943756728156	1.0
funbind_predictions.tsv	molecular_function	0.93	12.0	3.0	1.2857142857142858	4.357142857142857	0.5433723196881092	0.2992063492063492	0.8571428571428571	1.2857142857142858	4.357142857142857	0.3859116164119965	4.542879604616527	0.7000000000000001	0.4077669902912622	0.5153374233128836	12.0	4.381987148505447	1.3423237569352533	8.784469264578181	0.5443367031399583	0.3137679159550128	0.8571428571428571	1.3423237569352533	8.784469264578181	0.3980759201650314	8.886435355571518	0.765504742997199	0.33281446510930807	0.4639289738335256	1.0
goa_nonexp_predictions.tsv	biological_process	0.01	26.0	9.444444444444445	18.555555555555557	6.444444444444445	0.35189879333998964	0.6050370556579707	0.9629629629629629	18.555555555555557	6.444444444444445	0.44498658929951707	19.642797819374906	0.3373015873015873	0.5944055944055944	0.43037974683544306	26.0	9.544259707849964	23.12789029676778	7.938764448067463	0.33889439349805744	0.5823306781244163	0.9629629629629629	23.12789029676778	7.938764448067463	0.42844817853407663	24.45247002945153	0.29212218071051393	0.5459158337100133	0.38058923600986744	0.9629629629629629
goa_nonexp_predictions.tsv	cellular_component	0.01	25.0	3.423076923076923	5.5	4.538461538461538	0.47910326540990156	0.39164040525376553	0.9615384615384616	5.5	4.538461538461538	0.43097918100403276	7.130752634616817	0.3836206896551724	0.429951690821256	0.4054669703872437	25.0	3.313174662074508	7.936424814272323	9.629344593036947	0.38187303207283935	0.25397702421199997	0.9615384615384616	7.936424814272323	9.629344593036947	0.30506241323418704	12.478426027510336	0.29451489975627304	0.25599148023411433	0.27390529112823947	0.9615384615384616
goa_nonexp_predictions.tsv	molecular_function	0.01	11.0	4.642857142857143	4.642857142857143	2.7142857142857144	0.49582841401023214	0.4912698412698413	0.7857142857142857	4.642857142857143	2.7142857142857144	0.49353860154229606	5.378054424023162	0.5	0.6310679611650486	0.5579399141630901	11.0	7.230356281239297	7.690668072207878	5.9361001318443325	0.5277742510213217	0.49631327715718493	0.7857142857142857	7.690668072207878	5.9361001318443325	0.5115605080934302	9.71512532971963	0.4845750606639069	0.549149752552587	0.5148454816107986	0.7857142857142857
naive_predictions.tsv	biological_process	0.02	27.0	1.6296296296296295	21.37037037037037	14.25925925925926	0.07085346215780998	0.07473705068157484	1.0	21.37037037037037	14.25925925925926	0.07274345956999466	25.690838919536567	0.07085346215780998	0.10256410256410256	0.0838095238095238	27.0	0.5980648951828427	4.837354224496555	16.884959260734586	0.11003105409433801	0.05193361473724727	1.0	4.837354224496555	16.884959260734586	0.07056243085225508	17.564220595572163	0.11003105409433797	0.03420832058854173	0.05219070841688904	1.0
naive_predictions.tsv	cellular_component	0.09999999999999999	26.0	1.8846153846153846	4.115384615384615	6.076923076923077	0.3141025641025641	0.25034967843672296	1.0	4.115384615384615	6.076923076923077	0.2786257897230478	7.339304096124143	0.3141025641025641	0.23671497584541062	0.2699724517906336	26.0	0.5451454063706204	2.705338769885697	12.397373848740834	0.16771206282212428	0.11374838863673625	1.0	2.705338769885697	12.397373848740834	0.13555706886761737	12.689118811221281	0.16771206282212425	0.042120501860974505	0.06733098139343427	1.0
