filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w	cov_max
blast_predictions.tsv	biological_process	0.43	38.0	8.071428571428571	53.23809523809524	7.595238095238095	0.34467436354022873	0.654596237096237	0.9047619047619048	53.23809523809524	7.595238095238095	0.4515744609183305	53.777155245548784	0.1316504854368932	0.5151975683890577	0.20971234147850293	38.0	8.533931057523928	68.6798836247111	8.990337112767254	0.3087369559255743	0.617388400131344	0.9047619047619048	68.6798836247111	8.990337112767254	0.4116302702084683	69.26581101889343	0.11052337062537816	0.48697788544411036	0.18015840727552507	1.0
blast_predictions.tsv	cellular_component	0.5700000000000001	9.0	1.9411764705882353	6.0	4.882352941176471	0.37134570188218796	0.30392156862745096	0.5294117647058824	6.0	4.882352941176471	0.3342675504883228	7.735461863535656	0.24444444444444444	0.2844827586206896	0.2629482071713147	9.0	2.7566597251416294	9.990948289404246	6.596107566140735	0.2884928847549839	0.23827404855536904	0.5294117647058824	9.990948289404246	6.596107566140735	0.26098968360828395	11.971954006996882	0.2162491756881837	0.2947426830250645	0.2494672318451218	0.9411764705882353
blast_predictions.tsv	molecular_function	0.43	20.0	3.5	5.454545454545454	2.8636363636363638	0.5239644126035257	0.6425324675324675	0.9090909090909091	5.454545454545454	2.8636363636363638	0.5772225415469505	6.160558362587191	0.3908629441624366	0.55	0.456973293768546	20.0	7.830131743803069	14.248229642578162	6.91287549934342	0.4498899577210265	0.5619777066016435	0.9090909090909091	14.248229642578162	6.91287549934342	0.4997256767413601	15.836663020253527	0.3546518515016694	0.5311081799436153	0.42530367746971487	1.0
deepgoplus_predictions.tsv	biological_process	0.41000000000000003	38.0	4.785714285714286	7.309523809523809	10.880952380952381	0.5489210540363859	0.3607830539623257	0.9047619047619048	7.309523809523809	10.880952380952381	0.4353974276210405	13.108175427516553	0.3956692913385827	0.30547112462006076	0.34476843910806176	38.0	4.474709198098764	7.499113542625979	13.049558972192418	0.5224982233220147	0.2718216603920703	0.9047619047619048	7.499113542625979	13.049558972192418	0.3576048831894005	15.05083696323643	0.3737076533528107	0.25534357010609543	0.3033897489567845	1.0
deepgoplus_predictions.tsv	cellular_component	0.44	14.0	3.176470588235294	1.8235294117647058	3.6470588235294117	0.7215612760255617	0.4933473389355742	0.8235294117647058	1.8235294117647058	3.6470588235294117	0.5860199376684078	4.077535723676086	0.6352941176470588	0.46551724137931033	0.5373134328358209	14.0	2.0070770213851805	1.6491424488318362	7.345690269897183	0.7010618837036164	0.38109916584860104	0.8235294117647058	1.6491424488318362	7.345690269897183	0.49377881267903684	7.528534808168268	0.5489487263372758	0.21459713033338917	0.30856777060073665	0.9411764705882353
deepgoplus_predictions.tsv	molecular_function	0.13	22.0	3.727272727272727	3.590909090909091	2.6363636363636362	0.6542616771226397	0.6311417748917749	1.0	3.590909090909091	2.6363636363636362	0.6424938030090518	4.454777359455133	0.5093167701863354	0.5857142857142857	0.5448504983388704	22.0	7.596843320000392	7.920999210649194	7.146163923146096	0.6587380673316804	0.5319451336005298	1.0	7.920999210649194	7.146163923146096	0.5885906661993054	10.668171694886615	0.48955538149041805	0.5152845138519416	0.5020905478060146	1.0
funbind_predictions.tsv	biological_process	0.5	42.0	5.785714285714286	8.619047619047619	9.880952380952381	0.4898901791172878	0.48470341101993764	1.0	8.619047619047619	9.880952380952381	0.4872829931292362	13.111872551777605	0.40165289256198344	0.3693009118541033	0.38479809976247026	42.0	6.132097087227878	9.276356752487505	11.392171083063303	0.4458349874329989	0.4382197068763895	1.0	9.276356752487505	11.392171083063303	0.44199454799739707	14.69123400484807	0.39796965685306857	0.34992029496693033	0.3724014726365254	1.0
funbind_predictions.tsv	cellular_component	0.67	16.0	4.294117647058823	5.0588235294117645	2.5294117647058822	0.6043402675755617	0.6936274509803921	0.9411764705882353	5.0588235294117645	2.5294117647058822	0.6459128271535274	5.655936648970056	0.459119496855346	0.6293103448275862	0.530909090909091	16.0	3.433501789183356	6.782529122862466	5.919265502099009	0.49635660045548463	0.5604227272402904	0.9411764705882353	6.782529122862466	5.919265502099009	0.5264476933278186	9.002244463844388	0.3360896045385768	0.3671107900207989	0.35091595850780444	0.9411764705882353
funbind_predictions.tsv	molecular_function	0.47000000000000003	22.0	3.3181818181818183	2.3181818181818183	3.0454545454545454	0.5930916305916306	0.5584415584415585	1.0	2.3181818181818183	3.0454545454545454	0.5752452775839001	3.827369897276524	0.5887096774193549	0.5214285714285715	0.5530303030303031	22.0	6.459087678549353	4.838115673336509	8.283919564597136	0.6036608177544314	0.45870245878145427	1.0	4.838115673336509	8.283919564597136	0.5212919299637097	9.593262563971633	0.5717421805522449	0.4381119517900229	0.49608567142552545	1.0
goa_nonexp_predictions.tsv	biological_process	0.01	34.0	7.404761904761905	16.071428571428573	8.261904761904763	0.5106927169687973	0.6319359678603376	0.8095238095238095	16.071428571428573	8.261904761904763	0.5648818389766954	18.070691370872208	0.3154158215010142	0.472644376899696	0.37834549878345497	34.0	8.768836123749548	18.74208062601793	8.755432046541634	0.49093334990389564	0.609903741694295	0.8095238095238095	18.74208062601793	8.755432046541634	0.5439898224980787	20.68630408056898	0.3187402369578855	0.5003824432803031	0.38942156624048463	0.8095238095238095
goa_nonexp_predictions.tsv	cellular_component	0.01	15.0	3.176470588235294	2.0588235294117645	3.6470588235294117	0.6451058201058201	0.5185574229691876	0.8823529411764706	2.0588235294117645	3.6470588235294117	0.5749505513854845	4.188053532077073	0.6067415730337079	0.46551724137931033	0.5268292682926828	15.0	3.4467374524606416	4.007358075567322	5.906029838821723	0.48102812854108923	0.449933368944887	0.8823529411764706	4.007358075567322	5.906029838821723	0.4649614554763189	7.137233862139252	0.46239512755110906	0.3685259501402666	0.41015833704556637	0.8823529411764706
goa_nonexp_predictions.tsv	molecular_function	0.01	21.0	5.0	3.3181818181818183	1.3636363636363635	0.6519735694547725	0.791801948051948	0.9545454545454546	3.3181818181818183	1.3636363636363635	0.7151166315164612	3.5874551858864807	0.6010928961748634	0.7857142857142858	0.6811145510835914	21.0	12.213600731251962	7.656255357132202	2.5294065118945297	0.6775510045828241	0.7937337488412506	0.9545454545454546	7.656255357132202	2.5294065118945297	0.731055083180991	8.063258857064554	0.6146798787532227	0.8284334756010947	0.7057261119524867	0.9545454545454546
naive_predictions.tsv	biological_process	0.01	42.0	2.4523809523809526	45.54761904761905	13.214285714285714	0.051091269841269854	0.16840585264217875	1.0	45.54761904761905	13.214285714285714	0.07839801053282126	47.425762490926864	0.05109126984126985	0.15653495440729484	0.07703814510097233	42.0	1.1938605075809274	22.03441772447842	16.33040766271025	0.05139685755671627	0.07259461129485253	1.0	22.03441772447842	16.33040766271025	0.060183735714483606	27.42622429148997	0.05139685755671627	0.06812612635116337	0.05859071949977918	1.0
naive_predictions.tsv	cellular_component	0.09999999999999999	16.0	1.7647058823529411	3.8823529411764706	5.0588235294117645	0.3125	0.3224789915966387	0.9411764705882353	3.8823529411764706	5.0588235294117645	0.3174110835401158	6.376861286055366	0.3125	0.25862068965517243	0.28301886792452835	16.0	0.24804045255558926	2.8112387721562393	9.104726838726775	0.08107806915825201	0.09733736893098394	0.9411764705882353	2.8112387721562393	9.104726838726775	0.08846685033972672	9.528856922102785	0.08107806915825201	0.02652054144304282	0.03996769625959164	0.9411764705882353
naive_predictions.tsv	molecular_function	0.06999999999999999	22.0	0.36363636363636365	1.6363636363636365	6.0	0.18181818181818182	0.056682900432900425	1.0	1.6363636363636365	6.0	0.08642293611096788	6.219138682358934	0.18181818181818182	0.05714285714285715	0.08695652173913045	22.0	0.13387573330957664	0.4967046461388568	14.609131509836919	0.21230558018103468	0.008858824019543967	1.0	0.4967046461388568	14.609131509836919	0.017007960932856545	14.617572950979444	0.21230558018103463	0.009080625892781186	0.017416329434102457	1.0
prott5_predictions.tsv	biological_process	0.8300000000000001	24.0	5.761904761904762	17.666666666666668	9.904761904761905	0.3626071879849109	0.45734479805908373	0.5714285714285714	17.666666666666668	9.904761904761905	0.4045029806289982	20.253775438202474	0.24593495934959347	0.36778115501519754	0.29476248477466505	24.0	6.020529809888417	22.365918628381436	11.503738360402764	0.311589384426364	0.4436953558547082	0.5714285714285714	22.365918628381436	11.503738360402764	0.36608911958728657	25.15095052589428	0.2120916895602797	0.34355385065922445	0.26227121921097435	1.0
prott5_predictions.tsv	cellular_component	0.68	15.0	4.705882352941177	17.41176470588235	2.1176470588235294	0.307023466838948	0.7181372549019607	0.8823529411764706	17.41176470588235	2.1176470588235294	0.43014716617660065	17.54006782309448	0.2127659574468085	0.689655172413793	0.3252032520325203	15.0	4.392012271813895	26.315655305703128	4.96075501946847	0.25727598116479244	0.6261697574117311	0.8823529411764706	26.315655305703128	4.96075501946847	0.36470477286674674	26.779148689451702	0.14302656692263915	0.4695949482147014	0.2192693257673328	0.9411764705882353
prott5_predictions.tsv	molecular_function	0.6900000000000001	21.0	4.136363636363637	6.2727272727272725	2.227272727272727	0.5157951396046633	0.6589285714285714	0.9545454545454546	6.2727272727272725	2.227272727272727	0.5786418564592773	6.65641429297106	0.39737991266375544	0.6500000000000001	0.49322493224932257	21.0	8.18584383604693	17.57086430232313	6.5571634070995595	0.42900027707703325	0.5887929631012182	0.9545454545454546	17.57086430232313	6.5571634070995595	0.49635296117154837	18.754510504890785	0.31781405419011544	0.5552356924909091	0.4042420426382959	1.0
transfew_predictions.tsv	biological_process	0.75	41.0	5.190476190476191	6.714285714285714	10.476190476190476	0.4919670354145206	0.4103686258238079	0.9761904761904762	6.714285714285714	10.476190476190476	0.4474783496788919	12.443158744727372	0.436	0.33130699088145893	0.3765112262521589	41.0	5.722419787074196	8.143648598830245	11.801848383216985	0.46519382314509145	0.3693731341926436	0.9761904761904762	8.143648598830245	11.801848383216985	0.41178265914168966	14.338850642979414	0.41269230958728903	0.32654258263265973	0.36459754273929523	1.0
