filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w	cov_max
blast_predictions.tsv	biological_process	0.56	76.0	7.270833333333333	34.541666666666664	11.36111111111111	0.2703893763478738	0.3313633040948709	0.5277777777777778	34.541666666666664	11.36111111111111	0.2977871808493189	36.362089898548504	0.17389138016940706	0.3902348117778606	0.24057904411764705	76.0	6.680111854624159	42.15776704408142	13.26999407326323	0.2405457712490498	0.3146879808124176	0.5277777777777778	42.15776704408142	13.26999407326323	0.2726666481145373	44.19694632944089	0.13678136735789342	0.3348409215856002	0.19422321707676116	0.9652777777777778
blast_predictions.tsv	cellular_component	0.63	49.0	3.7375	7.6625	4.7625	0.46951639743762624	0.4389979892818852	0.6125	7.6625	4.7625	0.4537446130143176	9.021935075137705	0.3278508771929825	0.43970588235294117	0.37562814070351763	49.0	3.002907464048204	10.65500286775393	6.011200353258784	0.39022881128125086	0.35933922149507735	0.6125	10.65500286775393	6.011200353258784	0.3741475386333538	12.233708178588495	0.2198658060491144	0.3331341853136763	0.2648998818101423	1.0
blast_predictions.tsv	molecular_function	0.59	61.0	2.3142857142857145	3.6285714285714286	3.4857142857142858	0.411228308462304	0.36247672961958677	0.580952380952381	3.6285714285714286	3.4857142857142858	0.3853165871788821	5.031573779035496	0.3894230769230769	0.39901477832512317	0.39416058394160586	61.0	4.692718860951871	7.249998451907507	7.87199837694274	0.4193416915313894	0.32456005643943836	0.580952380952381	7.249998451907507	7.87199837694274	0.3659127389929847	10.701908054139242	0.39293560569326746	0.37348384146671015	0.38296288020138736	0.9333333333333333
deepgoplus_predictions.tsv	biological_process	0.2	136.0	9.770833333333334	16.833333333333332	8.86111111111111	0.47606554755539643	0.45986425515572577	0.9444444444444444	16.833333333333332	8.86111111111111	0.4678246761620373	19.023154345023013	0.36726703210649964	0.5244129705553485	0.43199263125575693	136.0	9.052217183335067	19.56496959895239	10.897888744552324	0.45253878354433136	0.412011618894297	0.9444444444444444	19.56496959895239	10.897888744552324	0.43132531381544614	22.39535698524521	0.3163210015087128	0.45374281299836927	0.3727700960131396	0.9652777777777778
deepgoplus_predictions.tsv	cellular_component	0.29000000000000004	80.0	4.4875	3.8125	4.0125	0.5799755799755799	0.5719016526078168	1.0	3.8125	4.0125	0.5759103197418162	5.53491756939523	0.5406626506024096	0.5279411764705882	0.5342261904761905	80.0	2.19929150838649	3.6993160233130924	6.8148163089204985	0.4335401533070887	0.40408724344454444	1.0	3.6993160233130924	6.8148163089204985	0.4182958822783875	7.7541382735072375	0.3728492693516773	0.24398327077515913	0.2949552052615285	1.0
deepgoplus_predictions.tsv	molecular_function	0.16	78.0	2.9047619047619047	3.342857142857143	2.895238095238095	0.5042001572662546	0.4287661016232444	0.7428571428571429	3.342857142857143	2.895238095238095	0.4634335568066533	4.4223407269984225	0.46493902439024387	0.5008210180623973	0.48221343873517786	78.0	5.30227471634516	5.35343015760165	7.262442521549449	0.5304077080186662	0.3852499725273142	0.7428571428571429	5.35343015760165	7.262442521549449	0.4463230294112206	9.022321532240378	0.4975996218991779	0.4219971381730536	0.4566906398864496	0.9047619047619048
funbind_predictions.tsv	biological_process	0.52	138.0	7.423611111111111	7.236111111111111	11.208333333333334	0.5364201402527596	0.4162655036542128	0.9583333333333334	7.236111111111111	11.208333333333334	0.46876574929134235	13.341215841273868	0.5063950734249171	0.39843458814759597	0.4459741343345849	138.0	6.739773204736162	8.398209325047215	13.210332723151229	0.49758180140005853	0.3765192264644093	0.9583333333333334	8.398209325047215	13.210332723151229	0.42866695952442335	15.653843314779605	0.4452226835032955	0.33783144957215105	0.38416303087395737	0.9652777777777778
funbind_predictions.tsv	cellular_component	0.54	80.0	5.0625	4.4125	3.4375	0.6575158211671369	0.6272705318772254	1.0	4.4125	3.4375	0.642037172770249	5.593439237177784	0.5343007915567283	0.5955882352941176	0.5632823365785814	80.0	3.34009461132478	4.839522645647659	5.674013205982208	0.5707131386862068	0.4883377570338139	1.0	4.839522645647659	5.674013205982208	0.5263217758128025	7.457573687158378	0.40834363105163984	0.3705407877318524	0.3885248364615671	1.0
funbind_predictions.tsv	molecular_function	0.49	98.0	3.0	3.1619047619047618	2.8	0.509170381439289	0.47398413755556607	0.9333333333333333	3.1619047619047618	2.8	0.49094761698715833	4.223463238073229	0.48686244204018553	0.5172413793103449	0.5015923566878981	98.0	5.0318752717775865	4.839565651465491	7.532841966117022	0.5349059228201943	0.38245287004332745	0.9333333333333333	4.839565651465491	7.532841966117022	0.44601154308921165	8.953496734870594	0.5097407066408759	0.4004766025773889	0.44855052595354244	0.9333333333333333
goa_nonexp_predictions.tsv	biological_process	0.01	125.0	11.277777777777779	17.42361111111111	7.354166666666667	0.45223567128993664	0.564186894286634	0.8680555555555556	17.42361111111111	7.354166666666667	0.5020459944746858	18.912059420178057	0.3929349141059763	0.6052925829295565	0.4765258215962442	125.0	11.211128218333481	21.387236218873575	8.73897770955391	0.4180231789482469	0.5441492905673325	0.8680555555555556	21.387236218873575	8.73897770955391	0.47281963155713946	23.10375736736295	0.3439168931290721	0.5619583303897113	0.42669665322096695	0.8680555555555556
