EntryID	term	aspect
A0A1D8PCL1	GO:0003674	F
A0A1D8PCL1	GO:0005215	F
A0A1D8PCL1	GO:0015144	F
A0A1D8PCL1	GO:0015145	F
A0A1D8PCL1	GO:0015149	F
A0A1D8PCL1	GO:0022857	F
A0A1D8PCL1	GO:0051119	F
A0A1D8PCL1	GO:0055056	F
A1Z746	GO:0005575	C
A1Z746	GO:0005622	C
A1Z746	GO:0005737	C
A1Z746	GO:0005739	C
A1Z746	GO:0043226	C
A1Z746	GO:0043227	C
A1Z746	GO:0043229	C
A1Z746	GO:0043231	C
A1Z746	GO:0110165	C
A2APC3	GO:0008150	P
A2APC3	GO:0008152	P
A2APC3	GO:0009987	P
A2APC3	GO:0018095	P
A2APC3	GO:0018193	P
A2APC3	GO:0018200	P
A2APC3	GO:0019538	P
A2APC3	GO:0036211	P
A2APC3	GO:0043170	P
A2APC3	GO:0043412	P
A2APC3	GO:0044238	P
A6H8Y1	GO:0006355	P
A6H8Y1	GO:0006359	P
A6H8Y1	GO:0008150	P
A6H8Y1	GO:0009889	P
A6H8Y1	GO:0009891	P
A6H8Y1	GO:0009893	P
A6H8Y1	GO:0010468	P
A6H8Y1	GO:0010556	P
A6H8Y1	GO:0010557	P
A6H8Y1	GO:0010604	P
A6H8Y1	GO:0019219	P
A6H8Y1	GO:0019222	P
A6H8Y1	GO:0045893	P
A6H8Y1	GO:0045945	P
A6H8Y1	GO:0048518	P
A6H8Y1	GO:0048522	P
A6H8Y1	GO:0050789	P
A6H8Y1	GO:0050794	P
A6H8Y1	GO:0051252	P
A6H8Y1	GO:0051254	P
A6H8Y1	GO:0060255	P
A6H8Y1	GO:0065007	P
A6H8Y1	GO:0080090	P
A6H8Y1	GO:1902680	P
A6H8Y1	GO:2001141	P
A6NFH5	GO:0003674	F
A6NFH5	GO:0005215	F
A6NFH5	GO:0005319	F
A6NFH5	GO:0006629	P
A6NFH5	GO:0006638	P
A6NFH5	GO:0006639	P
A6NFH5	GO:0006641	P
A6NFH5	GO:0008150	P
A6NFH5	GO:0008152	P
A6NFH5	GO:0009056	P
A6NFH5	GO:0009987	P
A6NFH5	GO:0016042	P
A6NFH5	GO:0019433	P
A6NFH5	GO:0044238	P
A6NFH5	GO:0046461	P
A6NFH5	GO:0046464	P
A6NFH5	GO:0046486	P
A6NFH5	GO:0046503	P
A6NK89	GO:0005575	C
A6NK89	GO:0005622	C
A6NK89	GO:0005737	C
A6NK89	GO:0005829	C
A6NK89	GO:0110165	C
A6NNM8	GO:0008150	P
A6NNM8	GO:0008152	P
A6NNM8	GO:0009987	P
A6NNM8	GO:0018095	P
A6NNM8	GO:0018193	P
A6NNM8	GO:0018200	P
A6NNM8	GO:0019538	P
A6NNM8	GO:0036211	P
A6NNM8	GO:0043170	P
A6NNM8	GO:0043412	P
A6NNM8	GO:0044238	P
A6PVC2	GO:0008150	P
A6PVC2	GO:0008152	P
A6PVC2	GO:0009987	P
A6PVC2	GO:0018094	P
A6PVC2	GO:0018193	P
A6PVC2	GO:0018200	P
A6PVC2	GO:0019538	P
A6PVC2	GO:0036211	P
A6PVC2	GO:0043170	P
A6PVC2	GO:0043412	P
A6PVC2	GO:0044238	P
B1AL88	GO:0006810	P
B1AL88	GO:0006811	P
B1AL88	GO:0006812	P
B1AL88	GO:0006814	P
B1AL88	GO:0008150	P
B1AL88	GO:0009987	P
B1AL88	GO:0010646	P
B1AL88	GO:0030001	P
B1AL88	GO:0031644	P
B1AL88	GO:0034220	P
B1AL88	GO:0035725	P
B1AL88	GO:0042391	P
B1AL88	GO:0044057	P
B1AL88	GO:0050789	P
B1AL88	GO:0050794	P
B1AL88	GO:0051179	P
B1AL88	GO:0051234	P
B1AL88	GO:0051239	P
B1AL88	GO:0051969	P
B1AL88	GO:0055085	P
B1AL88	GO:0065007	P
B1AL88	GO:0065008	P
B1AL88	GO:0098655	P
B1AL88	GO:0098900	P
B1AL88	GO:0098908	P
B4UN38	GO:0006325	P
B4UN38	GO:0008150	P
B4UN38	GO:0009987	P
B4UN38	GO:0016043	P
B4UN38	GO:0071840	P
B9DFK5	GO:0000064	F
B9DFK5	GO:0003674	F
B9DFK5	GO:0005215	F
B9DFK5	GO:0015171	F
B9DFK5	GO:0015179	F
B9DFK5	GO:0022857	F
B9DFK5	GO:0046943	F
F1LM93	GO:0006468	P
F1LM93	GO:0006793	P
F1LM93	GO:0006796	P
F1LM93	GO:0008150	P
F1LM93	GO:0008152	P
F1LM93	GO:0009987	P
F1LM93	GO:0016310	P
F1LM93	GO:0019538	P
F1LM93	GO:0036211	P
F1LM93	GO:0043170	P
F1LM93	GO:0043412	P
F1LM93	GO:0044238	P
F1LM93	GO:0046777	P
F4J6F6	GO:0006468	P
F4J6F6	GO:0006793	P
F4J6F6	GO:0006796	P
F4J6F6	GO:0008150	P
F4J6F6	GO:0008152	P
F4J6F6	GO:0009987	P
F4J6F6	GO:0016310	P
F4J6F6	GO:0019538	P
F4J6F6	GO:0036211	P
F4J6F6	GO:0043170	P
F4J6F6	GO:0043412	P
F4J6F6	GO:0044238	P
F4J6F6	GO:0046777	P
F4J9M5	GO:0005575	C
F4J9M5	GO:0005622	C
F4J9M5	GO:0005634	C
F4J9M5	GO:0043226	C
F4J9M5	GO:0043227	C
F4J9M5	GO:0043229	C
F4J9M5	GO:0043231	C
F4J9M5	GO:0110165	C
F4K128	GO:0005575	C
F4K128	GO:0005622	C
F4K128	GO:0005634	C
F4K128	GO:0043226	C
F4K128	GO:0043227	C
F4K128	GO:0043229	C
F4K128	GO:0043231	C
F4K128	GO:0110165	C
G4VQX9	GO:0003674	F
G4VQX9	GO:0005488	F
G4VQX9	GO:0005515	F
G4VQX9	GO:0042802	F
G8B839	GO:0006139	P
G8B839	GO:0006259	P
G8B839	GO:0006310	P
G8B839	GO:0008150	P
G8B839	GO:0008152	P
G8B839	GO:0009987	P
G8B839	GO:0032042	P
G8B839	GO:0043170	P
G8B839	GO:0044238	P
G8B839	GO:0090304	P
G8B839	GO:1905951	P
O00470	GO:0005575	C
O00470	GO:0005622	C
O00470	GO:0005634	C
O00470	GO:0005654	C
O00470	GO:0031974	C
O00470	GO:0031981	C
O00470	GO:0043226	C
O00470	GO:0043227	C
O00470	GO:0043229	C
O00470	GO:0043231	C
O00470	GO:0043233	C
O00470	GO:0070013	C
O00470	GO:0110165	C
O00533	GO:0003674	F
O00533	GO:0005488	F
O00533	GO:0005515	F
O00533	GO:0042802	F
O08875	GO:0006468	P
O08875	GO:0006793	P
O08875	GO:0006796	P
O08875	GO:0008150	P
O08875	GO:0008152	P
O08875	GO:0009987	P
O08875	GO:0016310	P
O08875	GO:0019538	P
O08875	GO:0036211	P
O08875	GO:0043170	P
O08875	GO:0043412	P
O08875	GO:0044238	P
O09167	GO:0002181	P
O09167	GO:0006412	P
O09167	GO:0008150	P
O09167	GO:0008152	P
O09167	GO:0009058	P
O09167	GO:0009059	P
O09167	GO:0009987	P
O09167	GO:0010467	P
O09167	GO:0019538	P
O09167	GO:0043170	P
O09167	GO:0044238	P
O09167	GO:0160307	P
O13689	GO:0003674	F
O13689	GO:0003824	F
O13689	GO:0006487	P
O13689	GO:0008150	P
O13689	GO:0008152	P
O13689	GO:0009058	P
O13689	GO:0009059	P
O13689	GO:0009100	P
O13689	GO:0009101	P
O13689	GO:0009987	P
O13689	GO:0016462	F
O13689	GO:0016787	F
O13689	GO:0016817	F
O13689	GO:0016818	F
O13689	GO:0019538	P
O13689	GO:0043170	P
O13689	GO:0044238	P
O13689	GO:1901135	P
O13689	GO:1901137	P
O13776	GO:0006996	P
O13776	GO:0007030	P
O13776	GO:0008150	P
O13776	GO:0009987	P
O13776	GO:0010256	P
O13776	GO:0016043	P
O13776	GO:0071840	P
O13968	GO:0007039	P
O13968	GO:0008150	P
O13968	GO:0008152	P
O13968	GO:0009056	P
O13968	GO:0009057	P
O13968	GO:0009987	P
O13968	GO:0019538	P
O13968	GO:0030163	P
O13968	GO:0043170	P
O13968	GO:0044238	P
O14050	GO:0003674	F
O14050	GO:0005215	F
O14050	GO:0005216	F
O14050	GO:0005261	F
O14050	GO:0005262	F
O14050	GO:0008324	F
O14050	GO:0008381	F
O14050	GO:0015075	F
O14050	GO:0015085	F
O14050	GO:0015267	F
O14050	GO:0015275	F
O14050	GO:0022803	F
O14050	GO:0022836	F
O14050	GO:0022857	F
O14050	GO:0046873	F
O14050	GO:0140135	F
O14065	GO:0006950	P
O14065	GO:0006970	P
O14065	GO:0006971	P
O14065	GO:0008150	P
O14065	GO:0009628	P
O14065	GO:0009987	P
O14065	GO:0033554	P
O14065	GO:0042221	P
O14065	GO:0050896	P
O14065	GO:0051716	P
O14065	GO:0062197	P
O14065	GO:0070887	P
O14065	GO:0071214	P
O14065	GO:0071470	P
O14065	GO:0071476	P
O14065	GO:0104004	P
O14194	GO:0006575	P
O14194	GO:0006749	P
O14194	GO:0006751	P
O14194	GO:0006790	P
O14194	GO:0008150	P
O14194	GO:0008152	P
O14194	GO:0009056	P
O14194	GO:0009987	P
O14194	GO:0042219	P
O14194	GO:0043603	P
O14194	GO:0044273	P
O14254	GO:0006091	P
O14254	GO:0006139	P
O14254	GO:0006163	P
O14254	GO:0006739	P
O14254	GO:0006740	P
O14254	GO:0006753	P
O14254	GO:0006793	P
O14254	GO:0006796	P
O14254	GO:0008150	P
O14254	GO:0008152	P
O14254	GO:0009117	P
O14254	GO:0009987	P
O14254	GO:0019637	P
O14254	GO:0044238	P
O14254	GO:0044281	P
O14254	GO:0046496	P
O14254	GO:0055086	P
O14254	GO:0072521	P
O14254	GO:0072524	P
O14818	GO:0006508	P
O14818	GO:0006511	P
O14818	GO:0006950	P
O14818	GO:0006979	P
O14818	GO:0008150	P
O14818	GO:0008152	P
O14818	GO:0009056	P
O14818	GO:0009057	P
O14818	GO:0009894	P
O14818	GO:0009987	P
O14818	GO:0010498	P
O14818	GO:0019222	P
O14818	GO:0019538	P
O14818	GO:0019941	P
O14818	GO:0030162	P
O14818	GO:0030163	P
O14818	GO:0042176	P
O14818	GO:0043161	P
O14818	GO:0043170	P
O14818	GO:0043632	P
O14818	GO:0044238	P
O14818	GO:0050789	P
O14818	GO:0050794	P
O14818	GO:0050896	P
O14818	GO:0051246	P
O14818	GO:0051603	P
O14818	GO:0060255	P
O14818	GO:0061136	P
O14818	GO:0065007	P
O14818	GO:0080090	P
O14818	GO:1903050	P
O15231	GO:0005575	C
O15231	GO:0005622	C
O15231	GO:0005737	C
O15231	GO:0005829	C
O15231	GO:0005856	C
O15231	GO:0005886	C
O15231	GO:0005925	C
O15231	GO:0015629	C
O15231	GO:0016020	C
O15231	GO:0030054	C
O15231	GO:0030055	C
O15231	GO:0043226	C
O15231	GO:0043228	C
O15231	GO:0043229	C
O15231	GO:0043232	C
O15231	GO:0070161	C
O15231	GO:0071944	C
O15231	GO:0110165	C
O15335	GO:0005575	C
O15335	GO:0005614	C
O15335	GO:0030312	C
O15335	GO:0031012	C
O15335	GO:0071944	C
O15335	GO:0110165	C
O15335	GO:0140150	C
O15347	GO:0005575	C
O15347	GO:0005622	C
O15347	GO:0005634	C
O15347	GO:0005654	C
O15347	GO:0005730	C
O15347	GO:0031974	C
O15347	GO:0031981	C
