EntryID	term	aspect
A0A098D1J7	GO:0008150	P
A0A098D1J7	GO:0009403	P
A0A098D1J7	GO:0044550	P
A0A098D1J7	GO:0043385	P
A0A098D1J7	GO:0019748	P
A0A098D1J7	GO:0009987	P
A0A098D1J7	GO:0009058	P
A0A098D1J7	GO:0008152	P
A0A098D1J7	GO:0009404	P
A0A098D1J7	GO:0043386	P
A0A0P0XII1	GO:0005575	C
A0A0P0XII1	GO:0110165	C
A0A0P0XII1	GO:0071944	C
A0A0P0XII1	GO:0005886	C
A0A0P0XII1	GO:0016020	C
A0A0P0XII1	GO:0005488	F
A0A0P0XII1	GO:0016301	F
A0A0P0XII1	GO:0097367	F
A0A0P0XII1	GO:0016772	F
A0A0P0XII1	GO:0003674	F
A0A0P0XII1	GO:0016740	F
A0A0P0XII1	GO:0008061	F
A0A0P0XII1	GO:0016773	F
A0A0P0XII1	GO:0004672	F
A0A0P0XII1	GO:0140096	F
A0A0P0XII1	GO:0003824	F
A0A0P0XII1	GO:0050794	P
A0A0P0XII1	GO:0009987	P
A0A0P0XII1	GO:0045088	P
A0A0P0XII1	GO:0002682	P
A0A0P0XII1	GO:0023052	P
A0A0P0XII1	GO:0031347	P
A0A0P0XII1	GO:0032103	P
A0A0P0XII1	GO:0065007	P
A0A0P0XII1	GO:0048584	P
A0A0P0XII1	GO:0002764	P
A0A0P0XII1	GO:0002758	P
A0A0P0XII1	GO:0080134	P
A0A0P0XII1	GO:0002253	P
A0A0P0XII1	GO:0031349	P
A0A0P0XII1	GO:0032101	P
A0A0P0XII1	GO:0007154	P
A0A0P0XII1	GO:0002376	P
A0A0P0XII1	GO:0050789	P
A0A0P0XII1	GO:0048518	P
A0A0P0XII1	GO:0008150	P
A0A0P0XII1	GO:0002833	P
A0A0P0XII1	GO:0002831	P
A0A0P0XII1	GO:0002684	P
A0A0P0XII1	GO:0050896	P
A0A0P0XII1	GO:0045089	P
A0A0P0XII1	GO:0002757	P
A0A0P0XII1	GO:0050776	P
A0A0P0XII1	GO:0002218	P
A0A0P0XII1	GO:0050778	P
A0A0P0XII1	GO:0048583	P
A0A0P0XII1	GO:0007165	P
A0A0P0XII1	GO:0051716	P
A0A140LHV9	GO:0008150	P
A0A140LHV9	GO:0120031	P
A0A140LHV9	GO:0070925	P
A0A140LHV9	GO:0009987	P
A0A140LHV9	GO:0016043	P
A0A140LHV9	GO:0022607	P
A0A140LHV9	GO:0030030	P
A0A140LHV9	GO:0044085	P
A0A140LHV9	GO:0071840	P
A0A140LHV9	GO:0006996	P
A0A140LHV9	GO:0030031	P
A0A140LHV9	GO:0120036	P
A0A140LHV9	GO:0044782	P
A0A140LHV9	GO:0060271	P
A0A1B0GUW7	GO:0005929	C
A0A1B0GUW7	GO:0042995	C
A0A1B0GUW7	GO:0005575	C
A0A1B0GUW7	GO:0110165	C
A0A1B0GUW7	GO:0043226	C
A0A1B0GUW7	GO:0120025	C
A0A1B0GUW7	GO:0043227	C
A0A1B0GUW7	GO:0035869	C
A0A1B0GUW7	GO:0008150	P
A0A1B0GUW7	GO:0120031	P
A0A1B0GUW7	GO:0070925	P
A0A1B0GUW7	GO:0009987	P
A0A1B0GUW7	GO:0016043	P
A0A1B0GUW7	GO:0022607	P
A0A1B0GUW7	GO:0030030	P
A0A1B0GUW7	GO:0044085	P
A0A1B0GUW7	GO:0071840	P
A0A1B0GUW7	GO:0006996	P
A0A1B0GUW7	GO:0030031	P
A0A1B0GUW7	GO:0120036	P
A0A1B0GUW7	GO:0044782	P
A0A1B0GUW7	GO:0060271	P
A0A286ZK88	GO:0008150	P
A0A286ZK88	GO:0009987	P
A0A286ZK88	GO:0007017	P
A0A287B8J2	GO:0008150	P
A0A287B8J2	GO:0009987	P
A0A287B8J2	GO:0007017	P
A0A2R8Y4L2	GO:0043233	C
A0A2R8Y4L2	GO:0070013	C
A0A2R8Y4L2	GO:0005575	C
A0A2R8Y4L2	GO:0005622	C
A0A2R8Y4L2	GO:0043231	C
A0A2R8Y4L2	GO:0110165	C
A0A2R8Y4L2	GO:0031981	C
A0A2R8Y4L2	GO:0043229	C
A0A2R8Y4L2	GO:0043226	C
A0A2R8Y4L2	GO:0031974	C
A0A2R8Y4L2	GO:0043227	C
A0A2R8Y4L2	GO:0005654	C
A0A2R8Y4L2	GO:0005634	C
A0A4X1TB62	GO:0008150	P
A0A4X1TB62	GO:0009987	P
A0A4X1TB62	GO:0007017	P
A0A5G2QD80	GO:0008150	P
A0A5G2QD80	GO:0009987	P
A0A5G2QD80	GO:0007017	P
A0AAQ4VMX2	GO:0005615	C
A0AAQ4VMX2	GO:0005576	C
A0AAQ4VMX2	GO:0110165	C
A0AAQ4VMX2	GO:0005575	C
A0AAQ4VMX2	GO:0050776	P
A0AAQ4VMX2	GO:0008150	P
A0AAQ4VMX2	GO:0048518	P
A0AAQ4VMX2	GO:0050789	P
A0AAQ4VMX2	GO:0002253	P
A0AAQ4VMX2	GO:0006959	P
A0AAQ4VMX2	GO:0006956	P
A0AAQ4VMX2	GO:0002252	P
A0AAQ4VMX2	GO:0050778	P
A0AAQ4VMX2	GO:0002684	P
A0AAQ4VMX2	GO:0050896	P
A0AAQ4VMX2	GO:0002682	P
A0AAQ4VMX2	GO:0048583	P
A0AAQ4VMX2	GO:0002376	P
A0AAQ4VMX2	GO:0006955	P
A0AAQ4VMX2	GO:0048584	P
A0AAQ4VMX2	GO:0065007	P
A0PFK5	GO:0008150	P
A0PFK5	GO:0009987	P
A0PFK5	GO:0007017	P
A0PFK7	GO:0008150	P
A0PFK7	GO:0009987	P
A0PFK7	GO:0007017	P
A1IGU5	GO:0008150	P
A1IGU5	GO:0016192	P
A1IGU5	GO:0098657	P
A1IGU5	GO:0009987	P
A1IGU5	GO:0006898	P
A1IGU5	GO:0072583	P
A1IGU5	GO:0006897	P
A1IGU5	GO:0051234	P
A1IGU5	GO:0051179	P
A1IGU5	GO:0006810	P
A1KZ92	GO:0005829	C
A1KZ92	GO:0005575	C
A1KZ92	GO:0005737	C
A1KZ92	GO:0005622	C
A1KZ92	GO:0110165	C
A2AG58	GO:0140513	C
A2AG58	GO:0005681	C
A2AG58	GO:1990904	C
A2AG58	GO:0005575	C
A2AG58	GO:0005622	C
A2AG58	GO:0043231	C
A2AG58	GO:0110165	C
A2AG58	GO:0043229	C
A2AG58	GO:0043226	C
A2AG58	GO:0032991	C
A2AG58	GO:0043227	C
A2AG58	GO:0005634	C
A2AG58	GO:0005488	F
A2AG58	GO:0003676	F
A2AG58	GO:0003677	F
A2AG58	GO:0003674	F
A2AG58	GO:1902459	P
A2AG58	GO:0032774	P
A2AG58	GO:0009987	P
A2AG58	GO:0006139	P
A2AG58	GO:0006397	P
A2AG58	GO:0051239	P
A2AG58	GO:0141187	P
A2AG58	GO:0065007	P
A2AG58	GO:0006396	P
A2AG58	GO:0000380	P
A2AG58	GO:0010467	P
A2AG58	GO:2000036	P
A2AG58	GO:0034654	P
A2AG58	GO:0009059	P
A2AG58	GO:0050793	P
A2AG58	GO:0000377	P
A2AG58	GO:0050789	P
A2AG58	GO:0048518	P
A2AG58	GO:0008150	P
A2AG58	GO:0000375	P
A2AG58	GO:0044238	P
A2AG58	GO:0051240	P
A2AG58	GO:0043170	P
