EntryID	term	aspect
A0A0A7EPL0	GO:0061659	F
A0A0A7EPL0	GO:0061665	F
A0A0G2K1Q8	GO:0010638	P
A0A0G2K1Q8	GO:0031338	P
A0A0G2K1Q8	GO:0031340	P
A0A0G2K1Q8	GO:0032879	P
A0A0G2K1Q8	GO:0033043	P
A0A0G2K1Q8	GO:0048518	P
A0A0G2K1Q8	GO:0048522	P
A0A0G2K1Q8	GO:0050789	P
A0A0G2K1Q8	GO:0050794	P
A0A0G2K1Q8	GO:0051049	P
A0A0G2K1Q8	GO:0051050	P
A0A0G2K1Q8	GO:0051128	P
A0A0G2K1Q8	GO:0051130	P
A0A0G2K1Q8	GO:0060627	P
A0A0G2K1Q8	GO:0065007	P
A0A0H2US87	GO:0005622	C
A0A0H2US87	GO:0005737	C
A0A0H2US87	GO:0005829	C
A0A1D6F7U7	GO:0003006	P
A0A1D6F7U7	GO:0007275	P
A0A1D6F7U7	GO:0009791	P
A0A1D6F7U7	GO:0009888	P
A0A1D6F7U7	GO:0009960	P
A0A1D6F7U7	GO:0010154	P
A0A1D6F7U7	GO:0022414	P
A0A1D6F7U7	GO:0032501	P
A0A1D6F7U7	GO:0032502	P
A0A1D6F7U7	GO:0048316	P
A0A1D6F7U7	GO:0048608	P
A0A1D6F7U7	GO:0048731	P
A0A1D6F7U7	GO:0048856	P
A0A1D6F7U7	GO:0061458	P
A0A1D8PDV7	GO:0006468	P
A0A1D8PDV7	GO:0016310	P
A0A1D8PDV7	GO:0036211	P
A0A1D8PDV7	GO:0043412	P
A0A1D8PPI5	GO:0061459	F
A0A8I6GM68	GO:0001932	P
A0A8I6GM68	GO:0009892	P
A0A8I6GM68	GO:0009893	P
A0A8I6GM68	GO:0010604	P
A0A8I6GM68	GO:0010605	P
A0A8I6GM68	GO:0019222	P
A0A8I6GM68	GO:0031399	P
A0A8I6GM68	GO:0031400	P
A0A8I6GM68	GO:0031401	P
A0A8I6GM68	GO:0042325	P
A0A8I6GM68	GO:0051174	P
A0A8I6GM68	GO:0051246	P
A0A8I6GM68	GO:0051247	P
A0A8I6GM68	GO:0051248	P
