filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w	cov_max
blast_predictions.tsv	biological_process	0.5700000000000001	89.0	4.281767955801105	37.31491712707182	13.066298342541437	0.24244354580732283	0.2915573147903805	0.49171270718232046	37.31491712707182	13.066298342541437	0.2647418550027171	39.53645397069064	0.10293531677513613	0.24681528662420385	0.14528071984253443	89.0	4.789716348820601	46.50994543595749	16.30565110014007	0.24310901244109565	0.2704917876544025	0.49171270718232046	46.50994543595749	16.30565110014007	0.25607043975734156	49.28538609217992	0.09336740598632623	0.22705062428559789	0.13232169113037434	0.9779005524861878
blast_predictions.tsv	cellular_component	0.49	80.0	4.090225563909774	10.954887218045112	4.7669172932330826	0.3688426415256295	0.4273825655503535	0.6015037593984962	10.954887218045112	4.7669172932330826	0.3959606227451419	11.947093974712544	0.271864067966017	0.4617996604414261	0.34224598930481276	80.0	2.8025934296477564	17.169922920843952	5.814974948216954	0.2565758885607899	0.3519254087346445	0.6015037593984962	17.169922920843952	5.814974948216954	0.2967802200407505	18.12788423275351	0.14032250020307324	0.32521858913780877	0.196053523889565	0.9624060150375939
blast_predictions.tsv	molecular_function	0.55	38.0	2.3466666666666667	3.3866666666666667	3.8933333333333335	0.5305961526272261	0.386	0.5066666666666667	3.3866666666666667	3.8933333333333335	0.4468928095040876	5.160189488338152	0.40930232558139534	0.37606837606837606	0.39198218262806234	38.0	4.715239844187422	7.4400335756780915	7.745384653802242	0.4588579328024946	0.3648403859579928	0.5066666666666667	7.4400335756780915	7.745384653802242	0.40648354255589497	10.73988282257179	0.38791721759884457	0.37841119800601936	0.3831052484798627	0.96
deepgoplus_predictions.tsv	biological_process	0.31	148.0	4.69060773480663	12.662983425414364	12.657458563535911	0.34931284912394805	0.3203482592127892	0.8176795580110497	12.662983425414364	12.657458563535911	0.3342041571309139	17.90425665924021	0.2702960840496657	0.27038216560509554	0.2703391179748447	148.0	4.687502713173242	13.373342129807698	16.40786473578743	0.3378831991342684	0.2613282559332656	0.8176795580110497	13.373342129807698	16.40786473578743	0.2947154177116289	21.16752949469508	0.2595395040445721	0.2222053123518446	0.23942574824265797	0.9834254143646409
deepgoplus_predictions.tsv	cellular_component	0.26	127.0	4.894736842105263	6.646616541353383	3.962406015037594	0.5125215883301153	0.5738102782325181	0.9548872180451128	6.646616541353383	3.962406015037594	0.54143704010163	7.738098789483016	0.4241042345276873	0.5526315789473684	0.4799115370438629	127.0	2.590334138805559	7.71516118227883	6.027234239059151	0.39286614749215015	0.4153083158765437	0.9548872180451128	7.71516118227883	6.027234239059151	0.40377563379019044	9.79036590945553	0.25135464702078897	0.3005875933005826	0.2737753442059611	0.9699248120300752
deepgoplus_predictions.tsv	molecular_function	0.21000000000000002	59.0	3.1866666666666665	2.52	3.0533333333333332	0.647637753514203	0.5023023088023089	0.7866666666666666	2.52	3.0533333333333332	0.5657859040103358	3.958944865042256	0.558411214953271	0.5106837606837606	0.5334821428571428	59.0	5.443088845684023	4.005124145770922	7.017535652305642	0.6741758850486254	0.44602007837357044	0.7866666666666666	4.005124145770922	7.017535652305642	0.5368631755614145	8.080026364710577	0.5760971784407067	0.43682311801966134	0.4968852270967304	0.96
funbind_predictions.tsv	biological_process	0.46	171.0	5.441988950276243	11.464088397790055	11.9060773480663	0.39558054854493685	0.3790370513095575	0.9447513812154696	11.464088397790055	11.9060773480663	0.38713214030782434	16.52815781055112	0.32189542483660133	0.31369426751592355	0.317741935483871	171.0	5.561816578914972	12.337827430744627	15.5335508700457	0.377289688721482	0.3345917194210696	0.9447513812154696	12.337827430744627	15.5335508700457	0.3546602122916578	19.83716684264999	0.310722189553799	0.26365108796381703	0.2852578507287743	0.9779005524861878
funbind_predictions.tsv	cellular_component	0.64	127.0	4.917293233082707	3.6766917293233083	3.9398496240601504	0.6871919601539531	0.5897493198442941	0.9548872180451128	3.6766917293233083	3.9398496240601504	0.6347527446270943	5.388921704077851	0.5721784776902887	0.5551782682512734	0.5635501938819475	127.0	3.3674354279207606	4.573195506780002	5.250132949943949	0.5980623003643474	0.4529103435665596	0.9548872180451128	4.573195506780002	5.250132949943949	0.5154627068485923	6.9626153947579175	0.4240765570913239	0.39076399284169705	0.40673932767137605	0.9548872180451128
funbind_predictions.tsv	molecular_function	0.81	65.0	2.8933333333333335	1.0533333333333332	3.3466666666666667	0.7047596847596848	0.46450769600769604	0.8666666666666667	1.0533333333333332	3.3466666666666667	0.5599511331479776	3.5085166222905215	0.7331081081081081	0.4636752136752137	0.5680628272251309	65.0	5.1347026569797185	1.4254294339920925	7.325921841009946	0.7163912830878653	0.4048643954982654	0.8666666666666667	1.4254294339920925	7.325921841009946	0.5173509116731138	7.463308910388045	0.7827133029906825	0.41207426303618455	0.5399051959856945	0.9466666666666667
goa_nonexp_predictions.tsv	biological_process	0.01	138.0	4.9502762430939224	15.790055248618785	12.397790055248619	0.3514724892014149	0.36156340654696933	0.7624309392265194	15.790055248618785	12.397790055248619	0.35644654430707723	20.075633066193834	0.23867874267448053	0.28535031847133757	0.25993617638526256	138.0	5.405434635058513	17.9862032445003	15.689932813902159	0.34639331959708747	0.3287169751487483	0.7624309392265194	17.9862032445003	15.689932813902159	0.3373237384050144	23.867917773807516	0.23108405930745646	0.25623799386935203	0.24301184560037026	0.7624309392265194
goa_nonexp_predictions.tsv	cellular_component	0.01	111.0	4.601503759398496	4.503759398496241	4.2556390977443606	0.6255193814635075	0.5579970116723183	0.8345864661654135	4.503759398496241	4.2556390977443606	0.5898320422498735	6.196314456981154	0.5053674649050371	0.5195246179966044	0.5123482628714944	111.0	3.699538762831412	6.495881471869236	4.918029615033299	0.4859684904899983	0.4529755502024605	0.8345864661654135	6.495881471869236	4.918029615033299	0.46889236167561565	8.147606482330783	0.36286280287298384	0.4293019330527315	0.3932962315578566	0.8345864661654135
goa_nonexp_predictions.tsv	molecular_function	0.01	64.0	4.426666666666667	6.226666666666667	1.8133333333333332	0.49807687063966166	0.6842070707070708	0.8533333333333334	6.226666666666667	1.8133333333333332	0.5764904769984751	6.485333881578924	0.4155193992490614	0.7094017094017094	0.5240726124704026	64.0	8.664620170100486	10.494815768695329	3.796004327889179	0.5080768273103065	0.6760532535038454	0.8533333333333334	10.494815768695329	3.796004327889179	0.5801507751528086	11.160233280546132	0.45223774842742387	0.6953600256149596	0.5480457690726246	0.8533333333333334
naive_predictions.tsv	biological_process	0.01	178.0	3.3259668508287294	51.74585635359116	14.022099447513812	0.0603932584269663	0.21619561312777016	0.9834254143646409	51.74585635359116	14.022099447513812	0.09441274669518251	53.612059489283354	0.0603932584269663	0.19171974522292995	0.09185230393652731	178.0	2.2773636943188764	29.161842176414428	18.818003754641797	0.07243706166378935	0.1234549422744771	0.9834254143646409	29.161842176414428	18.818003754641797	0.09130248388345719	34.70634386436889	0.07243706166378935	0.10795563053494371	0.08669961704876536	0.9834254143646409
naive_predictions.tsv	cellular_component	0.060000000000000005	129.0	4.180451127819549	9.398496240601503	4.676691729323308	0.3078626799557032	0.4849250011299873	0.9699248120300752	9.398496240601503	4.676691729323308	0.3766211660124519	10.4977701020608	0.30786267995570327	0.47198641765704585	0.37265415549597863	129.0	1.6453394954195546	6.886331911496396	6.972228882445155	0.1928507811594582	0.34399313782150537	0.9699248120300752	6.886331911496396	6.972228882445155	0.24714574570685552	9.799670544691592	0.19285078115945817	0.19092851060466345	0.19188483175560178	0.9699248120300752
naive_predictions.tsv	molecular_function	0.01	72.0	1.9466666666666668	36.45333333333333	4.293333333333333	0.05069444444444445	0.31210990860990856	0.96	36.45333333333333	4.293333333333333	0.08722187751818546	36.70528875001833	0.05069444444444445	0.31196581196581197	0.08721624850657111	72.0	2.3505792140407396	45.40552681787382	10.110045283948924	0.0492204957512635	0.24772434054366865	0.96	45.40552681787382	10.110045283948924	0.08212377088856816	46.517468560231826	0.04922049575126349	0.1886405624710038	0.07807063563085406	0.96
prott5_predictions.tsv	biological_process	0.91	91.0	2.81767955801105	26.138121546961326	14.530386740331492	0.19428059381262833	0.19624155530146709	0.5027624309392266	26.138121546961326	14.530386740331492	0.1952561511871832	29.90540982543669	0.0973096737263881	0.16242038216560511	0.12170385395537528	89.0	2.852023802022576	35.61304603423045	18.243343646938097	0.16891351820761283	0.16351790715794007	0.49171270718232046	35.61304603423045	18.243343646938097	0.1661719252782503	40.01385554100597	0.07414581109988173	0.1351966875629412	0.09576906859717133	0.9834254143646409
prott5_predictions.tsv	cellular_component	0.88	67.0	2.443609022556391	7.165413533834586	6.413533834586466	0.3382142172247316	0.26666943617873573	0.5037593984962406	7.165413533834586	6.413533834586466	0.29821071906134805	9.616473748638075	0.2543035993740219	0.2758913412563667	0.26465798045602607	67.0	1.4234593074818795	11.059386901842137	7.194109070382829	0.20618017738465239	0.18505526820585153	0.5037593984962406	11.059386901842137	7.194109070382829	0.1950473989751044	13.193378792455022	0.11403323277496055	0.16518108648121796	0.13492240179452622	0.9699248120300752
prott5_predictions.tsv	molecular_function	0.91	36.0	1.3466666666666667	3.52	4.8933333333333335	0.30751957003124136	0.19324579124579125	0.48	3.52	4.8933333333333335	0.23734414250500332	6.0278612385415045	0.27671232876712326	0.2158119658119658	0.24249699879951978	36.0	2.510009996398945	10.0684300649199	9.950614501590719	0.2591054370200844	0.18978106964696037	0.48	10.0684300649199	9.950614501590719	0.2190901542312937	14.155847305316996	0.19954859141219863	0.2014353290883533	0.20048752144503137	0.96
transfew_predictions.tsv	biological_process	0.5	177.0	6.088397790055248	12.414364640883978	11.259668508287293	0.3763559507024534	0.4002513541594138	0.9779005524861878	12.414364640883978	11.259668508287293	0.3879360340073132	16.759969700251457	0.32905344879068377	0.35095541401273883	0.3396517182924949	177.0	6.449673641695584	14.674850960215103	14.645693807265088	0.3652550734830527	0.356108536593817	0.9779005524861878	14.674850960215103	14.645693807265088	0.3606238182368431	20.732766284330925	0.3053168657396541	0.3057388622075577	0.30552771825774827	0.9834254143646409
transfew_predictions.tsv	cellular_component	0.7000000000000001	128.0	5.2481203007518795	3.4586466165413534	3.6090225563909772	0.697882763923152	0.6033799874223302	0.9624060150375939	3.4586466165413534	3.6090225563909772	0.6471997955567614	4.998727861231477	0.6027633851468048	0.5925297113752122	0.5976027397260274	128.0	3.3495854706268475	4.719486645132621	5.267982907237862	0.5915143228576469	0.4640815455691819	0.9624060150375939	4.719486645132621	5.267982907237862	0.5201060166845721	7.072849362494258	0.41511408283052403	0.3886926478275093	0.4014691239865443	0.9699248120300752
transfew_predictions.tsv	molecular_function	0.72	68.0	3.066666666666667	1.88	3.1733333333333333	0.615691384209186	0.4962147667147667	0.9066666666666666	1.88	3.1733333333333333	0.5495340705324478	3.688420318299481	0.6199460916442048	0.4914529914529915	0.5482717520858165	68.0	5.471520047350083	2.9693593302506387	6.989104450639581	0.6029337477451419	0.43167075431763874	0.9066666666666666	2.9693593302506387	6.989104450639581	0.5031272629759213	7.593726085005735	0.6482168270132698	0.4391048015476938	0.5235527625110215	0.96
