EntryID	term	aspect
A0A075B6T8	GO:0019814	C
A0A075B6T8	GO:0032991	C
A0A075B6T8	GO:0005575	C
A0A075B6T8	GO:0006955	P
A0A075B6T8	GO:0050896	P
A0A075B6T8	GO:0002376	P
A0A075B6T8	GO:0002250	P
A0A075B6T8	GO:0008150	P
A0A098D1J7	GO:0009403	P
A0A098D1J7	GO:0009404	P
A0A098D1J7	GO:0043386	P
A0A098D1J7	GO:0019748	P
A0A098D1J7	GO:0044550	P
A0A098D1J7	GO:0009058	P
A0A098D1J7	GO:0043385	P
A0A098D1J7	GO:0008150	P
A0A098D1J7	GO:0009987	P
A0A098D1J7	GO:0008152	P
A0A0H2ZFV1	GO:0000935	C
A0A0H2ZFV1	GO:0030313	C
A0A0H2ZFV1	GO:0009279	C
A0A0H2ZFV1	GO:0071944	C
A0A0H2ZFV1	GO:0032153	C
A0A0H2ZFV1	GO:0016020	C
A0A0H2ZFV1	GO:0030428	C
A0A0H2ZFV1	GO:0030312	C
A0A0H2ZFV1	GO:0110165	C
A0A0H2ZFV1	GO:0019867	C
A0A0H2ZFV1	GO:0005575	C
A0A0H2ZFV1	GO:0003824	F
A0A0H2ZFV1	GO:0003674	F
A0A0H2ZFV1	GO:0061783	F
A0A0H2ZFV1	GO:0008933	F
A0A0H2ZFV1	GO:0016835	F
A0A0H2ZFV1	GO:0016829	F
A0A0H2ZFV1	GO:0016837	F
A0A0H2ZFV1	GO:0000910	P
A0A0H2ZFV1	GO:0043093	P
A0A0H2ZFV1	GO:0022414	P
A0A0H2ZFV1	GO:0051301	P
A0A0H2ZFV1	GO:0008150	P
A0A0H2ZFV1	GO:0009987	P
A0A0H2ZFV1	GO:0007049	P
A0A0H2ZFV1	GO:0019954	P
A0A0H2ZFV1	GO:0022402	P
A0A0H2ZFV1	GO:0022413	P
A0A0P0XII1	GO:0071944	C
A0A0P0XII1	GO:0005886	C
A0A0P0XII1	GO:0016020	C
A0A0P0XII1	GO:0110165	C
A0A0P0XII1	GO:0005575	C
A0A0P0XII1	GO:0016772	F
A0A0P0XII1	GO:0097367	F
A0A0P0XII1	GO:0003824	F
A0A0P0XII1	GO:0003674	F
A0A0P0XII1	GO:0016773	F
A0A0P0XII1	GO:0004672	F
A0A0P0XII1	GO:0016740	F
A0A0P0XII1	GO:0008061	F
A0A0P0XII1	GO:0005488	F
A0A0P0XII1	GO:0140096	F
A0A0P0XII1	GO:0016301	F
A0A0P0XII1	GO:0002682	P
A0A0P0XII1	GO:0002684	P
A0A0P0XII1	GO:0031349	P
A0A0P0XII1	GO:0048583	P
A0A0P0XII1	GO:0050794	P
A0A0P0XII1	GO:0050778	P
A0A0P0XII1	GO:0002758	P
A0A0P0XII1	GO:0050789	P
A0A0P0XII1	GO:0002376	P
A0A0P0XII1	GO:0051716	P
A0A0P0XII1	GO:0045089	P
A0A0P0XII1	GO:0031347	P
A0A0P0XII1	GO:0045088	P
A0A0P0XII1	GO:0002218	P
A0A0P0XII1	GO:0080134	P
A0A0P0XII1	GO:0048584	P
A0A0P0XII1	GO:0002833	P
A0A0P0XII1	GO:0048518	P
A0A0P0XII1	GO:0002757	P
A0A0P0XII1	GO:0009987	P
A0A0P0XII1	GO:0032101	P
A0A0P0XII1	GO:0050896	P
A0A0P0XII1	GO:0007165	P
A0A0P0XII1	GO:0007154	P
A0A0P0XII1	GO:0002764	P
A0A0P0XII1	GO:0032103	P
A0A0P0XII1	GO:0002253	P
A0A0P0XII1	GO:0008150	P
A0A0P0XII1	GO:0050776	P
A0A0P0XII1	GO:0002831	P
A0A0P0XII1	GO:0023052	P
A0A0P0XII1	GO:0065007	P
A0A140LHV9	GO:0030031	P
A0A140LHV9	GO:0006996	P
A0A140LHV9	GO:0120031	P
A0A140LHV9	GO:0044782	P
A0A140LHV9	GO:0030030	P
A0A140LHV9	GO:0120036	P
A0A140LHV9	GO:0016043	P
A0A140LHV9	GO:0044085	P
A0A140LHV9	GO:0022607	P
A0A140LHV9	GO:0070925	P
A0A140LHV9	GO:0008150	P
A0A140LHV9	GO:0009987	P
A0A140LHV9	GO:0060271	P
A0A140LHV9	GO:0071840	P
A0A1B0GTK4	GO:0110165	C
A0A1B0GTK4	GO:0005576	C
A0A1B0GTK4	GO:0005615	C
A0A1B0GTK4	GO:0005575	C
A0A1B0GTL2	GO:0043231	C
A0A1B0GTL2	GO:0043227	C
A0A1B0GTL2	GO:0043226	C
A0A1B0GTL2	GO:0005634	C
A0A1B0GTL2	GO:0110165	C
A0A1B0GTL2	GO:0005622	C
A0A1B0GTL2	GO:0043229	C
A0A1B0GTL2	GO:0005575	C
A0A1B0GUW7	GO:0120025	C
A0A1B0GUW7	GO:0043227	C
A0A1B0GUW7	GO:0042995	C
A0A1B0GUW7	GO:0043226	C
A0A1B0GUW7	GO:0110165	C
A0A1B0GUW7	GO:0005929	C
A0A1B0GUW7	GO:0005575	C
A0A1B0GUW7	GO:0035869	C
A0A1B0GUW7	GO:0030031	P
A0A1B0GUW7	GO:0006996	P
A0A1B0GUW7	GO:0120031	P
A0A1B0GUW7	GO:0044782	P
A0A1B0GUW7	GO:0030030	P
A0A1B0GUW7	GO:0120036	P
A0A1B0GUW7	GO:0016043	P
A0A1B0GUW7	GO:0044085	P
A0A1B0GUW7	GO:0022607	P
A0A1B0GUW7	GO:0070925	P
A0A1B0GUW7	GO:0008150	P
A0A1B0GUW7	GO:0009987	P
A0A1B0GUW7	GO:0060271	P
A0A1B0GUW7	GO:0071840	P
A0A1D5PUP4	GO:0009966	P
A0A1D5PUP4	GO:0050789	P
A0A1D5PUP4	GO:0010647	P
A0A1D5PUP4	GO:0048584	P
A0A1D5PUP4	GO:0048583	P
A0A1D5PUP4	GO:0023051	P
A0A1D5PUP4	GO:0010646	P
A0A1D5PUP4	GO:0023056	P
A0A1D5PUP4	GO:0008593	P
A0A1D5PUP4	GO:0048518	P
A0A1D5PUP4	GO:0009967	P
A0A1D5PUP4	GO:0008150	P
A0A1D5PUP4	GO:0050794	P
A0A1D5PUP4	GO:0045747	P
A0A1D5PUP4	GO:0048522	P
A0A1D5PUP4	GO:0065007	P
A0A1D8PEY9	GO:1990904	C
A0A1D8PEY9	GO:0043232	C
A0A1D8PEY9	GO:0015935	C
A0A1D8PEY9	GO:0043228	C
A0A1D8PEY9	GO:0005829	C
A0A1D8PEY9	GO:0043226	C
A0A1D8PEY9	GO:0022626	C
A0A1D8PEY9	GO:0044391	C
A0A1D8PEY9	GO:0022627	C
A0A1D8PEY9	GO:0005840	C
A0A1D8PEY9	GO:0110165	C
A0A1D8PEY9	GO:0005622	C
A0A1D8PEY9	GO:0005737	C
A0A1D8PEY9	GO:0032991	C
A0A1D8PEY9	GO:0043229	C
A0A1D8PEY9	GO:0005575	C
A0A1D8PEY9	GO:0005198	F
A0A1D8PEY9	GO:0003735	F
A0A1D8PEY9	GO:0003674	F
A0A1D8PEY9	GO:0006412	P
A0A1D8PEY9	GO:0009059	P
A0A1D8PEY9	GO:0043170	P
A0A1D8PEY9	GO:0019538	P
A0A1D8PEY9	GO:0010467	P
A0A1D8PEY9	GO:0009058	P
A0A1D8PEY9	GO:0008150	P
A0A1D8PEY9	GO:0009987	P
A0A1D8PEY9	GO:0002181	P
A0A1D8PEY9	GO:0008152	P
A0A1D8PEY9	GO:0044238	P
A0A286ZK88	GO:0051179	P
A0A286ZK88	GO:0008150	P
A0A286ZK88	GO:0006810	P
A0A286ZK88	GO:0051640	P
A0A286ZK88	GO:0051321	P
A0A286ZK88	GO:0140013	P
A0A286ZK88	GO:0072384	P
A0A286ZK88	GO:0000280	P
A0A286ZK88	GO:0071840	P
A0A286ZK88	GO:0019953	P
A0A286ZK88	GO:0030705	P
A0A286ZK88	GO:0022414	P
A0A286ZK88	GO:0051641	P
A0A286ZK88	GO:0051649	P
A0A286ZK88	GO:0016043	P
A0A286ZK88	GO:0006996	P
A0A286ZK88	GO:0099111	P
A0A286ZK88	GO:0007018	P
A0A286ZK88	GO:0051647	P
A0A286ZK88	GO:0010970	P
A0A286ZK88	GO:0007127	P
A0A286ZK88	GO:0007097	P
A0A286ZK88	GO:0009987	P
A0A286ZK88	GO:0051656	P
A0A286ZK88	GO:0022402	P
A0A286ZK88	GO:0030473	P
A0A286ZK88	GO:0051234	P
A0A286ZK88	GO:1903046	P
A0A286ZK88	GO:0061982	P
A0A286ZK88	GO:0030989	P
A0A286ZK88	GO:0048285	P
A0A286ZK88	GO:0007017	P
A0A286ZK88	GO:0007049	P
A0A286ZK88	GO:0046907	P
A0A287B8J2	GO:0051179	P
A0A287B8J2	GO:0008150	P
A0A287B8J2	GO:0006810	P
A0A287B8J2	GO:0051640	P
A0A287B8J2	GO:0051321	P
A0A287B8J2	GO:0140013	P
A0A287B8J2	GO:0072384	P
A0A287B8J2	GO:0000280	P
A0A287B8J2	GO:0071840	P
A0A287B8J2	GO:0019953	P
A0A287B8J2	GO:0030705	P
A0A287B8J2	GO:0022414	P
A0A287B8J2	GO:0051641	P
A0A287B8J2	GO:0051649	P
A0A287B8J2	GO:0016043	P
A0A287B8J2	GO:0006996	P
A0A287B8J2	GO:0099111	P
A0A287B8J2	GO:0007018	P
A0A287B8J2	GO:0051647	P
A0A287B8J2	GO:0010970	P
A0A287B8J2	GO:0007127	P
A0A287B8J2	GO:0007097	P
A0A287B8J2	GO:0009987	P
A0A287B8J2	GO:0051656	P
A0A287B8J2	GO:0022402	P
A0A287B8J2	GO:0030473	P
A0A287B8J2	GO:0051234	P
A0A287B8J2	GO:1903046	P
A0A287B8J2	GO:0061982	P
A0A287B8J2	GO:0030989	P
A0A287B8J2	GO:0048285	P
A0A287B8J2	GO:0007017	P
A0A287B8J2	GO:0007049	P
A0A287B8J2	GO:0046907	P
A0A2R8Y4L2	GO:0005654	C
A0A2R8Y4L2	GO:0043231	C
A0A2R8Y4L2	GO:0043227	C
A0A2R8Y4L2	GO:0043233	C
A0A2R8Y4L2	GO:0043226	C
A0A2R8Y4L2	GO:0005634	C
A0A2R8Y4L2	GO:0031981	C
A0A2R8Y4L2	GO:0110165	C
A0A2R8Y4L2	GO:0070013	C
A0A2R8Y4L2	GO:0005622	C
A0A2R8Y4L2	GO:0031974	C
A0A2R8Y4L2	GO:0043229	C
A0A2R8Y4L2	GO:0005575	C
A0A4V8H040	GO:0009056	P
A0A4V8H040	GO:0019700	P
A0A4V8H040	GO:0043436	P
A0A4V8H040	GO:0019634	P
A0A4V8H040	GO:0008150	P
A0A4V8H040	GO:0009987	P
A0A4V8H040	GO:0008152	P
A0A4V8H040	GO:0006082	P
A0A4V8H040	GO:0006793	P
A0A4V8H040	GO:0044281	P
A0A4V8H042	GO:0009056	P
A0A4V8H042	GO:0019700	P
A0A4V8H042	GO:0043436	P
A0A4V8H042	GO:0019634	P
A0A4V8H042	GO:0008150	P
A0A4V8H042	GO:0009987	P
A0A4V8H042	GO:0008152	P
A0A4V8H042	GO:0006082	P
A0A4V8H042	GO:0006793	P
A0A4V8H042	GO:0044281	P
A0A4X1TB62	GO:0051179	P
A0A4X1TB62	GO:0008150	P
A0A4X1TB62	GO:0006810	P
A0A4X1TB62	GO:0051640	P
A0A4X1TB62	GO:0051321	P
A0A4X1TB62	GO:0140013	P
A0A4X1TB62	GO:0072384	P
A0A4X1TB62	GO:0000280	P
A0A4X1TB62	GO:0071840	P
A0A4X1TB62	GO:0019953	P
A0A4X1TB62	GO:0030705	P
A0A4X1TB62	GO:0022414	P
A0A4X1TB62	GO:0051641	P
A0A4X1TB62	GO:0051649	P
A0A4X1TB62	GO:0016043	P
A0A4X1TB62	GO:0006996	P
A0A4X1TB62	GO:0099111	P
A0A4X1TB62	GO:0007018	P
A0A4X1TB62	GO:0051647	P
A0A4X1TB62	GO:0010970	P
A0A4X1TB62	GO:0007127	P
A0A4X1TB62	GO:0007097	P
A0A4X1TB62	GO:0009987	P
A0A4X1TB62	GO:0051656	P
A0A4X1TB62	GO:0022402	P
A0A4X1TB62	GO:0030473	P
A0A4X1TB62	GO:0051234	P
A0A4X1TB62	GO:1903046	P
A0A4X1TB62	GO:0061982	P
A0A4X1TB62	GO:0030989	P
A0A4X1TB62	GO:0048285	P
A0A4X1TB62	GO:0007017	P
A0A4X1TB62	GO:0007049	P
A0A4X1TB62	GO:0046907	P
A0A5G2QD80	GO:0051179	P
A0A5G2QD80	GO:0008150	P
A0A5G2QD80	GO:0006810	P
A0A5G2QD80	GO:0051640	P
A0A5G2QD80	GO:0051321	P
A0A5G2QD80	GO:0140013	P
A0A5G2QD80	GO:0072384	P
A0A5G2QD80	GO:0000280	P
A0A5G2QD80	GO:0071840	P
A0A5G2QD80	GO:0019953	P
A0A5G2QD80	GO:0030705	P
A0A5G2QD80	GO:0022414	P
A0A5G2QD80	GO:0051641	P
A0A5G2QD80	GO:0051649	P
A0A5G2QD80	GO:0016043	P
A0A5G2QD80	GO:0006996	P
A0A5G2QD80	GO:0099111	P
A0A5G2QD80	GO:0007018	P
A0A5G2QD80	GO:0051647	P
A0A5G2QD80	GO:0010970	P
A0A5G2QD80	GO:0007127	P
A0A5G2QD80	GO:0007097	P
A0A5G2QD80	GO:0009987	P
A0A5G2QD80	GO:0051656	P
A0A5G2QD80	GO:0022402	P
A0A5G2QD80	GO:0030473	P
A0A5G2QD80	GO:0051234	P
A0A5G2QD80	GO:1903046	P
A0A5G2QD80	GO:0061982	P
A0A5G2QD80	GO:0030989	P
A0A5G2QD80	GO:0048285	P
A0A5G2QD80	GO:0007017	P
A0A5G2QD80	GO:0007049	P
A0A5G2QD80	GO:0046907	P
A0AAQ4VMX2	GO:0110165	C
A0AAQ4VMX2	GO:0005576	C
A0AAQ4VMX2	GO:0005615	C
A0AAQ4VMX2	GO:0005575	C
A0AAQ4VMX2	GO:0006955	P
A0AAQ4VMX2	GO:0050896	P
A0AAQ4VMX2	GO:0002682	P
A0AAQ4VMX2	GO:0048584	P
A0AAQ4VMX2	GO:0050789	P
A0AAQ4VMX2	GO:0002376	P
A0AAQ4VMX2	GO:0008150	P
A0AAQ4VMX2	GO:0006956	P
A0AAQ4VMX2	GO:0002684	P
A0AAQ4VMX2	GO:0002253	P
A0AAQ4VMX2	GO:0048518	P
A0AAQ4VMX2	GO:0006959	P
A0AAQ4VMX2	GO:0048583	P
A0AAQ4VMX2	GO:0050776	P
A0AAQ4VMX2	GO:0002252	P
A0AAQ4VMX2	GO:0050778	P
A0AAQ4VMX2	GO:0065007	P
A0PFK5	GO:0051179	P
A0PFK5	GO:0008150	P
A0PFK5	GO:0006810	P
A0PFK5	GO:0051640	P
A0PFK5	GO:0051321	P
A0PFK5	GO:0140013	P
A0PFK5	GO:0072384	P
A0PFK5	GO:0000280	P
A0PFK5	GO:0071840	P
A0PFK5	GO:0019953	P
A0PFK5	GO:0030705	P
A0PFK5	GO:0022414	P
A0PFK5	GO:0051641	P
A0PFK5	GO:0051649	P
A0PFK5	GO:0016043	P
A0PFK5	GO:0006996	P
A0PFK5	GO:0099111	P
A0PFK5	GO:0007018	P
A0PFK5	GO:0051647	P
A0PFK5	GO:0010970	P
A0PFK5	GO:0007127	P
A0PFK5	GO:0007097	P
A0PFK5	GO:0009987	P
A0PFK5	GO:0051656	P
A0PFK5	GO:0022402	P
A0PFK5	GO:0030473	P
A0PFK5	GO:0051234	P
A0PFK5	GO:1903046	P
A0PFK5	GO:0061982	P
A0PFK5	GO:0030989	P
A0PFK5	GO:0048285	P
A0PFK5	GO:0007017	P
A0PFK5	GO:0007049	P
A0PFK5	GO:0046907	P
A0PFK7	GO:0051179	P
A0PFK7	GO:0008150	P
A0PFK7	GO:0006810	P
A0PFK7	GO:0051640	P
A0PFK7	GO:0051321	P
A0PFK7	GO:0140013	P
A0PFK7	GO:0072384	P
A0PFK7	GO:0000280	P
A0PFK7	GO:0071840	P
A0PFK7	GO:0019953	P
A0PFK7	GO:0030705	P
A0PFK7	GO:0022414	P
A0PFK7	GO:0051641	P
A0PFK7	GO:0051649	P
A0PFK7	GO:0016043	P
A0PFK7	GO:0006996	P
A0PFK7	GO:0099111	P
A0PFK7	GO:0007018	P
A0PFK7	GO:0051647	P
A0PFK7	GO:0010970	P
A0PFK7	GO:0007127	P
A0PFK7	GO:0007097	P
A0PFK7	GO:0009987	P
A0PFK7	GO:0051656	P
A0PFK7	GO:0022402	P
A0PFK7	GO:0030473	P
A0PFK7	GO:0051234	P
A0PFK7	GO:1903046	P
A0PFK7	GO:0061982	P
A0PFK7	GO:0030989	P
A0PFK7	GO:0048285	P
A0PFK7	GO:0007017	P
A0PFK7	GO:0007049	P
A0PFK7	GO:0046907	P
A1IGU5	GO:0051179	P
A1IGU5	GO:0098657	P
A1IGU5	GO:0072583	P
A1IGU5	GO:0051234	P
A1IGU5	GO:0016192	P
A1IGU5	GO:0006897	P
A1IGU5	GO:0006810	P
A1IGU5	GO:0006898	P
A1IGU5	GO:0008150	P
A1IGU5	GO:0009987	P
A1KZ92	GO:0005575	C
A1KZ92	GO:0110165	C
A1KZ92	GO:0005622	C
A1KZ92	GO:0005737	C
A1KZ92	GO:0005829	C
A2ADA5	GO:0043231	C
A2ADA5	GO:0043227	C
A2ADA5	GO:0005739	C
A2ADA5	GO:0043229	C
A2ADA5	GO:0043226	C
A2ADA5	GO:0005759	C
A2ADA5	GO:0005622	C
A2ADA5	GO:0070013	C
A2ADA5	GO:0110165	C
A2ADA5	GO:0005737	C
A2ADA5	GO:0031974	C
A2ADA5	GO:0043233	C
A2ADA5	GO:0005575	C
A2AG58	GO:1990904	C
A2AG58	GO:0043231	C
A2AG58	GO:0043227	C
A2AG58	GO:0140513	C
A2AG58	GO:0043226	C
A2AG58	GO:0005681	C
A2AG58	GO:0005634	C
A2AG58	GO:0005622	C
A2AG58	GO:0110165	C
A2AG58	GO:0032991	C
A2AG58	GO:0043229	C
A2AG58	GO:0005575	C
A2AG58	GO:0003676	F
A2AG58	GO:0005488	F
A2AG58	GO:0003677	F
A2AG58	GO:0003674	F
A2AG58	GO:0000375	P
A2AG58	GO:0090304	P
A2AG58	GO:0051239	P
A2AG58	GO:0016070	P
A2AG58	GO:0000398	P
A2AG58	GO:0044238	P
A2AG58	GO:0050789	P
A2AG58	GO:0008380	P
A2AG58	GO:0043170	P
A2AG58	GO:1902459	P
A2AG58	GO:0065007	P
A2AG58	GO:0051094	P
A2AG58	GO:0000377	P
A2AG58	GO:0006397	P
A2AG58	GO:0006139	P
A2AG58	GO:0010467	P
A2AG58	GO:0048518	P
A2AG58	GO:0009987	P
A2AG58	GO:0008152	P
A2AG58	GO:0034654	P
A2AG58	GO:0032774	P
A2AG58	GO:0000380	P
A2AG58	GO:0009059	P
A2AG58	GO:2000036	P
A2AG58	GO:0051240	P
A2AG58	GO:0006396	P
A2AG58	GO:0009058	P
A2AG58	GO:0008150	P
A2AG58	GO:0141187	P
A2AG58	GO:0016071	P
A2AG58	GO:0050793	P
A2PYH4	GO:0043231	C
A2PYH4	GO:0043227	C
A2PYH4	GO:0043226	C
A2PYH4	GO:0012505	C
A2PYH4	GO:0005794	C
A2PYH4	GO:0110165	C
A2PYH4	GO:0005622	C
A2PYH4	GO:0005737	C
A2PYH4	GO:0043229	C
A2PYH4	GO:0005575	C
A4IF30	GO:0022857	F
A4IF30	GO:0003674	F
A4IF30	GO:0005215	F
A4IF30	GO:0015220	F
A4IF30	GO:0051179	P
A4IF30	GO:0051234	P
A4IF30	GO:0071705	P
A4IF30	GO:0006810	P
A4IF30	GO:0015871	P
A4IF30	GO:0015695	P
A4IF30	GO:0008150	P
A5PLL1	GO:0005575	C
A5PLL1	GO:0110165	C
A5PLL1	GO:0005622	C
A5PLL1	GO:0005737	C
A5PLL1	GO:0005829	C
A6NFN3	GO:0005654	C
A6NFN3	GO:0043231	C
A6NFN3	GO:0043227	C
A6NFN3	GO:0043233	C
A6NFN3	GO:0043226	C
A6NFN3	GO:0005634	C
A6NFN3	GO:0031981	C
A6NFN3	GO:0110165	C
A6NFN3	GO:0070013	C
A6NFN3	GO:0005622	C
A6NFN3	GO:0031974	C
A6NFN3	GO:0043229	C
A6NFN3	GO:0005575	C
A6NHQ4	GO:0005654	C
A6NHQ4	GO:0043231	C
A6NHQ4	GO:0043227	C
A6NHQ4	GO:0043233	C
A6NHQ4	GO:0043226	C
A6NHQ4	GO:0005634	C
A6NHQ4	GO:0031981	C
